Date,Open,High,Low,Close,Volume
4-Nov-16,9.33,9.34,9.33,9.34,52000
3-Nov-16,9.32,9.34,9.32,9.33,30185
2-Nov-16,9.31,9.32,9.31,9.32,31577
1-Nov-16,9.31,9.33,9.31,9.31,12591
31-Oct-16,9.32,9.33,9.31,9.31,23576
28-Oct-16,9.31,9.32,9.31,9.31,3490
27-Oct-16,9.31,9.32,9.30,9.32,41942
26-Oct-16,9.29,9.30,9.28,9.30,105041
25-Oct-16,9.29,9.30,9.29,9.29,12765
24-Oct-16,9.28,9.33,9.28,9.29,38404
21-Oct-16,9.29,9.29,9.28,9.28,31522
20-Oct-16,9.27,9.29,9.27,9.28,19994
19-Oct-16,9.25,9.27,9.25,9.26,109007
18-Oct-16,9.24,9.26,9.24,9.25,41835
17-Oct-16,9.23,9.26,9.23,9.23,28706
14-Oct-16,9.23,9.24,9.22,9.23,33986
13-Oct-16,9.23,9.25,9.23,9.24,19076
12-Oct-16,9.27,9.28,9.27,9.28,14657
11-Oct-16,9.27,9.28,9.27,9.27,22018
10-Oct-16,9.26,9.29,9.26,9.27,61639
7-Oct-16,9.25,9.27,9.25,9.25,12503
6-Oct-16,9.26,9.28,9.26,9.26,42920
5-Oct-16,9.24,9.28,9.24,9.28,40332
4-Oct-16,9.21,9.26,9.21,9.26,41120
3-Oct-16,9.21,9.24,9.20,9.24,77078
30-Sep-16,9.20,9.22,9.19,9.21,67805
29-Sep-16,9.18,9.20,9.16,9.20,55266
28-Sep-16,9.16,9.20,9.16,9.20,57822
27-Sep-16,9.15,9.18,9.15,9.18,65801
26-Sep-16,9.14,9.16,9.14,9.15,53054
23-Sep-16,9.16,9.18,9.14,9.15,245334
22-Sep-16,9.15,9.17,9.13,9.15,53634
21-Sep-16,9.09,9.14,9.09,9.14,82890
20-Sep-16,9.11,9.12,9.08,9.09,370659
19-Sep-16,9.11,9.12,9.09,9.11,168361
16-Sep-16,9.10,9.13,9.10,9.12,57216
15-Sep-16,9.08,9.13,9.08,9.11,55537
14-Sep-16,9.15,9.17,9.07,9.12,67481
13-Sep-16,9.15,9.16,9.13,9.16,69286
12-Sep-16,9.12,9.20,9.12,9.19,70467
9-Sep-16,9.23,9.24,9.17,9.17,272584
8-Sep-16,9.23,9.25,9.23,9.23,98726
7-Sep-16,9.22,9.23,9.21,9.23,84590
6-Sep-16,9.21,9.23,9.21,9.22,66915
2-Sep-16,9.23,9.25,9.20,9.21,175399
1-Sep-16,9.27,9.27,9.23,9.24,64367
31-Aug-16,9.25,9.25,9.23,9.24,75482
30-Aug-16,9.23,9.26,9.18,9.26,24927
29-Aug-16,9.23,9.26,9.23,9.26,53723
26-Aug-16,9.22,9.24,9.20,9.22,38793
25-Aug-16,9.24,9.24,9.20,9.20,82560
24-Aug-16,9.19,9.21,9.19,9.20,109094
23-Aug-16,9.21,9.22,9.20,9.21,49751
22-Aug-16,9.17,9.20,9.17,9.18,39426
19-Aug-16,9.16,9.19,9.16,9.18,24432
18-Aug-16,9.16,9.20,9.16,9.19,13823
17-Aug-16,9.15,9.19,9.15,9.18,33388
16-Aug-16,9.14,9.16,9.14,9.15,34738
15-Aug-16,9.15,9.20,9.15,9.20,18441
12-Aug-16,9.16,9.18,9.14,9.17,20838
11-Aug-16,9.12,9.18,9.12,9.17,27922
10-Aug-16,9.12,9.15,9.12,9.13,86398
9-Aug-16,9.07,9.14,9.07,9.12,61967
8-Aug-16,9.06,9.09,9.05,9.09,87207
5-Aug-16,9.05,9.09,9.04,9.04,106845
4-Aug-16,9.02,9.08,9.02,9.07,49682
3-Aug-16,9.01,9.07,9.01,9.05,55935
2-Aug-16,9.00,9.04,8.99,9.03,87543
1-Aug-16,9.06,9.06,8.97,9.00,66830
29-Jul-16,9.03,9.08,9.03,9.06,29879
28-Jul-16,9.03,9.07,9.03,9.06,22353
27-Jul-16,9.07,9.10,9.05,9.07,22225
26-Jul-16,9.05,9.08,9.04,9.06,19940
25-Jul-16,9.00,9.05,9.00,9.03,93681
22-Jul-16,9.08,9.10,9.05,9.07,51463
21-Jul-16,9.04,9.08,9.04,9.05,12227
20-Jul-16,9.05,9.07,9.04,9.06,38690
19-Jul-16,9.00,9.06,9.00,9.03,45799
18-Jul-16,8.99,9.06,8.99,9.06,39291
15-Jul-16,8.98,9.01,8.98,9.01,63871
14-Jul-16,9.00,9.00,8.96,9.00,35624
13-Jul-16,9.01,9.02,8.98,9.01,53790
12-Jul-16,8.97,9.02,8.97,9.00,40576
11-Jul-16,8.91,8.97,8.91,8.95,21326
8-Jul-16,8.87,8.96,8.87,8.94,28905
7-Jul-16,8.80,8.84,8.80,8.84,58916
6-Jul-16,8.82,8.85,8.81,8.82,20970
5-Jul-16,8.84,8.84,8.80,8.82,57875
1-Jul-16,8.75,8.88,8.74,8.84,110976
30-Jun-16,8.74,8.79,8.72,8.78,76737
29-Jun-16,8.68,8.74,8.68,8.74,50616
28-Jun-16,8.66,8.70,8.62,8.69,40969
27-Jun-16,8.68,8.71,8.54,8.55,63638
24-Jun-16,8.70,8.78,8.63,8.72,44249
23-Jun-16,8.80,8.85,8.80,8.83,21753
22-Jun-16,8.77,8.80,8.75,8.79,33385
21-Jun-16,8.76,8.81,8.76,8.80,27318
20-Jun-16,8.79,8.79,8.75,8.76,28928
17-Jun-16,8.70,8.73,8.69,8.73,19102
16-Jun-16,8.69,8.74,8.64,8.74,26363
15-Jun-16,8.73,8.78,8.73,8.77,29577
14-Jun-16,8.76,8.77,8.75,8.76,26773
13-Jun-16,8.79,8.80,8.75,8.78,33123
10-Jun-16,8.76,8.83,8.76,8.83,13942
9-Jun-16,8.83,8.85,8.83,8.85,9885
8-Jun-16,8.86,8.88,8.83,8.86,84453
7-Jun-16,8.83,8.86,8.82,8.86,28786
6-Jun-16,8.79,8.84,8.79,8.84,19312
3-Jun-16,8.76,8.83,8.76,8.80,18266
2-Jun-16,8.77,8.80,8.75,8.77,17376
1-Jun-16,8.77,8.80,8.77,8.79,27328
31-May-16,8.81,8.82,8.78,8.81,23486
27-May-16,8.76,8.81,8.76,8.81,23124
26-May-16,8.75,8.79,8.75,8.76,23941
25-May-16,8.74,8.77,8.74,8.77,23392
24-May-16,8.69,8.76,8.69,8.74,24189
23-May-16,8.71,8.72,8.68,8.68,48785
20-May-16,8.64,8.78,8.64,8.68,58755
19-May-16,8.69,8.75,8.67,8.69,26086
18-May-16,8.76,8.78,8.72,8.73,4974
17-May-16,8.72,8.79,8.70,8.78,40511
16-May-16,8.74,8.82,8.73,8.78,26069
13-May-16,8.72,8.76,8.68,8.73,38692
12-May-16,8.69,8.76,8.69,8.76,18580
11-May-16,8.69,8.70,8.67,8.67,68688
10-May-16,8.63,8.73,8.63,8.71,13602
9-May-16,8.61,8.65,8.60,8.64,89241
6-May-16,8.65,8.68,8.62,8.63,37019
5-May-16,8.70,8.73,8.65,8.68,97478
4-May-16,8.75,8.76,8.70,8.70,30648
3-May-16,8.75,8.80,8.75,8.80,11785
2-May-16,8.80,8.88,8.80,8.81,14891
29-Apr-16,8.81,8.83,8.75,8.82,39709
28-Apr-16,8.72,8.84,8.72,8.81,11252
27-Apr-16,8.73,8.82,8.69,8.80,19549
26-Apr-16,8.73,8.78,8.70,8.77,18012
25-Apr-16,8.66,8.73,8.65,8.70,198110
22-Apr-16,8.68,8.75,8.68,8.74,16314
21-Apr-16,8.70,8.73,8.67,8.69,29363
20-Apr-16,8.62,8.70,8.62,8.68,21753
19-Apr-16,8.61,8.70,8.61,8.66,27347
18-Apr-16,8.59,8.64,8.57,8.62,36082
15-Apr-16,8.60,8.65,8.59,8.63,23400
14-Apr-16,8.53,8.60,8.53,8.60,21245
13-Apr-16,8.56,8.64,8.56,8.64,24068
12-Apr-16,8.58,8.58,8.56,8.58,14356
11-Apr-16,8.55,8.56,8.53,8.56,14115
8-Apr-16,8.53,8.55,8.51,8.53,18139
7-Apr-16,8.51,8.51,8.46,8.47,23886
6-Apr-16,8.46,8.52,8.46,8.50,10640
5-Apr-16,8.49,8.49,8.42,8.42,75414
4-Apr-16,8.49,8.50,8.42,8.45,49792
1-Apr-16,8.47,8.54,8.47,8.48,66345
31-Mar-16,8.47,8.53,8.45,8.48,27362
30-Mar-16,8.57,8.57,8.40,8.48,56474
29-Mar-16,8.51,8.52,8.46,8.50,31920
28-Mar-16,8.52,8.55,8.52,8.54,5935
24-Mar-16,8.52,8.55,8.51,8.51,12341
23-Mar-16,8.58,8.58,8.54,8.58,16994
22-Mar-16,8.52,8.56,8.51,8.56,4639
21-Mar-16,8.53,8.61,8.53,8.56,10090
18-Mar-16,8.51,8.55,8.48,8.50,45346
17-Mar-16,8.52,8.61,8.51,8.58,41019
16-Mar-16,8.49,8.61,8.49,8.57,21482
15-Mar-16,8.50,8.54,8.49,8.52,24510
14-Mar-16,8.51,8.58,8.50,8.54,25202
11-Mar-16,8.49,8.59,8.49,8.55,28088
10-Mar-16,8.44,8.49,8.44,8.46,33626
9-Mar-16,8.41,8.48,8.41,8.45,32968
8-Mar-16,8.39,8.45,8.39,8.41,38597
7-Mar-16,8.36,8.45,8.36,8.43,34110
4-Mar-16,8.33,8.40,8.33,8.38,31713
3-Mar-16,8.29,8.36,8.29,8.35,56773
2-Mar-16,8.30,8.32,8.26,8.29,67626
1-Mar-16,8.26,8.31,8.24,8.31,134844
29-Feb-16,8.15,8.31,8.15,8.23,170653
26-Feb-16,7.75,7.80,7.74,7.80,36283
25-Feb-16,7.64,7.75,7.64,7.75,32694
24-Feb-16,7.64,7.73,7.63,7.72,26248
23-Feb-16,7.66,7.69,7.66,7.68,19874
22-Feb-16,7.68,7.75,7.68,7.69,19402
19-Feb-16,7.68,7.70,7.66,7.69,15621
18-Feb-16,7.71,7.74,7.68,7.69,14245
17-Feb-16,7.63,7.71,7.63,7.71,10792
16-Feb-16,7.61,7.70,7.60,7.64,14022
12-Feb-16,7.58,7.65,7.51,7.61,29298
11-Feb-16,7.47,7.59,7.47,7.57,24231
10-Feb-16,7.61,7.65,7.56,7.61,29618
9-Feb-16,7.56,7.65,7.56,7.60,29013
8-Feb-16,7.74,7.74,7.61,7.64,48644
5-Feb-16,7.80,7.88,7.74,7.79,24815
4-Feb-16,7.81,7.94,7.79,7.83,26669
3-Feb-16,7.84,7.88,7.73,7.86,21982
2-Feb-16,7.86,7.87,7.77,7.81,16804
1-Feb-16,7.95,7.95,7.82,7.91,22831
29-Jan-16,7.86,7.97,7.85,7.95,40277
28-Jan-16,7.87,7.87,7.80,7.85,8543
27-Jan-16,7.74,7.81,7.74,7.80,14867
26-Jan-16,7.72,7.83,7.71,7.81,17528
25-Jan-16,7.61,7.78,7.58,7.67,51186
22-Jan-16,7.55,7.72,7.53,7.58,24879
