Date,Open,High,Low,Close,Volume
22-Nov-16,48.25,49.56,48.00,48.27,3856782
21-Nov-16,47.75,48.49,47.46,48.14,2356073
18-Nov-16,48.43,48.46,47.50,47.57,2307754
17-Nov-16,47.68,48.93,47.52,48.57,3418675
16-Nov-16,46.97,47.85,46.76,47.51,2639743
15-Nov-16,47.25,47.46,46.12,46.90,4176628
14-Nov-16,49.43,50.20,47.01,47.16,6780569
11-Nov-16,49.30,51.00,46.57,49.70,15560939
10-Nov-16,51.06,52.33,50.76,51.76,4563290
9-Nov-16,49.56,50.82,48.94,50.18,2959296
8-Nov-16,50.26,51.04,49.95,50.32,2414304
7-Nov-16,49.87,51.77,49.64,50.30,3857736
4-Nov-16,48.28,49.99,48.25,49.09,2535982
3-Nov-16,49.75,49.85,48.01,48.24,2972001
2-Nov-16,49.99,51.18,49.57,49.73,2565115
1-Nov-16,50.95,52.67,50.12,50.37,4171971
31-Oct-16,50.23,51.28,50.01,50.78,3689470
28-Oct-16,48.21,50.88,48.14,50.12,5556020
27-Oct-16,48.77,49.04,47.97,48.17,1828854
26-Oct-16,48.38,49.15,48.34,48.56,1429891
25-Oct-16,48.21,48.89,48.21,48.55,1496019
24-Oct-16,49.14,49.37,48.51,48.84,1396409
21-Oct-16,49.01,49.03,48.11,48.95,2447015
20-Oct-16,49.95,49.95,49.17,49.60,3019323
19-Oct-16,47.74,50.33,47.48,50.10,6577593
18-Oct-16,46.91,47.85,46.62,47.52,2492908
17-Oct-16,46.92,47.36,46.52,46.55,1642440
14-Oct-16,46.91,47.21,46.64,46.65,2435436
13-Oct-16,46.32,46.78,45.18,46.63,3141155
12-Oct-16,45.65,47.00,45.45,46.77,3131006
11-Oct-16,46.44,46.77,45.47,45.65,3270540
10-Oct-16,47.24,47.61,46.39,46.42,2205080
7-Oct-16,47.70,47.78,46.86,46.96,2156193
6-Oct-16,47.01,47.73,46.68,47.52,3053958
5-Oct-16,47.38,47.44,47.00,47.01,1843432
4-Oct-16,46.60,47.50,46.05,47.35,2467602
3-Oct-16,46.61,46.88,46.10,46.44,1750769
30-Sep-16,46.99,47.32,46.44,46.79,2874206
29-Sep-16,47.98,48.28,46.87,46.87,1779282
28-Sep-16,48.02,48.35,47.77,48.24,1895649
