Date,Open,High,Low,Close,Volume
22-Nov-16,14.60,14.86,14.59,14.85,204981
21-Nov-16,14.38,14.65,14.35,14.57,179385
18-Nov-16,14.32,14.46,14.00,14.45,210236
17-Nov-16,14.16,14.38,14.16,14.25,203467
16-Nov-16,13.94,14.24,13.94,14.19,168872
15-Nov-16,13.78,14.05,13.72,14.01,159451
14-Nov-16,13.75,14.00,13.65,13.85,323045
11-Nov-16,13.58,13.90,13.57,13.74,450177
10-Nov-16,13.74,13.81,13.33,13.53,390883
9-Nov-16,13.14,13.71,13.11,13.66,274267
8-Nov-16,13.45,13.48,13.29,13.32,229256
7-Nov-16,13.44,13.63,13.40,13.46,483229
4-Nov-16,13.15,13.33,12.87,13.23,496965
3-Nov-16,12.66,12.80,12.63,12.76,214628
2-Nov-16,12.46,12.69,12.40,12.67,339526
1-Nov-16,12.67,12.76,12.43,12.50,240072
31-Oct-16,12.57,12.73,12.52,12.68,291153
28-Oct-16,12.52,12.63,12.44,12.57,128939
27-Oct-16,12.69,12.69,12.45,12.53,120146
26-Oct-16,12.70,12.76,12.64,12.64,101860
25-Oct-16,12.66,12.75,12.61,12.71,93393
24-Oct-16,12.35,12.70,12.35,12.63,117852
21-Oct-16,12.20,12.30,12.14,12.28,195531
20-Oct-16,12.28,12.34,12.24,12.25,244509
19-Oct-16,12.29,12.39,12.24,12.26,143333
18-Oct-16,12.24,12.25,12.17,12.20,144210
17-Oct-16,12.25,12.37,12.17,12.18,127409
14-Oct-16,12.47,12.52,12.25,12.26,227662
13-Oct-16,12.39,12.52,12.33,12.39,200160
12-Oct-16,12.42,12.59,12.35,12.45,172415
11-Oct-16,12.43,12.50,12.36,12.40,173674
10-Oct-16,12.49,12.60,12.45,12.48,190021
7-Oct-16,12.53,12.58,12.33,12.40,196027
6-Oct-16,12.66,12.70,12.23,12.47,240927
5-Oct-16,12.73,12.80,12.61,12.66,213725
4-Oct-16,13.01,13.01,12.62,12.72,225834
3-Oct-16,13.27,13.28,12.95,13.01,152508
30-Sep-16,13.27,13.33,13.19,13.24,180943
29-Sep-16,13.34,13.34,13.17,13.23,175871
28-Sep-16,13.30,13.34,13.17,13.33,136078
27-Sep-16,13.17,13.23,13.04,13.21,138884
26-Sep-16,13.23,13.31,13.11,13.13,164974
23-Sep-16,13.36,13.42,13.21,13.23,145387
22-Sep-16,13.42,13.45,13.28,13.41,247104
21-Sep-16,12.99,13.26,12.98,13.25,186525
20-Sep-16,13.04,13.05,12.90,12.90,106529
19-Sep-16,12.93,13.14,12.89,12.97,111442
16-Sep-16,12.85,12.97,12.73,12.88,405991
15-Sep-16,12.75,13.01,12.75,12.86,164704
14-Sep-16,12.90,13.01,12.75,12.78,453132
13-Sep-16,13.15,13.20,12.82,12.87,284988
12-Sep-16,12.90,13.27,12.72,13.23,392543
9-Sep-16,13.28,13.31,13.01,13.01,437728
8-Sep-16,13.48,13.59,13.24,13.36,386883
7-Sep-16,13.64,13.87,13.61,13.85,381132
6-Sep-16,13.84,13.85,13.39,13.59,609303
2-Sep-16,13.42,13.75,13.37,13.74,588350
1-Sep-16,13.32,13.33,13.06,13.25,115889
