Date,Open,High,Low,Close,Volume
22-Nov-16,6.28,6.29,5.84,5.96,10092708
21-Nov-16,6.02,6.22,5.93,6.14,15064432
18-Nov-16,6.10,6.19,5.95,5.98,11020713
17-Nov-16,6.27,6.28,5.92,6.06,14713277
16-Nov-16,6.48,6.51,6.27,6.38,11789067
15-Nov-16,6.36,6.56,6.14,6.52,12991717
14-Nov-16,6.18,6.46,6.12,6.31,12352568
11-Nov-16,5.89,6.18,5.71,6.14,11922405
10-Nov-16,5.60,5.98,5.54,5.89,12407655
9-Nov-16,5.54,5.76,5.30,5.61,17491489
8-Nov-16,5.85,5.87,5.67,5.76,14542633
7-Nov-16,5.98,6.18,5.67,5.91,28207649
4-Nov-16,5.09,5.21,4.99,5.13,10293636
3-Nov-16,5.07,5.17,4.90,5.09,11155872
2-Nov-16,4.83,4.89,4.72,4.81,7421016
1-Nov-16,4.92,4.95,4.75,4.86,11723590
31-Oct-16,4.74,4.94,4.64,4.93,10406687
28-Oct-16,4.90,4.93,4.69,4.70,7750069
27-Oct-16,4.80,4.88,4.68,4.75,3498461
26-Oct-16,4.87,4.99,4.74,4.76,6448590
25-Oct-16,4.85,4.99,4.82,4.90,6226020
24-Oct-16,4.92,5.05,4.81,4.87,6540321
21-Oct-16,4.81,4.96,4.78,4.85,6446266
20-Oct-16,5.05,5.05,4.85,4.86,4354282
19-Oct-16,4.91,5.14,4.82,5.07,8646597
18-Oct-16,4.96,5.00,4.81,4.91,7419605
17-Oct-16,5.38,5.39,4.84,4.99,18190182
14-Oct-16,5.57,5.74,5.36,5.38,8431597
13-Oct-16,5.48,5.61,5.37,5.50,5539719
12-Oct-16,5.77,5.77,5.49,5.54,11553400
11-Oct-16,5.82,5.90,5.72,5.79,8288301
10-Oct-16,5.98,6.07,5.97,6.04,4160452
7-Oct-16,6.03,6.12,5.86,5.95,6204714
6-Oct-16,6.14,6.16,6.03,6.05,6941901
5-Oct-16,6.18,6.25,6.14,6.17,2955845
4-Oct-16,6.16,6.25,6.07,6.16,4106831
3-Oct-16,6.12,6.22,6.08,6.16,3067416
30-Sep-16,6.13,6.26,6.03,6.18,4977521
29-Sep-16,6.24,6.28,6.03,6.08,4506711
28-Sep-16,6.21,6.28,6.00,6.24,5242935
27-Sep-16,6.15,6.27,6.11,6.23,4126475
26-Sep-16,6.28,6.37,6.07,6.11,5045048
23-Sep-16,6.11,6.41,6.09,6.28,7713868
22-Sep-16,6.10,6.19,6.06,6.11,4563899
21-Sep-16,6.06,6.20,6.02,6.11,3717217
20-Sep-16,6.21,6.23,5.93,6.10,6072236
19-Sep-16,6.50,6.58,6.08,6.19,15200960
16-Sep-16,6.17,6.45,6.17,6.43,14531456
15-Sep-16,5.75,6.25,5.74,6.17,16866568
14-Sep-16,5.82,5.92,5.65,5.75,7716973
13-Sep-16,5.52,5.85,5.48,5.75,10112552
12-Sep-16,5.31,5.59,5.31,5.59,5902609
9-Sep-16,5.39,5.53,5.36,5.36,6111545
8-Sep-16,5.33,5.48,5.30,5.47,5205192
7-Sep-16,5.33,5.44,5.29,5.41,4992377
6-Sep-16,5.43,5.54,5.35,5.35,5533454
2-Sep-16,5.38,5.45,5.29,5.40,3925148
1-Sep-16,5.43,5.51,5.25,5.30,4641127
31-Aug-16,5.48,5.54,5.35,5.41,4000801
30-Aug-16,5.60,5.63,5.46,5.50,5462440
29-Aug-16,5.40,5.58,5.39,5.56,4266808
26-Aug-16,5.53,5.65,5.35,5.40,6768631
25-Aug-16,5.45,5.64,5.41,5.52,9104411
24-Aug-16,5.24,5.63,5.24,5.44,9009100
23-Aug-16,5.33,5.41,5.15,5.24,8182118
22-Aug-16,5.45,5.55,5.31,5.39,7137073
19-Aug-16,5.58,5.60,5.43,5.49,8653330
18-Aug-16,5.50,5.67,5.40,5.59,7718792
17-Aug-16,5.61,5.74,5.33,5.53,9314762
16-Aug-16,5.75,5.84,5.54,5.63,13015547
15-Aug-16,5.41,5.91,5.41,5.82,13529485
12-Aug-16,5.41,5.49,5.30,5.40,10555320
11-Aug-16,4.90,5.60,4.82,5.46,26357367
10-Aug-16,4.84,4.94,4.65,4.91,15475331
9-Aug-16,4.58,4.99,4.30,4.79,25031701
8-Aug-16,4.78,4.93,4.71,4.79,15205156
5-Aug-16,4.63,4.79,4.60,4.75,7288743
4-Aug-16,4.65,4.78,4.53,4.60,7125631
3-Aug-16,4.46,4.65,4.43,4.64,4332495
2-Aug-16,4.56,4.59,4.40,4.47,5361872
1-Aug-16,4.60,4.64,4.56,4.59,3837935
29-Jul-16,4.58,4.62,4.53,4.62,4524048
28-Jul-16,4.62,4.78,4.59,4.60,3799400
27-Jul-16,4.58,4.70,4.51,4.65,4856666
26-Jul-16,4.37,4.65,4.31,4.64,6715565
25-Jul-16,4.39,4.41,4.30,4.34,6932574
