Date,Open,High,Low,Close,Volume
22-Nov-16,126.24,127.14,123.88,124.73,765879
21-Nov-16,126.06,126.62,125.41,126.12,546791
18-Nov-16,126.81,127.81,125.93,126.00,653596
17-Nov-16,127.01,128.07,126.58,127.12,717848
16-Nov-16,127.89,127.98,126.97,127.01,647802
15-Nov-16,128.06,128.91,127.15,128.03,547116
14-Nov-16,125.67,127.90,125.26,127.50,731253
11-Nov-16,125.80,126.85,124.42,124.82,717347
10-Nov-16,123.89,126.75,122.38,126.21,1363160
9-Nov-16,126.98,126.98,119.51,121.72,2286599
8-Nov-16,124.79,126.74,124.05,126.06,532824
7-Nov-16,123.66,125.38,123.62,125.14,630975
4-Nov-16,121.76,123.07,120.98,121.89,813040
3-Nov-16,123.97,124.76,121.56,121.63,836352
2-Nov-16,123.44,125.66,123.31,124.02,642362
1-Nov-16,125.68,125.82,122.37,123.83,874791
31-Oct-16,124.37,126.13,124.11,125.34,1101293
28-Oct-16,123.30,124.94,122.00,124.00,1329255
27-Oct-16,126.56,126.80,123.94,123.95,1461919
26-Oct-16,133.89,134.21,123.19,126.46,3991360
25-Oct-16,139.94,140.21,138.10,138.41,718604
24-Oct-16,139.44,140.27,139.17,139.67,662963
21-Oct-16,138.93,139.27,138.23,138.76,669415
20-Oct-16,137.78,139.99,137.36,139.82,832022
19-Oct-16,138.74,138.74,137.39,138.03,571504
18-Oct-16,137.29,138.95,136.94,138.31,681650
17-Oct-16,135.84,136.44,135.50,135.97,298746
14-Oct-16,137.02,137.34,135.77,135.79,482797
13-Oct-16,135.79,137.06,134.93,136.37,475471
12-Oct-16,136.52,137.20,136.07,136.52,396644
11-Oct-16,138.57,139.13,135.83,136.48,430545
10-Oct-16,139.25,140.00,138.75,139.10,483268
7-Oct-16,137.59,139.24,137.15,138.87,931437
6-Oct-16,136.38,137.51,135.84,137.48,484106
5-Oct-16,136.67,137.05,135.83,136.63,439156
4-Oct-16,136.04,136.96,134.85,136.00,461984
3-Oct-16,136.95,137.33,135.97,136.33,474173
30-Sep-16,135.91,138.04,135.18,137.48,663324
29-Sep-16,136.90,137.10,134.67,135.46,447619
28-Sep-16,137.84,138.25,135.72,136.89,727339
27-Sep-16,137.26,137.81,136.63,137.79,470743
26-Sep-16,136.59,137.16,136.36,137.02,642729
23-Sep-16,137.55,138.02,136.64,137.39,342435
22-Sep-16,137.46,138.22,137.22,137.83,421597
21-Sep-16,134.97,136.91,134.63,136.72,407258
20-Sep-16,136.25,136.25,134.27,134.67,438449
19-Sep-16,136.13,136.56,134.58,135.01,672904
16-Sep-16,134.72,136.11,133.57,135.38,802175
15-Sep-16,133.06,135.26,132.58,134.68,631321
14-Sep-16,133.73,133.87,132.58,132.99,555783
13-Sep-16,133.99,134.81,131.96,133.34,1443967
12-Sep-16,135.00,137.36,134.34,136.97,895016
9-Sep-16,138.00,138.00,135.02,135.02,760861
8-Sep-16,139.43,140.13,138.85,139.12,851438
7-Sep-16,138.00,140.60,137.91,140.46,820007
6-Sep-16,137.91,138.37,137.42,138.37,723969
2-Sep-16,136.73,137.76,136.14,137.71,594387
1-Sep-16,136.93,137.14,135.50,136.13,465523
31-Aug-16,137.26,137.50,135.97,136.93,497113
30-Aug-16,137.70,138.16,137.14,137.63,338906
29-Aug-16,136.19,138.18,136.09,137.74,517521
26-Aug-16,135.41,137.23,135.21,136.04,781234
25-Aug-16,135.86,137.12,135.16,135.42,835899
24-Aug-16,138.01,138.68,135.98,136.32,593766
23-Aug-16,138.68,138.89,138.06,138.07,429525
22-Aug-16,138.15,138.72,137.43,138.43,452686
19-Aug-16,138.16,138.41,137.58,138.05,494938
18-Aug-16,138.29,139.04,138.04,138.71,519073
17-Aug-16,139.14,139.96,137.90,138.24,811364
16-Aug-16,139.66,140.05,138.18,138.89,658956
15-Aug-16,140.53,140.80,139.62,139.77,401481
12-Aug-16,140.41,140.95,139.88,140.05,613395
11-Aug-16,140.27,141.05,140.27,140.98,437406
10-Aug-16,139.75,140.25,139.01,140.15,349938
9-Aug-16,139.73,140.32,139.18,139.97,475426
8-Aug-16,140.80,141.07,139.14,139.35,792565
5-Aug-16,140.49,141.32,140.20,140.76,774641
4-Aug-16,140.44,140.81,139.58,140.09,930967
3-Aug-16,139.00,140.66,138.99,140.13,717642
2-Aug-16,139.69,139.86,138.00,139.38,1112178
1-Aug-16,139.87,140.44,139.00,139.63,942826
29-Jul-16,138.29,139.64,137.98,139.56,810187
28-Jul-16,137.60,139.09,136.78,138.51,663067
27-Jul-16,138.01,139.80,134.90,137.60,1321497
26-Jul-16,137.23,138.08,136.86,138.00,868939
25-Jul-16,138.75,138.80,137.53,137.84,656486
22-Jul-16,138.17,138.98,138.11,138.82,513195
21-Jul-16,137.90,139.26,137.42,137.88,718166
20-Jul-16,136.98,138.63,136.51,138.12,1131737
19-Jul-16,136.40,137.32,136.19,136.80,1100123
18-Jul-16,136.12,136.97,135.67,136.42,500501
15-Jul-16,136.57,136.67,135.98,136.19,448073
14-Jul-16,136.38,136.57,135.88,136.32,738022
13-Jul-16,136.96,137.48,135.89,135.90,708789
12-Jul-16,136.26,136.77,135.88,136.25,779368
11-Jul-16,135.61,136.43,135.04,135.55,659485
8-Jul-16,132.79,135.63,132.41,135.30,1271558
7-Jul-16,132.20,132.98,131.81,131.97,982679
