Date,Open,High,Low,Close,Volume
22-Nov-16,17.18,18.57,17.18,18.27,1238036
21-Nov-16,17.10,17.20,16.56,17.02,666151
18-Nov-16,16.83,16.99,16.70,16.90,437313
17-Nov-16,16.70,16.99,16.43,16.76,439589
16-Nov-16,16.60,16.67,16.25,16.56,509018
15-Nov-16,16.81,17.17,16.52,16.63,589628
14-Nov-16,16.82,17.12,16.61,16.83,783690
11-Nov-16,15.28,16.51,15.28,16.47,927802
10-Nov-16,15.10,15.57,15.09,15.27,860526
9-Nov-16,14.28,15.16,14.02,15.10,1116394
8-Nov-16,15.16,15.24,14.36,14.78,1198914
7-Nov-16,15.63,15.74,15.11,15.22,756555
4-Nov-16,14.99,15.59,14.95,15.31,846401
3-Nov-16,15.07,15.20,14.70,15.02,828243
2-Nov-16,15.22,15.25,14.78,14.99,922799
1-Nov-16,15.34,15.65,14.80,15.18,2056811
31-Oct-16,18.45,18.55,15.03,15.51,6658792
28-Oct-16,18.10,18.80,18.03,18.48,825189
27-Oct-16,18.44,18.68,17.94,18.08,614338
26-Oct-16,18.47,18.95,18.25,18.37,576815
25-Oct-16,19.02,19.03,18.35,18.48,520574
24-Oct-16,19.47,19.53,18.80,19.03,655152
21-Oct-16,18.90,19.39,18.77,19.22,590015
20-Oct-16,18.98,19.38,18.86,19.10,610926
19-Oct-16,19.13,19.31,18.92,19.05,769309
18-Oct-16,18.98,19.35,18.60,18.97,748324
17-Oct-16,18.66,19.01,18.56,18.74,835700
14-Oct-16,18.90,19.02,18.63,18.64,467200
13-Oct-16,18.83,18.95,18.56,18.75,534283
12-Oct-16,18.92,19.44,18.80,19.11,424405
11-Oct-16,19.40,19.43,18.69,18.83,697872
10-Oct-16,19.63,19.80,19.30,19.44,400544
7-Oct-16,19.70,20.09,19.38,19.48,648475
6-Oct-16,19.47,19.71,19.11,19.62,768198
5-Oct-16,19.06,19.75,19.00,19.45,791774
4-Oct-16,19.55,20.10,18.90,18.93,1217017
3-Oct-16,19.67,19.82,19.33,19.53,488097
30-Sep-16,19.27,19.82,19.21,19.67,1062477
29-Sep-16,18.20,20.09,18.20,19.07,2148537
28-Sep-16,18.04,18.29,17.87,18.21,830808
27-Sep-16,17.75,18.05,17.59,18.01,826527
26-Sep-16,17.96,18.08,17.77,17.79,579369
23-Sep-16,18.29,18.69,17.68,17.97,1433894
22-Sep-16,17.14,18.30,17.14,18.23,2687764
21-Sep-16,15.89,17.09,15.89,17.07,2393216
20-Sep-16,15.93,15.94,15.60,15.61,341368
19-Sep-16,15.71,16.33,15.65,15.87,622857
16-Sep-16,15.67,15.87,15.53,15.68,461441
15-Sep-16,15.30,15.78,15.26,15.78,680034
14-Sep-16,15.53,15.74,15.30,15.31,563126
13-Sep-16,15.83,16.02,15.38,15.53,443997
12-Sep-16,15.68,16.07,15.49,16.01,527984
9-Sep-16,15.99,16.08,15.58,15.67,670166
8-Sep-16,15.89,16.31,15.88,16.09,575122
7-Sep-16,15.70,16.09,15.65,16.07,504539
6-Sep-16,16.00,16.00,15.62,15.74,357148
2-Sep-16,15.68,15.97,15.63,15.91,408951
1-Sep-16,15.75,15.78,15.35,15.60,560741
31-Aug-16,15.95,16.20,15.67,15.76,462963
30-Aug-16,16.09,16.25,15.85,15.98,394985
29-Aug-16,15.98,16.23,15.95,16.06,336149
26-Aug-16,16.22,16.38,15.80,15.97,582213
25-Aug-16,15.75,16.33,15.75,16.19,718726
24-Aug-16,16.25,16.41,15.80,15.84,922960
23-Aug-16,16.35,16.62,16.26,16.31,694179
22-Aug-16,16.33,16.39,16.12,16.26,555014
19-Aug-16,16.72,16.73,16.27,16.35,652463
18-Aug-16,16.78,17.08,16.58,16.81,809618
17-Aug-16,17.65,17.84,16.39,16.84,3438474
16-Aug-16,16.46,16.49,16.13,16.28,328707
15-Aug-16,16.34,16.56,16.32,16.41,503383
12-Aug-16,16.11,16.52,16.11,16.32,634163
11-Aug-16,16.00,16.35,15.93,16.23,589453
10-Aug-16,15.93,16.09,15.67,15.88,550506
9-Aug-16,15.91,16.08,15.73,15.85,694585
8-Aug-16,15.67,16.19,15.67,15.97,925894
5-Aug-16,15.46,15.83,15.32,15.61,858746
4-Aug-16,15.50,15.85,15.20,15.22,761238
3-Aug-16,15.06,15.63,14.95,15.61,945360
2-Aug-16,15.27,15.45,15.04,15.20,1027213
1-Aug-16,14.98,15.41,14.51,15.31,1697802
29-Jul-16,14.38,15.06,14.26,15.03,1465794
28-Jul-16,15.06,15.30,14.44,14.49,2210407
27-Jul-16,15.77,16.33,14.85,15.10,4213403
26-Jul-16,16.86,17.44,16.85,16.98,1266847
25-Jul-16,17.10,17.10,16.45,16.90,1262348
22-Jul-16,17.28,17.48,17.01,17.32,727851
21-Jul-16,16.98,17.45,16.93,17.32,637174
20-Jul-16,17.11,17.29,16.72,17.17,596206
19-Jul-16,17.24,17.42,16.97,17.10,465178
18-Jul-16,16.79,17.55,16.72,17.32,828362
15-Jul-16,16.93,17.13,16.69,16.75,583617
14-Jul-16,17.16,17.37,16.79,16.85,745103
13-Jul-16,17.62,17.88,16.78,17.05,955720
12-Jul-16,17.75,17.99,17.52,17.55,1579499
11-Jul-16,16.96,17.58,16.93,17.47,1121230
8-Jul-16,16.50,17.16,16.50,16.85,1012875
7-Jul-16,15.94,16.56,15.92,16.36,904446
6-Jul-16,15.22,15.89,15.15,15.81,613500
5-Jul-16,15.72,15.84,15.02,15.49,784174
1-Jul-16,15.51,16.13,15.46,15.88,1025524
30-Jun-16,15.27,15.43,14.90,15.42,1515719
29-Jun-16,14.89,15.41,14.77,15.32,851304
28-Jun-16,14.53,14.94,14.47,14.69,982226
27-Jun-16,15.36,15.50,14.13,14.29,1881835
24-Jun-16,15.09,15.81,15.00,15.71,1260296
23-Jun-16,15.44,15.86,15.42,15.78,903294
22-Jun-16,15.58,15.76,15.26,15.42,847846
21-Jun-16,16.00,16.10,15.20,15.45,1648719
20-Jun-16,16.00,16.25,15.34,15.93,2166287
17-Jun-16,14.27,16.49,14.19,15.78,7126418
16-Jun-16,13.00,13.34,12.67,13.23,684056
15-Jun-16,13.25,13.67,13.13,13.14,918148
14-Jun-16,13.29,13.46,12.90,13.16,674048
13-Jun-16,13.45,13.60,13.12,13.35,1147953
10-Jun-16,14.09,14.26,13.38,13.50,996431
9-Jun-16,14.27,14.45,14.09,14.33,696979
8-Jun-16,14.33,14.56,14.31,14.47,588834
7-Jun-16,14.00,14.59,14.00,14.29,1157211
6-Jun-16,13.30,14.09,13.27,14.08,786079
3-Jun-16,13.45,13.52,13.05,13.39,673419
2-Jun-16,12.98,13.49,12.95,13.45,904014
1-Jun-16,13.00,13.23,12.90,13.01,754434
31-May-16,12.91,13.22,12.76,13.10,824363
27-May-16,12.51,12.92,12.51,12.80,637793
26-May-16,12.58,12.95,12.50,12.53,795739
25-May-16,11.93,12.67,11.93,12.53,1081488
24-May-16,11.60,12.10,11.60,12.01,846790
23-May-16,12.00,12.10,11.84,11.90,850035
20-May-16,11.50,12.15,11.47,12.02,1136611
19-May-16,11.33,11.60,11.21,11.46,816183
18-May-16,11.56,11.64,11.28,11.35,867228
17-May-16,11.40,12.05,11.40,11.59,1473012
16-May-16,11.46,11.65,11.30,11.41,1545928
13-May-16,11.54,11.79,11.29,11.34,1258971
12-May-16,11.60,11.97,11.53,11.58,1918098
11-May-16,12.23,12.26,11.44,11.51,2592845
10-May-16,11.10,13.18,11.07,12.39,5843489
9-May-16,13.26,13.60,12.64,13.45,2096373
6-May-16,13.23,13.53,13.11,13.53,645642
5-May-16,13.90,14.06,13.34,13.36,785761
4-May-16,14.03,14.40,13.79,13.91,465690
3-May-16,14.45,14.51,13.97,14.08,837208
2-May-16,14.95,15.22,14.52,14.71,868655
29-Apr-16,15.36,15.42,14.38,14.91,1421787
28-Apr-16,16.05,16.25,15.24,15.28,1453811
27-Apr-16,15.78,16.22,15.50,16.02,1070104
26-Apr-16,14.87,15.75,14.87,15.74,1753414
25-Apr-16,15.03,15.07,14.63,14.87,950091
22-Apr-16,14.85,15.62,14.85,15.04,1409987
21-Apr-16,15.29,15.35,14.78,14.82,896983
20-Apr-16,15.02,15.39,14.89,15.16,1043865
19-Apr-16,15.28,15.64,14.79,14.99,1145980
18-Apr-16,15.07,15.32,14.84,15.25,1151913
15-Apr-16,15.11,15.57,14.95,15.13,1172024
14-Apr-16,15.21,15.38,14.85,15.19,1222363
13-Apr-16,14.32,15.35,14.32,15.24,1596895
12-Apr-16,13.95,14.46,13.84,14.22,981112
11-Apr-16,13.81,14.15,13.75,13.96,1263105
8-Apr-16,13.80,14.10,13.56,13.76,860382
7-Apr-16,14.16,14.25,13.64,13.72,1075339
6-Apr-16,14.50,14.59,13.78,14.21,1711069
5-Apr-16,13.45,15.00,13.42,14.20,4595746
4-Apr-16,13.01,13.49,12.81,12.82,1039751
1-Apr-16,13.02,13.26,12.83,13.06,733578
31-Mar-16,12.96,13.29,12.86,13.12,907033
30-Mar-16,13.17,13.27,12.65,12.91,1067246
29-Mar-16,12.65,13.27,12.54,13.04,1426599
28-Mar-16,13.17,13.22,12.39,12.69,1185129
24-Mar-16,12.57,13.23,12.30,13.15,2045863
23-Mar-16,14.32,14.80,12.53,12.54,5544719
22-Mar-16,11.94,14.33,11.80,13.94,7680551
21-Mar-16,12.25,12.30,11.93,12.02,795523
18-Mar-16,11.46,12.26,11.42,12.24,1732013
