Date,Open,High,Low,Close,Volume
22-Nov-16,79.00,79.27,78.08,79.02,144647
21-Nov-16,78.78,79.27,77.44,79.04,105433
18-Nov-16,79.00,79.25,78.43,78.98,115530
17-Nov-16,79.00,79.08,77.40,79.04,100146
16-Nov-16,77.64,79.04,77.08,78.93,78565
15-Nov-16,77.74,78.59,77.65,78.37,62894
14-Nov-16,78.28,79.20,76.19,77.82,117171
11-Nov-16,78.52,78.62,76.44,78.52,201213
10-Nov-16,78.57,79.02,77.05,78.63,314384
9-Nov-16,76.59,79.33,74.52,77.69,158706
8-Nov-16,77.13,77.88,75.65,77.09,73264
7-Nov-16,78.05,79.20,76.99,77.41,65396
4-Nov-16,76.13,78.50,76.12,76.76,131469
3-Nov-16,76.75,76.76,75.74,75.96,40758
2-Nov-16,77.28,78.03,76.42,76.80,58652
1-Nov-16,78.19,78.19,76.75,77.30,83614
31-Oct-16,78.57,78.77,77.92,78.30,137101
28-Oct-16,77.77,78.77,77.77,78.39,53815
27-Oct-16,78.16,78.51,76.95,78.10,70081
26-Oct-16,77.88,78.81,77.76,78.07,103092
25-Oct-16,78.25,78.98,78.07,78.39,128662
24-Oct-16,79.02,79.04,78.29,78.50,111016
21-Oct-16,76.27,78.38,76.27,78.23,93852
20-Oct-16,77.76,78.08,76.41,76.93,110645
19-Oct-16,78.74,78.74,77.89,78.01,130605
18-Oct-16,78.28,78.73,77.48,78.40,118384
17-Oct-16,78.72,78.75,77.38,77.55,129110
14-Oct-16,78.28,79.23,77.68,78.42,211438
13-Oct-16,74.40,80.28,73.57,76.93,647188
12-Oct-16,70.63,70.87,69.11,69.30,110869
11-Oct-16,71.22,71.40,69.42,70.70,99793
10-Oct-16,71.74,72.56,70.19,71.71,167070
7-Oct-16,73.16,73.16,71.22,71.28,49050
6-Oct-16,73.10,73.26,72.48,73.05,133263
5-Oct-16,73.61,74.40,72.68,73.01,103361
4-Oct-16,74.02,74.65,72.77,73.09,43458
3-Oct-16,73.75,74.39,73.04,73.67,81022
30-Sep-16,73.13,74.41,72.22,73.98,63703
29-Sep-16,73.33,73.92,72.73,72.77,48098
28-Sep-16,72.32,74.69,72.32,73.33,223939
27-Sep-16,72.31,73.62,71.31,72.14,52601
26-Sep-16,72.88,73.44,71.66,72.27,50923
23-Sep-16,73.53,74.47,72.75,73.11,40839
22-Sep-16,72.81,74.13,72.43,73.95,50964
21-Sep-16,72.19,72.80,71.16,72.13,61005
20-Sep-16,71.63,72.50,71.12,71.66,36683
19-Sep-16,71.18,72.70,70.99,71.41,49758
16-Sep-16,71.25,71.86,69.69,70.79,106047
15-Sep-16,69.87,71.76,69.56,71.29,62530
14-Sep-16,70.00,70.39,69.48,70.11,44217
13-Sep-16,70.83,71.46,69.14,70.05,66529
12-Sep-16,70.16,71.60,69.51,71.19,89129
9-Sep-16,71.83,72.09,70.36,70.45,75270
8-Sep-16,71.20,72.28,70.52,72.19,72982
7-Sep-16,71.22,71.50,69.94,71.18,90220
6-Sep-16,72.68,72.68,70.76,71.15,115282
2-Sep-16,72.06,72.97,71.72,72.79,37163
1-Sep-16,71.98,71.98,70.98,71.52,40765
31-Aug-16,73.10,73.16,71.94,71.96,53995
30-Aug-16,73.64,73.75,72.86,73.23,56535
29-Aug-16,74.16,74.61,73.15,73.20,45470
26-Aug-16,74.18,74.44,73.50,74.18,68002
25-Aug-16,74.25,74.87,72.41,74.32,127954
24-Aug-16,73.90,74.77,73.52,74.33,72028
23-Aug-16,73.46,74.51,73.29,73.83,58650
22-Aug-16,72.54,73.56,72.06,73.25,46893
19-Aug-16,71.51,73.23,71.51,73.04,68174
18-Aug-16,71.21,72.40,71.05,71.74,65449
17-Aug-16,71.12,72.67,70.94,71.41,45809
16-Aug-16,71.24,71.61,71.01,71.28,40613
15-Aug-16,70.94,72.68,70.79,71.70,66342
12-Aug-16,70.56,71.46,70.44,71.28,85155
11-Aug-16,69.75,70.64,69.53,70.36,57133
10-Aug-16,70.17,70.98,69.62,70.01,53221
9-Aug-16,70.23,71.60,69.55,70.25,67781
8-Aug-16,69.71,70.54,69.71,69.99,49257
5-Aug-16,69.60,70.65,69.60,70.05,56473
4-Aug-16,70.89,71.28,69.35,69.37,43883
3-Aug-16,69.90,71.17,69.32,70.58,56793
2-Aug-16,70.27,70.63,69.57,69.79,65520
1-Aug-16,70.10,70.85,69.34,70.33,78462
29-Jul-16,69.24,70.24,69.20,70.16,77400
28-Jul-16,70.22,70.22,69.21,69.51,40643
27-Jul-16,70.39,70.69,69.27,70.25,42723
26-Jul-16,69.15,70.75,69.15,70.14,51975
25-Jul-16,69.07,69.89,68.50,68.99,87087
22-Jul-16,67.85,69.68,66.99,69.60,165561
21-Jul-16,68.41,68.75,67.53,68.05,99729
20-Jul-16,68.42,68.80,67.53,67.67,34300
19-Jul-16,69.93,69.93,68.39,68.44,60970
18-Jul-16,68.63,69.50,68.14,69.34,172658
15-Jul-16,70.00,70.02,68.00,68.61,119087
14-Jul-16,69.71,70.54,69.30,69.57,148300
13-Jul-16,70.10,70.56,68.74,69.21,94711
12-Jul-16,69.75,69.98,68.56,69.45,145718
11-Jul-16,70.49,70.71,68.93,68.94,94934
8-Jul-16,67.60,72.64,67.60,70.48,401944
7-Jul-16,67.03,67.99,66.45,67.20,151237
6-Jul-16,66.42,67.64,66.00,67.04,101897
5-Jul-16,67.67,68.19,65.80,66.80,170265
1-Jul-16,67.27,69.81,66.91,68.28,177748
30-Jun-16,70.75,75.70,66.84,67.86,346797
29-Jun-16,67.58,69.06,67.07,68.86,209591
28-Jun-16,68.09,68.64,65.82,66.76,112925
27-Jun-16,69.62,69.62,66.97,67.62,107042
24-Jun-16,69.59,71.81,69.55,70.56,184518
23-Jun-16,71.95,73.05,71.28,72.41,53015
22-Jun-16,70.94,71.78,70.44,70.81,69440
21-Jun-16,72.13,73.59,70.55,71.27,90838
20-Jun-16,68.55,72.51,68.55,72.04,181212
17-Jun-16,68.60,69.37,67.17,67.80,494256
16-Jun-16,68.50,70.10,67.70,69.00,140750
15-Jun-16,70.54,70.94,69.00,69.57,106222
14-Jun-16,70.86,72.68,69.00,70.05,124426
13-Jun-16,71.24,72.46,69.43,71.45,145997
10-Jun-16,73.78,74.28,71.99,72.27,78450
9-Jun-16,73.74,75.48,73.40,74.18,63865
8-Jun-16,75.14,75.56,74.41,74.55,77202
7-Jun-16,74.72,75.45,74.28,74.52,93477
6-Jun-16,70.43,74.25,70.43,74.15,160134
3-Jun-16,69.77,70.82,69.20,70.49,76033
2-Jun-16,69.23,69.90,67.10,69.68,118092
1-Jun-16,71.08,72.07,70.67,71.83,59017
31-May-16,69.37,71.40,68.75,71.34,122631
27-May-16,69.22,70.13,68.23,69.11,53394
26-May-16,70.57,70.96,69.50,69.58,96884
25-May-16,70.00,70.54,68.76,70.40,153167
24-May-16,68.63,70.07,67.51,69.83,122119
23-May-16,67.34,69.41,66.45,68.22,116107
20-May-16,67.36,67.52,65.78,67.27,126011
19-May-16,69.47,69.74,66.82,67.25,142616
18-May-16,69.62,70.33,68.43,69.15,95187
17-May-16,71.69,72.04,69.59,70.37,93717
16-May-16,70.04,73.92,69.12,71.91,159511
13-May-16,68.94,70.90,68.11,69.68,149185
12-May-16,69.80,70.39,68.22,69.13,89283
11-May-16,70.82,71.08,69.33,69.63,88907
10-May-16,69.89,71.43,69.27,71.12,85706
9-May-16,70.40,70.40,68.75,69.50,109539
6-May-16,69.98,71.03,69.37,70.73,100723
5-May-16,73.13,73.13,70.03,70.43,97274
4-May-16,73.31,73.57,71.16,71.48,95046
3-May-16,76.20,76.53,72.98,73.76,105983
2-May-16,76.92,77.34,75.38,76.64,137197
29-Apr-16,76.48,77.17,75.72,76.46,75554
28-Apr-16,77.59,78.21,76.76,76.91,116664
27-Apr-16,78.14,78.47,77.57,78.26,97699
26-Apr-16,77.36,77.92,77.15,77.89,116954
25-Apr-16,76.55,77.12,75.53,76.77,63229
22-Apr-16,76.34,79.04,76.22,76.96,176222
21-Apr-16,74.91,77.33,74.91,76.47,128268
20-Apr-16,74.19,75.79,73.67,75.13,74024
19-Apr-16,72.24,74.25,72.24,74.00,98398
18-Apr-16,71.93,72.23,71.19,72.16,67154
15-Apr-16,71.86,72.22,71.37,71.97,81977
14-Apr-16,70.31,71.92,70.31,71.82,140240
13-Apr-16,67.95,70.31,67.95,70.16,110913
12-Apr-16,68.31,69.15,67.12,67.48,142109
11-Apr-16,68.27,69.94,67.97,68.31,79237
8-Apr-16,67.90,68.35,67.19,67.78,69831
7-Apr-16,66.43,67.66,66.13,67.05,100180
6-Apr-16,67.93,68.42,65.78,66.59,130586
5-Apr-16,67.63,69.10,67.39,68.01,171101
4-Apr-16,69.56,69.88,67.88,68.16,168700
1-Apr-16,70.56,71.05,69.01,69.51,325450
31-Mar-16,75.50,75.50,70.69,71.61,311197
30-Mar-16,78.90,79.22,77.94,78.57,113697
29-Mar-16,76.74,79.06,76.24,78.37,144633
28-Mar-16,77.76,78.05,76.34,77.37,82044
24-Mar-16,76.04,77.09,76.04,76.74,66526
23-Mar-16,77.93,78.16,76.36,76.37,96396
22-Mar-16,77.90,79.17,77.88,78.23,110793
21-Mar-16,77.51,78.65,77.50,78.34,90258
18-Mar-16,78.76,78.78,76.38,77.59,239693
17-Mar-16,76.17,78.86,76.17,78.22,179029
16-Mar-16,74.89,76.26,74.35,75.74,72459
15-Mar-16,74.78,75.31,73.62,74.89,80003
14-Mar-16,75.81,76.73,75.08,75.40,125090
11-Mar-16,75.08,76.12,74.04,76.10,110837
10-Mar-16,74.76,75.15,72.77,74.30,122741
9-Mar-16,75.28,75.99,74.42,74.75,88586
8-Mar-16,73.84,75.70,73.40,74.74,79849
7-Mar-16,75.02,75.42,73.91,74.50,152813
4-Mar-16,74.12,76.25,74.12,75.01,83036
3-Mar-16,72.68,74.44,71.23,74.29,90449
2-Mar-16,74.34,76.08,72.25,73.06,142318
1-Mar-16,73.07,74.62,72.28,74.54,89507
29-Feb-16,72.50,74.27,72.25,72.40,69230
26-Feb-16,72.94,73.91,72.27,72.33,72388
25-Feb-16,73.73,75.46,70.82,72.38,121539
24-Feb-16,72.71,74.76,71.85,73.71,153074
23-Feb-16,77.37,78.17,73.00,73.79,307985
22-Feb-16,77.71,78.45,77.47,78.12,435204
19-Feb-16,77.29,79.27,75.84,77.64,351192
18-Feb-16,75.49,78.12,75.14,77.81,281378
17-Feb-16,74.97,76.30,74.82,75.11,245381
16-Feb-16,72.93,74.95,72.26,74.42,103591
12-Feb-16,71.10,72.92,70.51,72.24,98721
11-Feb-16,69.79,71.16,67.49,70.53,135158
10-Feb-16,70.68,71.40,70.05,70.64,108817
9-Feb-16,69.46,71.26,69.24,70.27,142738
8-Feb-16,69.38,70.68,68.68,70.42,81712
5-Feb-16,69.72,71.10,69.66,70.06,92904
4-Feb-16,67.79,71.25,67.14,70.14,97276
3-Feb-16,67.91,68.26,66.78,68.21,101143
2-Feb-16,67.85,68.62,65.44,67.23,136599
1-Feb-16,69.60,70.20,67.76,68.21,150118
29-Jan-16,67.16,70.34,67.16,70.34,153479
28-Jan-16,66.08,67.99,66.08,66.86,76956
27-Jan-16,66.98,68.47,66.17,66.53,102002
26-Jan-16,64.73,67.56,64.73,67.14,86776
25-Jan-16,64.96,67.10,64.19,64.57,140368
22-Jan-16,65.23,66.63,64.35,65.50,120877
21-Jan-16,65.80,66.18,64.09,64.37,161864
20-Jan-16,64.10,66.34,62.99,65.65,157774
19-Jan-16,65.71,66.00,64.01,64.70,182902
15-Jan-16,64.30,65.37,63.51,65.30,152476
14-Jan-16,65.08,66.77,64.34,65.80,129311
13-Jan-16,66.00,66.39,64.21,64.75,207522
12-Jan-16,66.65,67.10,64.83,65.92,144442
11-Jan-16,64.63,66.02,64.23,65.85,104062
8-Jan-16,67.88,69.27,64.52,64.70,245422
7-Jan-16,67.22,68.47,67.22,67.80,115437
6-Jan-16,67.86,68.80,67.54,68.27,86389
5-Jan-16,68.93,69.32,67.72,68.83,126781
4-Jan-16,71.48,71.48,67.64,69.06,222219
31-Dec-15,72.88,73.43,72.38,72.40,116243
30-Dec-15,73.97,74.92,73.07,73.16,152096
29-Dec-15,74.48,75.04,73.26,74.37,91565
28-Dec-15,74.61,75.13,73.34,74.19,131537
24-Dec-15,75.12,75.45,74.03,74.65,113942
