Date,Open,High,Low,Close,Volume
22-Nov-16,38.70,39.13,38.56,38.85,942474
21-Nov-16,38.42,38.88,38.36,38.46,668696
18-Nov-16,38.07,38.32,38.06,38.14,657376
17-Nov-16,38.00,38.48,37.76,37.90,593407
16-Nov-16,37.88,38.08,37.38,37.93,560919
15-Nov-16,37.99,38.45,37.68,37.99,757750
14-Nov-16,36.34,37.84,36.31,37.65,1412735
11-Nov-16,36.70,37.40,36.22,36.37,1571801
10-Nov-16,38.05,38.05,36.72,36.80,1524662
9-Nov-16,38.99,39.13,38.06,38.12,1891681
8-Nov-16,39.56,40.16,39.56,39.93,1076098
7-Nov-16,39.42,39.65,39.17,39.51,956670
4-Nov-16,38.83,38.98,38.57,38.72,702632
3-Nov-16,38.81,39.18,38.62,38.73,849204
2-Nov-16,39.68,39.87,38.69,38.75,1214950
1-Nov-16,40.23,40.31,39.18,39.69,1089729
31-Oct-16,39.38,40.51,39.16,40.43,1271883
28-Oct-16,39.01,39.38,38.80,39.11,602112
27-Oct-16,39.30,39.30,38.31,38.95,1044224
26-Oct-16,40.06,40.34,39.13,39.31,715355
25-Oct-16,40.25,40.63,39.77,40.10,641352
24-Oct-16,40.70,40.92,40.32,40.51,983890
21-Oct-16,40.01,40.41,39.98,40.08,600404
20-Oct-16,40.35,40.77,39.98,40.30,568446
19-Oct-16,40.13,40.44,39.76,40.38,726802
18-Oct-16,40.23,40.50,40.00,40.21,856214
17-Oct-16,39.83,40.31,39.81,39.83,739105
14-Oct-16,39.95,40.28,39.70,39.91,727591
13-Oct-16,38.87,40.24,38.87,40.03,1317571
12-Oct-16,38.56,39.26,38.46,39.23,602185
11-Oct-16,38.63,38.86,38.30,38.44,862340
10-Oct-16,38.55,38.93,38.49,38.74,626905
7-Oct-16,38.75,39.27,38.28,38.45,696673
6-Oct-16,38.52,39.13,38.02,38.59,1052872
5-Oct-16,39.24,39.39,38.55,38.57,1007495
4-Oct-16,40.18,40.18,38.72,39.10,937943
3-Oct-16,40.30,40.36,39.52,39.68,762461
30-Sep-16,40.78,40.95,40.29,40.35,1372134
29-Sep-16,40.35,40.87,40.33,40.57,534500
28-Sep-16,41.28,41.52,40.91,41.36,583458
27-Sep-16,41.87,41.87,40.99,41.09,568461
26-Sep-16,41.37,41.88,41.27,41.72,781245
23-Sep-16,41.08,41.55,40.73,41.38,656897
22-Sep-16,40.97,41.32,40.88,41.22,771991
21-Sep-16,39.86,40.48,39.43,40.42,778897
20-Sep-16,40.01,40.25,39.60,39.64,880281
19-Sep-16,39.23,39.90,39.04,39.73,796061
16-Sep-16,39.02,39.34,38.90,38.95,1341288
15-Sep-16,39.09,39.37,38.91,39.37,556004
14-Sep-16,39.14,39.25,38.77,39.15,447467
13-Sep-16,40.11,40.26,39.01,39.03,605757
12-Sep-16,39.63,40.57,39.50,40.47,650939
9-Sep-16,41.06,41.06,39.87,39.87,856684
8-Sep-16,41.98,41.98,41.54,41.65,604878
7-Sep-16,41.92,42.26,41.62,42.25,787522
6-Sep-16,41.96,41.96,41.39,41.85,681045
2-Sep-16,41.16,42.01,41.16,41.82,1007676
1-Sep-16,41.27,41.31,40.56,40.88,766501
31-Aug-16,40.77,41.38,40.68,41.23,1902853
30-Aug-16,41.13,41.13,40.58,40.87,534609
29-Aug-16,40.28,41.09,40.28,40.99,693564
26-Aug-16,40.68,41.15,39.79,40.09,871664
25-Aug-16,40.39,40.74,40.29,40.52,612903
24-Aug-16,40.68,40.69,40.22,40.50,746251
23-Aug-16,40.84,40.90,40.54,40.63,723828
22-Aug-16,40.17,40.65,40.08,40.65,735376
19-Aug-16,40.34,40.34,39.78,40.16,728433
18-Aug-16,40.16,40.48,39.99,40.34,605910
17-Aug-16,39.89,40.22,39.59,40.19,805579
16-Aug-16,39.97,40.06,39.40,39.72,556839
15-Aug-16,40.31,40.50,40.07,40.20,637951
12-Aug-16,40.10,40.77,40.10,40.26,565557
11-Aug-16,40.46,40.46,39.96,40.10,743152
10-Aug-16,40.08,40.48,39.94,40.40,737619
9-Aug-16,39.78,40.00,39.58,39.93,665614
8-Aug-16,40.09,40.27,39.75,39.78,848950
5-Aug-16,40.36,40.36,39.96,40.03,711453
4-Aug-16,40.47,40.54,40.16,40.25,716921
3-Aug-16,40.89,40.91,40.25,40.40,854970
2-Aug-16,41.34,41.47,40.64,40.82,586116
1-Aug-16,41.37,41.51,41.07,41.51,1257806
29-Jul-16,40.20,41.50,40.16,41.38,1334934
28-Jul-16,39.21,40.32,39.07,40.19,1550506
27-Jul-16,39.89,39.94,39.01,39.35,1866395
26-Jul-16,41.01,41.22,39.78,39.94,2317863
25-Jul-16,41.00,41.48,40.98,41.23,1259187
22-Jul-16,40.89,41.31,40.89,40.96,463863
21-Jul-16,40.67,40.96,40.52,40.87,571573
20-Jul-16,40.39,40.79,40.18,40.79,890711
