Date,Open,High,Low,Close,Volume
22-Nov-16,31.52,33.15,30.43,32.70,5601830
21-Nov-16,32.26,32.50,31.29,31.74,5036677
18-Nov-16,32.14,33.10,31.79,32.68,4253380
17-Nov-16,31.40,33.06,30.64,32.51,5252133
16-Nov-16,30.77,32.04,30.61,31.70,4342310
15-Nov-16,29.64,30.70,29.62,30.43,3667256
14-Nov-16,29.34,30.43,28.75,30.19,4481917
11-Nov-16,29.80,30.09,28.85,29.89,6020148
10-Nov-16,32.04,32.35,29.82,30.33,35019076
9-Nov-16,35.00,35.00,31.81,31.84,653083
8-Nov-16,33.25,34.00,32.57,34.00,214072
7-Nov-16,33.50,33.51,32.75,33.02,28979
4-Nov-16,33.00,34.00,32.99,33.50,33778
3-Nov-16,34.00,34.00,34.00,34.00,1070
1-Nov-16,32.00,34.00,32.00,34.00,1100
