Date,Open,High,Low,Close,Volume
22-Nov-16,69.17,69.36,68.79,69.28,734760
21-Nov-16,69.15,69.76,68.76,68.91,821952
18-Nov-16,69.11,69.57,68.14,69.00,944240
17-Nov-16,69.59,69.92,68.92,69.25,556982
16-Nov-16,70.56,70.68,69.25,69.62,613210
15-Nov-16,72.17,73.16,70.35,70.58,982122
14-Nov-16,69.82,72.36,69.33,72.04,995897
11-Nov-16,69.25,70.45,69.03,69.80,1229407
10-Nov-16,67.55,70.00,66.23,69.36,1555446
9-Nov-16,68.35,68.47,66.00,67.73,804765
8-Nov-16,68.71,68.77,67.83,68.49,549773
7-Nov-16,68.80,69.37,68.15,69.31,1076158
4-Nov-16,67.15,67.66,66.60,67.57,1094858
3-Nov-16,67.02,67.82,66.77,67.09,973077
2-Nov-16,68.85,68.85,67.10,67.14,881568
1-Nov-16,70.43,70.47,68.34,68.70,1635447
31-Oct-16,70.82,70.95,69.55,70.78,1932370
28-Oct-16,71.86,72.93,70.54,70.62,1558508
27-Oct-16,74.58,74.58,72.51,72.59,1280342
26-Oct-16,76.05,76.14,74.38,74.75,1163652
25-Oct-16,76.64,76.96,76.36,76.54,492350
24-Oct-16,77.07,77.93,76.61,76.95,474735
21-Oct-16,76.17,76.70,75.95,76.58,324327
20-Oct-16,76.92,77.11,76.10,76.70,340634
19-Oct-16,76.47,76.86,75.55,76.85,727583
18-Oct-16,76.73,77.05,76.18,76.50,560225
17-Oct-16,76.60,76.91,76.20,76.25,394298
14-Oct-16,77.04,77.15,76.30,76.43,435545
13-Oct-16,76.10,77.10,75.94,76.93,467896
12-Oct-16,76.30,76.84,76.01,76.47,666989
11-Oct-16,76.45,76.95,75.90,76.05,546684
10-Oct-16,76.18,77.08,76.06,76.70,543239
7-Oct-16,76.34,77.41,75.63,76.11,632543
6-Oct-16,76.06,76.72,75.16,76.04,906591
5-Oct-16,78.25,78.74,75.63,76.30,1596889
4-Oct-16,78.91,78.97,77.63,78.25,841854
3-Oct-16,80.54,80.54,78.86,79.00,854335
30-Sep-16,81.08,81.49,80.20,80.87,857405
29-Sep-16,81.53,81.70,80.02,80.50,607035
28-Sep-16,82.01,82.49,81.47,82.03,554957
27-Sep-16,83.03,83.20,81.97,82.04,588766
26-Sep-16,82.30,83.16,82.30,82.94,539779
23-Sep-16,81.93,83.28,81.53,82.82,786499
22-Sep-16,81.98,82.60,81.91,82.43,694591
21-Sep-16,80.20,81.44,79.41,81.24,774563
20-Sep-16,81.62,81.62,80.27,80.28,588480
19-Sep-16,80.16,81.14,79.90,81.02,595118
16-Sep-16,79.59,80.37,79.12,80.30,2773711
15-Sep-16,79.44,80.03,78.98,79.87,625979
14-Sep-16,79.13,79.73,78.76,79.59,810240
13-Sep-16,80.47,80.60,78.97,78.99,984547
12-Sep-16,79.79,81.61,79.65,81.13,1103313
9-Sep-16,81.43,81.54,79.87,80.03,1247713
8-Sep-16,83.19,83.48,82.24,82.35,1423079
7-Sep-16,82.68,83.71,82.34,83.64,1097654
6-Sep-16,82.02,82.88,81.07,82.79,1530622
2-Sep-16,82.01,82.82,81.08,81.92,668973
1-Sep-16,81.96,82.07,81.22,81.48,610048
31-Aug-16,82.27,82.43,81.61,81.89,1312280
30-Aug-16,82.71,82.82,81.54,82.10,663464
29-Aug-16,82.19,83.15,82.19,82.71,765507
26-Aug-16,82.81,83.48,81.41,82.08,897286
25-Aug-16,82.29,83.71,81.96,82.65,798132
24-Aug-16,82.11,82.58,81.46,82.32,850483
23-Aug-16,82.66,82.75,82.08,82.11,649116
22-Aug-16,80.96,82.26,80.96,82.23,549963
19-Aug-16,82.80,82.83,81.63,81.78,1080482
18-Aug-16,83.17,83.30,82.69,82.99,598989
17-Aug-16,82.50,83.18,81.74,83.07,917562
16-Aug-16,84.46,84.60,82.87,82.92,818751
15-Aug-16,84.48,84.79,83.79,84.46,1109131
12-Aug-16,84.25,85.48,84.25,84.48,590025
11-Aug-16,85.30,85.80,83.76,84.23,1364808
10-Aug-16,86.86,87.19,85.40,85.58,1116462
9-Aug-16,86.26,86.82,85.61,86.71,664736
8-Aug-16,86.13,86.93,86.06,86.29,550059
5-Aug-16,86.02,86.59,85.74,86.21,631886
4-Aug-16,86.49,86.73,85.75,85.88,915162
3-Aug-16,87.73,88.02,86.12,86.70,1151297
2-Aug-16,89.32,89.39,87.66,87.83,1088647
1-Aug-16,91.87,94.51,88.38,89.76,1332830
29-Jul-16,88.94,90.26,88.75,89.24,1504327
28-Jul-16,87.97,89.47,87.91,89.12,508341
27-Jul-16,88.23,88.29,87.17,88.02,561640
26-Jul-16,88.91,89.02,87.96,88.36,642689
25-Jul-16,89.16,89.39,88.33,88.79,783358
