Date,Open,High,Low,Close,Volume
22-Nov-16,36.11,36.17,35.66,35.74,303435
21-Nov-16,36.44,36.59,35.93,36.10,318422
18-Nov-16,36.30,36.51,36.12,36.51,306825
17-Nov-16,35.83,36.39,35.81,36.31,334781
16-Nov-16,36.32,36.39,35.92,36.09,354594
15-Nov-16,36.43,36.48,36.04,36.28,370465
14-Nov-16,36.89,36.91,36.17,36.40,401705
11-Nov-16,35.85,36.95,35.63,36.81,522653
10-Nov-16,34.55,36.00,34.45,36.00,878891
9-Nov-16,33.56,34.50,33.50,34.21,368731
8-Nov-16,33.79,34.09,33.66,33.99,283388
7-Nov-16,33.10,33.97,33.10,33.87,306724
4-Nov-16,32.30,33.13,32.18,32.98,262279
3-Nov-16,32.52,32.52,32.12,32.23,324170
2-Nov-16,33.33,33.35,32.52,32.65,365521
1-Nov-16,33.62,33.95,33.17,33.32,184125
31-Oct-16,34.15,34.15,33.54,33.56,185620
28-Oct-16,33.89,34.23,33.80,34.05,207151
27-Oct-16,34.25,34.31,33.87,33.88,183496
26-Oct-16,34.09,34.29,33.90,34.17,150584
25-Oct-16,34.03,34.30,34.03,34.29,158937
24-Oct-16,33.70,34.15,33.70,34.04,206069
21-Oct-16,33.32,33.77,33.25,33.69,122059
20-Oct-16,33.53,33.62,33.07,33.29,287987
19-Oct-16,33.25,33.88,33.15,33.78,189794
18-Oct-16,33.40,33.40,33.14,33.21,235607
17-Oct-16,33.60,33.66,33.13,33.44,288244
14-Oct-16,34.24,34.30,33.52,33.59,320606
13-Oct-16,34.35,34.49,34.00,34.16,264065
12-Oct-16,34.35,34.62,34.35,34.43,237273
11-Oct-16,34.45,34.62,34.34,34.39,215161
10-Oct-16,34.65,34.68,34.41,34.50,113035
7-Oct-16,34.62,34.64,34.26,34.47,126961
6-Oct-16,34.44,34.75,34.22,34.51,256691
5-Oct-16,34.40,34.53,34.40,34.44,141248
4-Oct-16,34.36,34.53,34.33,34.42,154081
3-Oct-16,34.30,34.48,34.21,34.33,296726
30-Sep-16,34.53,34.58,34.33,34.33,349344
29-Sep-16,34.33,34.55,34.20,34.42,263269
28-Sep-16,34.25,34.44,34.17,34.39,116049
27-Sep-16,34.15,34.34,34.01,34.23,138759
26-Sep-16,34.13,34.35,34.00,34.11,149821
23-Sep-16,34.28,34.28,33.98,34.05,291252
22-Sep-16,34.49,34.49,34.20,34.36,130953
21-Sep-16,34.23,34.34,34.11,34.28,142173
20-Sep-16,34.07,34.32,33.98,34.09,181092
19-Sep-16,34.38,34.47,33.82,33.89,342771
16-Sep-16,34.00,34.46,33.89,34.40,318770
15-Sep-16,33.80,34.17,33.68,34.14,171928
14-Sep-16,33.85,33.88,33.44,33.80,233389
13-Sep-16,34.22,34.25,33.72,33.73,325150
12-Sep-16,34.01,34.46,33.90,34.29,297848
9-Sep-16,34.57,34.57,34.05,34.15,344101
8-Sep-16,34.55,34.72,34.43,34.59,193659
7-Sep-16,34.50,34.65,34.36,34.58,166310
6-Sep-16,34.51,34.65,34.45,34.57,215236
