Date,Open,High,Low,Close,Volume
22-Nov-16,8.35,8.85,8.35,8.80,140866
21-Nov-16,8.80,9.05,8.30,8.30,104520
18-Nov-16,8.60,8.90,8.25,8.90,98786
17-Nov-16,8.65,8.70,8.35,8.55,121650
16-Nov-16,8.60,8.75,8.40,8.70,162049
15-Nov-16,8.55,8.75,8.45,8.70,188335
14-Nov-16,8.55,8.55,8.00,8.40,179935
11-Nov-16,8.05,8.45,7.80,8.45,335332
10-Nov-16,7.50,7.60,6.98,7.45,805943
9-Nov-16,7.75,7.75,7.30,7.35,543371
8-Nov-16,7.45,7.90,7.25,7.70,756604
7-Nov-16,10.15,10.35,9.95,10.10,245421
4-Nov-16,9.95,10.10,9.95,9.95,106685
3-Nov-16,10.00,10.20,9.95,10.05,201256
2-Nov-16,9.90,10.05,9.70,9.95,65856
1-Nov-16,10.35,10.35,9.95,9.95,86542
31-Oct-16,10.30,10.45,10.20,10.30,42034
28-Oct-16,10.50,10.70,10.25,10.30,149045
27-Oct-16,10.50,10.60,10.42,10.45,41835
26-Oct-16,10.30,10.55,10.25,10.45,43903
25-Oct-16,10.45,10.55,10.25,10.25,35342
24-Oct-16,10.40,10.60,10.40,10.45,26799
21-Oct-16,10.10,10.35,10.02,10.35,22334
20-Oct-16,10.20,10.20,10.05,10.20,32751
19-Oct-16,10.10,10.25,10.10,10.20,26520
18-Oct-16,10.05,10.20,10.00,10.15,16795
17-Oct-16,10.00,10.10,9.90,9.95,112721
14-Oct-16,10.00,10.15,10.00,10.05,35275
13-Oct-16,10.10,10.15,10.00,10.05,65997
12-Oct-16,10.20,10.35,10.10,10.10,95916
11-Oct-16,10.35,10.45,10.15,10.15,145306
10-Oct-16,10.40,10.49,10.35,10.40,57848
7-Oct-16,10.48,10.48,10.35,10.38,96686
6-Oct-16,10.55,10.55,10.38,10.47,42008
5-Oct-16,10.54,10.56,10.47,10.51,34631
4-Oct-16,10.76,10.82,10.50,10.50,39949
3-Oct-16,11.00,11.00,10.76,10.79,54556
30-Sep-16,10.93,11.15,10.78,11.11,67285
29-Sep-16,10.89,10.92,10.84,10.85,39588
28-Sep-16,10.78,10.90,10.64,10.86,127667
27-Sep-16,10.66,10.83,10.62,10.81,48205
26-Sep-16,10.68,10.77,10.48,10.63,61993
23-Sep-16,10.83,10.89,10.75,10.77,34315
22-Sep-16,10.79,10.89,10.79,10.88,49193
21-Sep-16,10.77,10.81,10.62,10.75,64840
20-Sep-16,10.53,10.64,10.45,10.60,119613
19-Sep-16,10.55,10.55,10.39,10.53,55058
16-Sep-16,10.41,10.54,10.36,10.53,179795
