Date,Open,High,Low,Close,Volume
22-Nov-16,14.27,14.30,14.10,14.10,44748
21-Nov-16,13.99,14.23,13.99,14.23,53043
18-Nov-16,14.00,14.04,13.90,13.92,29380
17-Nov-16,14.20,14.20,13.91,13.98,26925
16-Nov-16,14.28,14.28,14.11,14.15,32619
15-Nov-16,13.84,14.29,13.82,14.21,74971
14-Nov-16,14.35,14.35,13.85,13.88,63979
11-Nov-16,14.57,14.59,14.34,14.35,55072
10-Nov-16,14.93,14.93,14.64,14.64,19392
9-Nov-16,15.20,15.20,14.99,15.04,17829
8-Nov-16,15.03,15.41,15.03,15.35,30190
7-Nov-16,15.06,15.10,14.99,15.01,23550
4-Nov-16,14.99,15.19,14.99,15.04,12978
3-Nov-16,15.03,15.21,15.01,15.06,10646
2-Nov-16,15.23,15.23,15.02,15.06,23841
1-Nov-16,14.78,15.23,14.77,15.23,41336
31-Oct-16,14.87,14.89,14.78,14.78,15900
28-Oct-16,14.97,14.97,14.81,14.83,24044
27-Oct-16,14.96,15.05,14.91,14.92,36764
26-Oct-16,15.03,15.06,14.97,14.98,4615
25-Oct-16,14.99,15.10,14.99,15.08,10317
24-Oct-16,15.03,15.07,14.97,15.01,19118
21-Oct-16,15.05,15.11,15.05,15.08,6876
20-Oct-16,15.04,15.21,14.96,14.97,18285
19-Oct-16,14.81,15.13,14.81,14.99,25975
18-Oct-16,14.55,14.81,14.55,14.81,27946
17-Oct-16,14.96,14.97,14.59,14.60,37572
14-Oct-16,15.17,15.18,14.98,14.98,32151
13-Oct-16,15.40,15.40,15.18,15.18,21330
12-Oct-16,15.51,15.57,15.38,15.38,19928
11-Oct-16,15.68,15.69,15.59,15.62,21296
10-Oct-16,15.74,15.76,15.67,15.72,28267
7-Oct-16,15.79,15.79,15.72,15.73,12552
6-Oct-16,15.74,15.80,15.68,15.75,15053
5-Oct-16,15.82,15.95,15.68,15.80,18933
4-Oct-16,15.96,15.96,15.75,15.87,18755
3-Oct-16,16.07,16.07,15.96,16.01,9608
30-Sep-16,16.04,16.07,16.00,16.01,7189
29-Sep-16,16.13,16.13,16.04,16.04,16714
28-Sep-16,16.21,16.24,16.09,16.23,17944
27-Sep-16,16.14,16.20,16.13,16.17,19363
26-Sep-16,16.11,16.17,16.11,16.13,7402
23-Sep-16,16.29,16.29,16.11,16.11,32059
22-Sep-16,16.24,16.49,16.23,16.25,42244
21-Sep-16,16.31,16.37,16.19,16.28,24711
20-Sep-16,16.41,16.48,16.29,16.35,22248
19-Sep-16,16.23,16.28,16.14,16.26,30539
16-Sep-16,16.21,16.22,16.19,16.20,3129
15-Sep-16,16.12,16.18,16.04,16.18,31797
14-Sep-16,16.10,16.12,16.04,16.12,17028
13-Sep-16,16.12,16.13,16.04,16.04,12419
12-Sep-16,16.00,16.19,15.91,16.14,27817
9-Sep-16,16.62,16.62,16.16,16.18,31261
8-Sep-16,16.58,16.66,16.58,16.65,27420
7-Sep-16,16.63,16.64,16.59,16.62,10917
6-Sep-16,16.52,16.61,16.51,16.59,15342
2-Sep-16,16.54,16.55,16.47,16.55,13561
1-Sep-16,16.50,16.55,16.44,16.51,23353
31-Aug-16,16.59,16.61,16.44,16.54,71236
30-Aug-16,16.63,16.63,16.56,16.57,23987
29-Aug-16,16.55,16.65,16.55,16.62,31374
26-Aug-16,16.54,16.56,16.46,16.55,50074
25-Aug-16,16.58,16.59,16.42,16.53,40387
24-Aug-16,16.56,16.58,16.51,16.58,35944
23-Aug-16,16.49,16.50,16.49,16.49,12990
22-Aug-16,16.45,16.50,16.42,16.49,23959
19-Aug-16,16.45,16.45,16.38,16.43,25193
18-Aug-16,16.38,16.44,16.35,16.44,13172
17-Aug-16,16.32,16.38,16.32,16.38,6809
16-Aug-16,16.34,16.38,16.27,16.32,38904
15-Aug-16,16.37,16.38,16.30,16.31,17076
12-Aug-16,16.40,16.41,16.30,16.38,18310
11-Aug-16,16.38,16.41,16.31,16.35,34954
10-Aug-16,16.38,16.44,16.34,16.44,13941
9-Aug-16,16.35,16.38,16.28,16.38,11000
8-Aug-16,16.31,16.35,16.22,16.33,21807
5-Aug-16,16.24,16.32,16.22,16.28,18788
4-Aug-16,16.22,16.22,16.18,16.22,14227
3-Aug-16,16.09,16.22,16.09,16.21,19628
2-Aug-16,16.10,16.12,15.97,16.12,30982
1-Aug-16,16.09,16.13,16.04,16.13,9982
29-Jul-16,16.00,16.08,16.00,16.07,14544
28-Jul-16,16.03,16.08,15.98,15.98,16267
27-Jul-16,16.00,16.07,15.96,16.05,38988
26-Jul-16,15.87,15.98,15.86,15.96,23285
25-Jul-16,15.90,15.99,15.86,15.89,18483
22-Jul-16,16.04,16.05,15.90,15.94,35024
21-Jul-16,16.03,16.05,15.96,16.05,16936
20-Jul-16,15.99,15.99,15.95,15.99,14105
19-Jul-16,15.99,16.05,15.89,16.00,21505
18-Jul-16,15.78,16.06,15.78,15.95,51689
15-Jul-16,15.63,15.86,15.63,15.77,51635
14-Jul-16,15.96,15.96,15.67,15.71,64743
13-Jul-16,16.03,16.12,15.95,16.03,44203
