Date,Open,High,Low,Close,Volume
22-Nov-16,47.45,48.81,47.33,47.87,13036972
21-Nov-16,45.40,47.28,44.90,47.17,20270935
18-Nov-16,43.20,43.60,42.57,43.31,4892630
17-Nov-16,43.85,44.29,43.19,43.36,3985346
16-Nov-16,43.60,43.88,43.11,43.49,4165580
15-Nov-16,43.69,44.34,42.78,43.83,8535305
14-Nov-16,43.61,44.19,43.37,43.59,6751825
11-Nov-16,43.61,44.06,42.92,43.96,6497312
10-Nov-16,43.55,44.60,43.28,43.82,5939901
9-Nov-16,41.52,43.91,41.43,43.57,8587742
8-Nov-16,42.53,42.54,41.66,41.82,4413061
7-Nov-16,41.98,42.62,41.82,42.60,7400848
4-Nov-16,41.00,41.77,40.93,41.23,3246394
3-Nov-16,41.21,41.46,40.01,41.18,5769574
2-Nov-16,41.89,42.53,40.70,41.00,7099081
1-Nov-16,44.28,44.91,41.74,42.34,12845601
31-Oct-16,43.21,43.96,43.18,43.59,8739904
28-Oct-16,42.56,43.04,41.88,42.82,8268479
27-Oct-16,44.05,44.16,41.50,42.81,13679446
26-Oct-16,43.32,44.89,43.26,44.26,6606639
25-Oct-16,43.83,44.59,43.38,43.69,6612655
24-Oct-16,44.14,44.32,43.57,43.78,5061663
21-Oct-16,42.66,44.26,42.56,44.09,4808886
20-Oct-16,42.41,43.24,42.22,43.05,3051056
19-Oct-16,42.92,43.07,42.24,42.65,7261229
18-Oct-16,42.23,43.04,42.15,42.73,3060650
17-Oct-16,41.64,42.28,41.46,41.85,4100275
14-Oct-16,41.94,41.98,41.14,41.65,4642061
13-Oct-16,41.27,41.79,40.44,41.56,4327479
12-Oct-16,41.81,41.99,40.95,41.66,3738604
11-Oct-16,42.50,42.95,41.56,41.96,5130635
10-Oct-16,42.48,42.63,42.02,42.47,3808282
7-Oct-16,42.36,42.47,41.51,41.77,4427856
6-Oct-16,42.61,42.70,41.64,42.36,5607361
5-Oct-16,41.84,42.65,41.67,42.27,4099500
4-Oct-16,41.11,42.31,41.09,41.38,4106905
3-Oct-16,40.77,41.03,40.27,40.96,5327281
30-Sep-16,40.11,40.99,39.52,40.59,7756305
29-Sep-16,42.42,42.71,39.29,39.74,13820884
28-Sep-16,42.20,42.69,41.46,42.64,5304387
27-Sep-16,41.18,42.04,40.81,41.85,4728435
26-Sep-16,42.49,42.67,41.44,41.48,6550349
23-Sep-16,42.29,42.97,41.44,42.28,7784258
22-Sep-16,43.60,43.82,42.67,42.69,5651250
21-Sep-16,42.92,43.27,42.57,43.21,4879279
20-Sep-16,43.86,43.94,42.55,42.55,5480055
19-Sep-16,43.96,44.56,43.40,43.73,6621347
16-Sep-16,43.09,43.84,42.43,43.62,7023573
15-Sep-16,42.04,44.14,42.04,43.74,6679305
14-Sep-16,42.46,43.03,41.51,41.87,5301749
13-Sep-16,42.58,43.11,42.05,42.50,4355689
12-Sep-16,41.73,43.67,41.25,43.34,6157351
9-Sep-16,42.94,43.25,42.23,42.24,4367177
8-Sep-16,43.29,43.86,42.73,43.45,4807218
7-Sep-16,42.99,43.44,42.77,43.09,4288197
6-Sep-16,42.56,43.14,42.25,42.97,4003258
2-Sep-16,42.37,42.53,41.77,42.32,3164782
1-Sep-16,42.55,42.60,41.38,41.91,3870576
31-Aug-16,42.54,42.97,41.95,42.51,3362760
30-Aug-16,42.37,42.77,41.96,42.68,2866415
29-Aug-16,41.85,42.65,41.82,42.29,2414603
26-Aug-16,42.02,42.36,41.41,41.85,2898137
25-Aug-16,42.06,42.20,41.47,41.90,3486296
24-Aug-16,42.11,42.37,41.64,41.97,4455829
23-Aug-16,41.54,42.24,41.32,41.93,4376528
22-Aug-16,41.72,41.81,40.52,41.10,5527065
19-Aug-16,42.15,42.33,41.81,42.01,3460250
18-Aug-16,42.28,42.50,41.77,42.49,4337010
17-Aug-16,42.19,42.44,41.78,42.21,4217987
16-Aug-16,41.16,42.39,41.14,42.13,4935621
15-Aug-16,41.72,41.77,40.91,41.21,4106280
12-Aug-16,42.14,42.17,41.01,41.71,5268151
11-Aug-16,41.08,42.41,40.96,41.90,4496119
10-Aug-16,41.17,42.17,40.79,40.99,5790588
9-Aug-16,41.92,41.95,40.86,41.03,3650087
8-Aug-16,42.24,42.59,41.69,41.93,5419360
5-Aug-16,40.80,42.19,40.61,41.91,5781199
