Date,Open,High,Low,Close,Volume
22-Nov-16,12.90,12.97,12.82,12.96,82402
21-Nov-16,12.68,12.81,12.61,12.80,110337
18-Nov-16,12.58,12.63,12.51,12.54,105886
17-Nov-16,12.72,12.79,12.58,12.59,207306
16-Nov-16,12.89,13.01,12.73,12.76,233970
15-Nov-16,12.89,13.02,12.82,12.87,209201
14-Nov-16,12.98,12.98,12.74,12.81,266847
11-Nov-16,13.06,13.11,12.94,13.06,142150
10-Nov-16,13.25,13.25,12.97,13.06,237254
9-Nov-16,13.43,13.43,13.25,13.31,252813
8-Nov-16,13.62,13.66,13.51,13.51,53750
7-Nov-16,13.50,13.66,13.46,13.66,102432
4-Nov-16,13.43,13.50,13.43,13.50,66390
3-Nov-16,13.39,13.48,13.39,13.43,40723
2-Nov-16,13.45,13.48,13.38,13.39,101112
1-Nov-16,13.37,13.47,13.37,13.47,49007
31-Oct-16,13.49,13.49,13.41,13.49,98413
28-Oct-16,13.52,13.52,13.41,13.44,86265
27-Oct-16,13.51,13.59,13.46,13.51,136243
26-Oct-16,13.61,13.64,13.54,13.54,45978
25-Oct-16,13.64,13.66,13.62,13.66,52816
24-Oct-16,13.65,13.68,13.61,13.63,69010
21-Oct-16,13.60,13.66,13.57,13.65,106652
20-Oct-16,13.62,13.66,13.55,13.59,88456
19-Oct-16,13.45,13.58,13.45,13.55,87596
18-Oct-16,13.41,13.44,13.32,13.41,93019
17-Oct-16,13.44,13.46,13.35,13.35,153705
14-Oct-16,13.43,13.55,13.43,13.48,131030
13-Oct-16,13.71,13.71,13.43,13.51,233871
12-Oct-16,13.76,13.76,13.66,13.67,48707
11-Oct-16,13.85,13.87,13.77,13.82,89768
10-Oct-16,13.91,13.91,13.80,13.81,107125
7-Oct-16,13.98,13.98,13.87,13.88,59824
6-Oct-16,13.95,13.97,13.90,13.92,57923
5-Oct-16,14.06,14.19,13.96,13.98,105175
4-Oct-16,14.15,14.15,13.99,14.05,78180
3-Oct-16,14.17,14.19,14.10,14.11,34459
30-Sep-16,14.21,14.21,14.12,14.12,32858
29-Sep-16,14.27,14.27,14.14,14.16,32699
28-Sep-16,14.21,14.26,14.21,14.25,47969
27-Sep-16,14.21,14.22,14.10,14.20,72740
26-Sep-16,14.17,14.21,14.17,14.20,41255
23-Sep-16,14.21,14.22,14.16,14.18,47665
22-Sep-16,14.14,14.19,14.11,14.19,95521
21-Sep-16,14.01,14.08,13.95,14.08,71861
20-Sep-16,14.07,14.10,14.03,14.04,43971
19-Sep-16,14.00,14.06,13.99,14.06,76698
16-Sep-16,14.02,14.08,13.96,14.04,29209
15-Sep-16,14.08,14.10,14.03,14.04,116131
14-Sep-16,14.15,14.21,14.06,14.09,73015
13-Sep-16,14.13,14.18,14.08,14.08,61940
12-Sep-16,14.26,14.30,14.02,14.25,203198
9-Sep-16,14.48,14.48,14.29,14.29,164004
8-Sep-16,14.50,14.54,14.48,14.53,82702
7-Sep-16,14.52,14.67,14.48,14.49,112185
6-Sep-16,14.46,14.49,14.43,14.49,71694
2-Sep-16,14.48,14.56,14.43,14.46,100744
1-Sep-16,14.35,14.48,14.29,14.48,206318
31-Aug-16,14.28,14.36,14.28,14.36,103450
30-Aug-16,14.31,14.32,14.26,14.28,54607
29-Aug-16,14.33,14.34,14.26,14.26,23936
26-Aug-16,14.32,14.32,14.25,14.28,85905
25-Aug-16,14.33,14.34,14.30,14.30,18375
24-Aug-16,14.36,14.36,14.31,14.33,22483
23-Aug-16,14.36,14.36,14.31,14.31,36143
22-Aug-16,14.37,14.37,14.30,14.30,58675
19-Aug-16,14.37,14.37,14.30,14.32,49125
18-Aug-16,14.36,14.37,14.34,14.34,22647
17-Aug-16,14.32,14.37,14.31,14.31,44535
16-Aug-16,14.43,14.43,14.32,14.32,59205
15-Aug-16,14.43,14.46,14.42,14.42,24616
12-Aug-16,14.38,14.44,14.38,14.43,23496
11-Aug-16,14.38,14.45,14.35,14.36,49294
10-Aug-16,14.50,14.50,14.45,14.49,41891
9-Aug-16,14.48,14.48,14.46,14.47,30429
8-Aug-16,14.48,14.48,14.43,14.47,28561
5-Aug-16,14.46,14.46,14.41,14.45,35202
4-Aug-16,14.48,14.48,14.39,14.42,75371
3-Aug-16,14.35,14.44,14.34,14.44,41266
2-Aug-16,14.38,14.38,14.29,14.32,60538
1-Aug-16,14.35,14.43,14.35,14.40,41201
29-Jul-16,14.49,14.49,14.40,14.40,39230
28-Jul-16,14.47,14.48,14.38,14.46,41073
27-Jul-16,14.44,14.48,14.40,14.44,40100
26-Jul-16,14.34,14.39,14.34,14.38,47820
25-Jul-16,14.40,14.40,14.32,14.34,21884
22-Jul-16,14.32,14.42,14.29,14.36,61219
21-Jul-16,14.34,14.37,14.25,14.31,71719
20-Jul-16,14.38,14.38,14.28,14.30,35191
19-Jul-16,14.39,14.41,14.25,14.32,62177
18-Jul-16,14.30,14.35,14.28,14.32,103086
15-Jul-16,14.12,14.26,14.12,14.25,68281
14-Jul-16,14.26,14.30,14.09,14.11,146933
13-Jul-16,14.46,14.46,14.17,14.30,150282
12-Jul-16,14.53,14.55,14.45,14.48,91633
11-Jul-16,14.54,14.56,14.52,14.54,83037
8-Jul-16,14.50,14.55,14.50,14.53,67114
7-Jul-16,14.51,14.55,14.46,14.55,59054
6-Jul-16,14.48,14.51,14.47,14.50,56363
5-Jul-16,14.42,14.49,14.41,14.43,63450
1-Jul-16,14.42,14.46,14.38,14.39,52179
30-Jun-16,14.47,14.49,14.34,14.36,127927
29-Jun-16,14.46,14.46,14.36,14.40,66466
28-Jun-16,14.38,14.41,14.36,14.40,58707
27-Jun-16,14.33,14.40,14.31,14.32,98858
24-Jun-16,14.33,14.43,14.19,14.29,62517
23-Jun-16,14.30,14.34,14.27,14.29,51934
22-Jun-16,14.33,14.35,14.30,14.34,32631
21-Jun-16,14.27,14.37,14.27,14.28,80377
20-Jun-16,14.34,14.34,14.25,14.27,34019
17-Jun-16,14.39,14.40,14.29,14.29,40897
16-Jun-16,14.29,14.36,14.28,14.35,70377
15-Jun-16,14.29,14.29,14.17,14.23,95585
14-Jun-16,14.28,14.28,14.21,14.24,55807
13-Jun-16,14.26,14.30,14.22,14.23,44822
10-Jun-16,14.28,14.33,14.25,14.25,50977
9-Jun-16,14.37,14.37,14.25,14.25,72846
8-Jun-16,14.32,14.35,14.25,14.34,85074
7-Jun-16,14.28,14.33,14.23,14.31,58780
6-Jun-16,14.25,14.31,14.21,14.22,56319
3-Jun-16,14.25,14.31,14.21,14.30,96423
2-Jun-16,14.16,14.24,14.16,14.18,73902
1-Jun-16,14.13,14.23,14.08,14.23,84323
31-May-16,14.07,14.09,14.02,14.07,89308
27-May-16,14.21,14.21,14.10,14.15,46084
26-May-16,14.15,14.19,14.14,14.16,49186
25-May-16,14.15,14.15,14.06,14.10,79807
24-May-16,14.15,14.19,14.07,14.11,60261
23-May-16,14.12,14.19,14.04,14.15,109698
20-May-16,14.13,14.18,13.97,14.06,247991
19-May-16,14.34,14.34,14.00,14.06,174582
18-May-16,14.58,14.59,14.29,14.29,112192
17-May-16,14.54,14.60,14.46,14.58,40070
16-May-16,14.57,14.58,14.47,14.49,96035
