Date,Open,High,Low,Close,Volume
22-Nov-16,93.60,96.40,93.60,95.85,15397
21-Nov-16,89.50,94.20,88.35,94.00,20928
18-Nov-16,88.35,89.85,87.70,89.60,10463
17-Nov-16,87.30,88.95,87.30,87.95,5564
16-Nov-16,87.75,87.75,86.10,87.00,10873
15-Nov-16,88.55,90.03,87.95,87.95,13465
14-Nov-16,88.50,91.25,88.00,88.15,11360
11-Nov-16,84.45,88.47,84.45,87.60,21157
10-Nov-16,81.95,85.00,81.53,84.05,14155
9-Nov-16,77.85,82.30,77.85,81.15,17214
8-Nov-16,78.45,79.95,78.45,78.95,7453
7-Nov-16,78.10,80.35,77.33,79.00,15856
4-Nov-16,77.05,78.00,76.75,77.30,12651
3-Nov-16,76.70,77.50,76.35,76.45,11182
2-Nov-16,74.20,78.15,74.20,76.05,14991
1-Nov-16,73.10,74.25,72.25,73.70,12137
31-Oct-16,72.85,73.45,72.65,73.15,10398
28-Oct-16,72.40,73.55,71.75,73.25,8810
27-Oct-16,73.55,74.00,72.20,72.60,8266
26-Oct-16,73.75,74.50,72.75,72.85,10773
25-Oct-16,71.55,75.00,71.55,73.95,25409
24-Oct-16,71.90,72.15,71.45,71.75,3280
21-Oct-16,70.95,71.87,70.95,71.40,13188
20-Oct-16,70.93,72.48,70.93,71.83,14171
19-Oct-16,70.84,71.57,70.54,71.49,8168
18-Oct-16,71.22,71.22,69.89,70.89,9456
17-Oct-16,71.27,72.17,71.00,71.00,12185
14-Oct-16,71.51,71.69,70.92,71.27,13325
13-Oct-16,69.71,71.54,69.45,70.91,40531
12-Oct-16,69.66,70.19,69.37,69.78,6456
11-Oct-16,69.33,69.34,68.70,69.13,14845
10-Oct-16,68.88,69.23,68.80,69.02,15105
7-Oct-16,68.67,69.02,68.48,68.49,8583
6-Oct-16,66.65,69.30,66.41,68.89,77423
5-Oct-16,68.14,68.72,66.64,66.64,10808
4-Oct-16,68.74,69.58,68.74,69.10,12157
3-Oct-16,67.99,69.35,67.95,69.24,13840
30-Sep-16,67.72,68.45,66.36,67.96,21527
29-Sep-16,66.75,67.41,66.04,66.99,20531
28-Sep-16,66.25,67.57,66.01,67.24,10456
27-Sep-16,64.88,66.77,64.88,66.59,37647
26-Sep-16,66.49,66.49,64.52,64.69,11053
23-Sep-16,68.26,68.26,66.24,66.40,4746
22-Sep-16,68.21,68.95,67.80,68.70,11519
21-Sep-16,65.93,67.92,65.89,67.25,29831
20-Sep-16,65.25,65.84,65.12,65.69,9126
19-Sep-16,64.54,65.19,63.69,64.98,16958
16-Sep-16,66.46,66.46,64.31,64.44,59833
15-Sep-16,65.43,66.66,65.00,66.33,22108
14-Sep-16,65.72,66.44,65.22,65.61,8822
13-Sep-16,65.40,66.06,64.90,65.66,15065
12-Sep-16,65.08,65.90,65.01,65.61,25267
9-Sep-16,68.00,68.00,66.29,66.36,8672
8-Sep-16,68.41,68.41,66.68,67.50,6987
7-Sep-16,66.81,68.60,66.81,68.45,16605
6-Sep-16,66.40,67.43,66.00,66.93,11645
2-Sep-16,66.66,67.18,65.34,66.38,12301
1-Sep-16,65.24,66.00,64.83,65.43,18905
31-Aug-16,67.06,67.11,66.19,66.54,11129
30-Aug-16,67.82,67.86,67.24,67.55,6424
29-Aug-16,67.26,68.28,67.26,67.96,6106
26-Aug-16,67.76,68.04,67.28,67.71,4474
25-Aug-16,67.89,68.24,67.64,67.95,16921
24-Aug-16,68.34,68.34,67.54,67.74,6950
23-Aug-16,68.16,69.42,67.91,68.08,15913
22-Aug-16,67.75,68.14,67.34,68.12,13774
19-Aug-16,67.55,68.60,67.18,67.77,27502
18-Aug-16,65.07,70.11,65.00,67.74,73716
17-Aug-16,64.11,65.78,64.11,65.39,18732
16-Aug-16,63.62,65.37,63.62,64.95,23477
15-Aug-16,64.50,65.08,63.67,64.00,24926
12-Aug-16,60.87,64.51,60.87,63.96,19223
11-Aug-16,59.31,61.34,58.94,61.18,17369
10-Aug-16,61.04,61.04,58.77,58.99,21500
9-Aug-16,60.53,61.55,59.48,60.90,21175
8-Aug-16,59.73,60.58,59.73,60.33,7927
5-Aug-16,59.41,61.05,59.02,60.52,29581
4-Aug-16,59.04,59.34,58.68,59.06,9980
3-Aug-16,56.00,59.65,56.00,58.78,27942
2-Aug-16,55.26,55.57,53.88,54.98,20989
1-Aug-16,56.68,56.68,53.51,54.89,46526
29-Jul-16,58.64,58.64,56.18,56.27,16015
28-Jul-16,58.94,58.94,58.30,58.62,11592
27-Jul-16,59.45,59.67,58.51,58.69,8432
26-Jul-16,57.81,59.43,57.79,59.17,9432
25-Jul-16,58.04,58.36,57.30,57.47,7304
22-Jul-16,57.95,59.06,57.84,58.26,7144
21-Jul-16,58.11,58.72,57.86,58.13,10033
20-Jul-16,57.99,59.46,57.95,58.69,16433
