Date,Open,High,Low,Close,Volume
22-Nov-16,28.90,29.35,27.85,29.30,49404
21-Nov-16,28.40,29.12,28.35,28.90,37959
18-Nov-16,26.70,28.55,26.60,28.15,52713
17-Nov-16,28.00,28.50,26.35,26.55,41846
16-Nov-16,27.40,28.80,27.05,28.00,77020
15-Nov-16,27.70,27.95,26.85,27.60,35010
14-Nov-16,26.95,27.80,26.95,27.55,35141
11-Nov-16,25.95,27.75,25.73,27.70,72536
10-Nov-16,25.30,26.45,24.75,26.30,65730
9-Nov-16,23.80,25.25,23.20,25.25,68860
8-Nov-16,23.85,24.10,23.50,24.05,30623
7-Nov-16,22.05,23.75,21.98,23.65,28697
4-Nov-16,22.55,22.82,21.50,21.65,30591
3-Nov-16,22.00,23.05,21.90,22.70,22919
2-Nov-16,21.25,21.25,20.65,21.00,30627
1-Nov-16,21.80,21.80,21.00,21.45,16450
31-Oct-16,21.70,21.80,21.50,21.70,29746
28-Oct-16,22.05,22.20,21.58,21.75,26928
27-Oct-16,22.60,22.60,21.75,22.25,34219
26-Oct-16,23.45,23.70,22.50,22.55,24523
25-Oct-16,24.20,24.35,23.60,23.70,15230
24-Oct-16,24.05,24.25,23.90,24.10,14119
21-Oct-16,23.90,24.25,23.90,24.00,12694
20-Oct-16,23.85,24.25,23.85,24.10,15127
19-Oct-16,24.25,24.25,23.85,24.00,21768
18-Oct-16,24.55,24.55,23.80,24.05,18695
17-Oct-16,24.20,24.50,24.10,24.45,11001
14-Oct-16,23.91,24.40,23.90,24.30,14827
13-Oct-16,24.30,24.50,23.75,24.05,26590
12-Oct-16,23.60,24.65,23.55,24.55,39424
11-Oct-16,23.80,23.80,23.25,23.60,71115
10-Oct-16,24.15,24.20,23.80,23.80,44073
7-Oct-16,24.48,24.48,23.75,24.14,40981
6-Oct-16,24.58,24.76,24.39,24.47,16877
5-Oct-16,24.54,24.98,24.40,24.51,23880
4-Oct-16,24.16,24.30,23.55,24.25,31038
3-Oct-16,24.18,24.30,23.90,24.12,36658
30-Sep-16,23.92,24.74,23.72,24.59,67790
29-Sep-16,23.02,23.88,23.02,23.80,27561
28-Sep-16,22.14,23.01,21.79,22.94,61127
27-Sep-16,22.38,22.38,21.73,22.18,60441
26-Sep-16,23.12,23.26,22.40,22.43,76964
23-Sep-16,23.38,23.59,22.94,22.95,43277
22-Sep-16,23.17,23.60,22.99,23.41,76198
21-Sep-16,23.25,23.48,22.80,23.03,50413
20-Sep-16,23.47,23.92,22.79,22.95,42237
19-Sep-16,23.86,24.12,23.26,23.47,29996
16-Sep-16,23.37,23.80,22.80,23.76,65871
15-Sep-16,23.35,23.41,22.76,23.13,36784
14-Sep-16,23.58,23.64,23.03,23.14,17094
13-Sep-16,24.31,24.31,23.42,23.55,31567
12-Sep-16,23.58,24.81,23.49,24.68,35195
9-Sep-16,25.32,25.32,23.67,23.69,34908
8-Sep-16,25.18,25.42,24.61,25.12,16273
7-Sep-16,25.84,25.84,24.95,24.97,22239
6-Sep-16,25.30,26.74,25.01,25.96,49389
2-Sep-16,24.43,25.58,24.43,25.48,23005
1-Sep-16,23.63,24.49,23.30,24.47,29730
31-Aug-16,25.02,25.25,23.60,23.64,77667
30-Aug-16,25.49,25.66,25.05,25.18,20152
29-Aug-16,25.19,25.70,24.69,25.63,26522
26-Aug-16,25.34,25.59,24.96,25.17,7820
25-Aug-16,25.22,25.58,24.91,25.35,14308
24-Aug-16,25.80,25.80,25.14,25.22,14178
23-Aug-16,24.96,25.80,24.82,25.60,28317
22-Aug-16,25.24,25.39,24.33,24.92,33046
19-Aug-16,25.41,25.53,25.00,25.42,36393
18-Aug-16,25.00,25.40,25.00,25.40,34583
17-Aug-16,25.00,25.09,24.74,24.97,28446
16-Aug-16,24.76,25.09,24.48,24.94,24217
15-Aug-16,24.22,24.75,24.22,24.64,30433
12-Aug-16,24.25,24.43,23.94,24.03,40494
11-Aug-16,23.65,24.43,23.65,24.23,42699
