Date,Open,High,Low,Close,Volume
22-Nov-16,33.60,34.30,33.40,34.30,572714
21-Nov-16,32.85,33.50,32.75,33.50,472431
18-Nov-16,32.65,33.05,32.38,32.75,932384
17-Nov-16,35.80,35.80,32.20,32.70,1132822
16-Nov-16,34.45,34.90,34.20,34.45,658502
15-Nov-16,34.05,34.50,34.00,34.45,538932
14-Nov-16,33.60,34.20,33.50,33.95,728993
11-Nov-16,33.05,33.90,32.95,33.65,766638
10-Nov-16,33.30,33.50,32.05,32.95,624689
9-Nov-16,32.95,33.75,32.60,33.35,668588
8-Nov-16,33.40,33.95,33.40,33.60,352099
7-Nov-16,32.60,33.40,32.60,33.35,407562
4-Nov-16,33.20,33.25,32.35,32.45,559128
3-Nov-16,32.25,32.80,32.05,32.50,344475
2-Nov-16,32.90,33.00,32.15,32.25,520491
1-Nov-16,33.95,33.95,32.75,32.95,548368
31-Oct-16,33.30,34.25,33.10,33.95,1511612
28-Oct-16,33.35,33.45,32.90,33.10,467079
27-Oct-16,33.10,33.45,33.05,33.30,612113
26-Oct-16,33.30,33.55,32.92,33.20,430697
25-Oct-16,33.10,33.30,32.85,33.30,511715
24-Oct-16,32.80,33.15,32.50,33.00,436802
21-Oct-16,32.75,33.15,32.40,32.50,506420
20-Oct-16,33.10,33.35,32.70,32.95,488288
19-Oct-16,33.40,33.55,33.00,33.15,436374
18-Oct-16,33.00,33.65,32.55,33.30,539420
17-Oct-16,32.55,33.00,32.55,32.90,478215
14-Oct-16,32.13,32.72,31.85,32.55,572299
13-Oct-16,31.83,32.48,31.81,32.22,455695
12-Oct-16,31.28,31.87,31.28,31.76,362417
11-Oct-16,31.93,31.96,31.21,31.24,486124
10-Oct-16,31.46,32.12,31.46,32.10,605421
7-Oct-16,31.32,31.62,31.10,31.54,839584
6-Oct-16,30.91,31.18,30.46,31.10,576379
5-Oct-16,31.46,31.50,31.03,31.07,665403
4-Oct-16,32.38,32.42,31.13,31.30,509490
3-Oct-16,32.78,32.94,32.09,32.43,653207
30-Sep-16,32.98,33.14,32.27,32.86,891633
