Date,Open,High,Low,Close,Volume
22-Nov-16,85.20,85.40,84.25,85.30,178213
21-Nov-16,85.00,85.50,84.35,85.25,72923
18-Nov-16,84.30,85.10,83.80,85.00,145170
17-Nov-16,83.55,84.52,83.30,84.35,106283
16-Nov-16,82.50,83.70,82.00,83.35,101580
15-Nov-16,81.95,82.95,81.45,82.75,71085
14-Nov-16,80.45,82.05,80.45,82.05,115196
11-Nov-16,79.30,80.82,79.30,80.00,186495
10-Nov-16,79.00,80.20,78.15,79.35,124900
9-Nov-16,75.65,79.95,75.50,78.55,188072
8-Nov-16,77.35,78.55,77.00,77.10,90322
7-Nov-16,78.25,78.80,77.54,77.55,111987
4-Nov-16,78.15,79.20,77.45,77.50,66871
3-Nov-16,76.60,78.45,76.25,77.90,57351
2-Nov-16,76.30,77.80,76.30,76.70,53290
1-Nov-16,79.95,80.05,76.05,76.40,88173
31-Oct-16,79.70,80.20,79.50,79.90,88085
28-Oct-16,80.15,80.70,79.15,79.65,54288
27-Oct-16,80.50,80.85,79.60,80.30,75247
26-Oct-16,80.80,81.65,79.95,80.15,61357
25-Oct-16,81.10,81.85,81.10,81.60,48672
24-Oct-16,81.10,82.00,81.00,81.40,59226
21-Oct-16,79.80,81.10,79.45,80.70,70034
20-Oct-16,80.90,81.00,80.10,80.65,64282
19-Oct-16,80.80,81.40,79.75,80.95,42971
18-Oct-16,80.50,81.45,80.50,80.65,42097
17-Oct-16,79.85,80.60,79.75,79.95,38302
14-Oct-16,79.12,80.84,79.12,80.10,51205
13-Oct-16,79.09,79.67,78.30,78.88,53098
12-Oct-16,79.26,80.32,79.26,79.72,39465
11-Oct-16,79.98,80.22,79.17,79.40,67757
10-Oct-16,79.79,80.94,79.65,80.21,83049
7-Oct-16,80.85,80.92,79.15,79.40,86314
6-Oct-16,78.79,81.62,78.79,80.73,159470
5-Oct-16,78.58,79.65,78.10,78.97,87957
4-Oct-16,78.56,79.45,77.97,78.43,69407
3-Oct-16,78.72,79.00,77.98,78.72,74890
30-Sep-16,79.19,79.79,78.59,79.01,245979
29-Sep-16,79.38,79.38,78.61,79.06,62867
