Date,Open,High,Low,Close,Volume
22-Nov-16,42.13,42.59,41.22,42.03,562318
21-Nov-16,41.52,42.36,41.51,42.03,579835
18-Nov-16,40.80,41.19,40.52,41.17,563560
17-Nov-16,40.79,41.00,40.40,40.75,642875
16-Nov-16,40.87,40.87,39.58,39.90,482278
15-Nov-16,40.87,41.48,40.54,40.92,689193
14-Nov-16,39.65,40.75,39.40,40.30,565240
11-Nov-16,40.22,40.22,39.14,39.42,490220
10-Nov-16,40.31,40.65,39.87,40.30,511931
9-Nov-16,39.05,40.79,38.93,40.16,559433
8-Nov-16,39.54,40.06,39.26,39.62,268450
7-Nov-16,39.08,40.03,39.08,39.49,352855
4-Nov-16,39.00,39.53,38.77,38.78,577580
3-Nov-16,38.75,39.30,38.60,39.26,417572
2-Nov-16,38.50,39.96,37.64,39.09,1175914
1-Nov-16,39.85,39.89,38.96,39.18,454037
31-Oct-16,39.54,40.00,38.98,39.74,527062
28-Oct-16,40.12,40.61,39.56,39.67,359019
27-Oct-16,40.00,40.75,40.00,40.23,474279
26-Oct-16,41.19,41.52,40.71,40.93,383961
25-Oct-16,41.94,41.97,41.22,41.39,546816
24-Oct-16,41.83,42.13,41.54,41.95,426001
21-Oct-16,41.88,41.90,41.48,41.83,490373
20-Oct-16,41.73,42.00,41.40,41.93,425744
19-Oct-16,42.00,42.49,41.73,41.90,372801
18-Oct-16,41.68,41.90,41.05,41.87,443894
17-Oct-16,41.36,41.59,41.22,41.43,359252
14-Oct-16,41.50,41.60,40.71,41.38,850739
13-Oct-16,39.84,41.45,39.83,41.42,487220
12-Oct-16,40.05,41.08,39.99,41.04,564203
11-Oct-16,39.99,40.31,39.56,40.31,497619
10-Oct-16,39.98,40.10,39.58,40.07,579791
7-Oct-16,38.53,39.56,38.36,39.05,865527
6-Oct-16,39.11,39.28,38.18,38.69,593891
5-Oct-16,39.70,39.70,38.18,38.99,1042229
4-Oct-16,39.75,39.86,39.15,39.53,376485
3-Oct-16,40.02,40.11,39.30,39.88,425176
30-Sep-16,39.73,40.20,39.28,39.95,877789
29-Sep-16,39.08,39.63,38.91,39.48,1011934
28-Sep-16,38.22,39.42,37.73,39.27,471735
27-Sep-16,38.02,38.33,37.65,38.22,311583
26-Sep-16,38.74,38.96,38.45,38.69,495278
23-Sep-16,38.99,39.31,38.28,38.65,490227
22-Sep-16,38.48,39.26,38.40,39.26,570616
21-Sep-16,37.59,38.39,37.36,38.16,514910
20-Sep-16,37.20,37.61,36.99,37.22,342084
19-Sep-16,37.33,38.05,37.16,37.18,385844
16-Sep-16,36.37,37.34,36.13,37.11,1609312
15-Sep-16,37.34,37.50,36.80,36.88,636022
14-Sep-16,37.44,37.80,36.99,37.33,1168812
13-Sep-16,37.43,37.51,36.52,36.86,1840962
12-Sep-16,38.13,38.56,37.80,37.96,734576
9-Sep-16,39.41,39.53,38.49,38.49,694429
8-Sep-16,39.95,40.05,39.62,39.78,477609
7-Sep-16,39.92,40.06,39.71,39.80,551536
6-Sep-16,39.90,40.23,39.57,39.86,739310
2-Sep-16,39.12,39.76,38.94,39.29,465869
1-Sep-16,38.69,39.02,38.43,38.99,600862
31-Aug-16,39.05,39.13,38.50,38.75,413780
30-Aug-16,39.65,39.90,39.06,39.07,352192
29-Aug-16,39.72,39.93,39.29,39.64,463158
26-Aug-16,40.00,40.39,39.61,39.76,255727
25-Aug-16,39.98,40.27,39.71,39.90,294139
24-Aug-16,39.80,40.15,39.80,39.99,423925
23-Aug-16,40.20,40.20,39.68,40.08,397696
22-Aug-16,40.20,40.49,39.81,40.16,497784
19-Aug-16,41.18,41.29,40.20,40.39,486857
18-Aug-16,41.05,41.58,41.05,41.37,319185
17-Aug-16,41.60,41.78,40.79,40.93,456008
16-Aug-16,41.56,41.75,41.02,41.60,468411
15-Aug-16,41.64,42.02,41.11,41.71,523351
12-Aug-16,40.91,41.73,40.85,41.17,460463
11-Aug-16,40.71,40.95,40.16,40.55,241774
10-Aug-16,40.04,40.41,39.75,40.40,427136
9-Aug-16,40.49,40.94,39.95,39.99,343607
8-Aug-16,40.44,40.98,40.44,40.62,420643
5-Aug-16,40.38,40.42,39.57,40.23,664261
4-Aug-16,40.08,41.00,39.81,40.32,544767
3-Aug-16,39.66,40.91,39.25,40.86,644137
2-Aug-16,39.89,40.16,39.09,40.12,834086
1-Aug-16,39.95,40.14,39.36,39.52,1220888
29-Jul-16,39.76,40.37,39.53,40.23,579006
28-Jul-16,40.21,40.70,39.95,39.98,391883
27-Jul-16,40.65,41.31,40.03,40.33,716856
26-Jul-16,40.92,41.17,40.26,40.65,563998
25-Jul-16,41.65,41.97,40.80,40.97,626924
22-Jul-16,41.61,42.04,41.58,41.86,327079
21-Jul-16,41.75,42.11,41.35,41.77,437426
20-Jul-16,41.51,41.72,40.85,41.69,566378
19-Jul-16,41.75,41.94,41.10,41.61,417810
18-Jul-16,41.61,41.86,41.55,41.75,414441
15-Jul-16,41.71,41.97,41.42,41.80,309811
14-Jul-16,42.08,42.34,41.53,41.70,634303
13-Jul-16,42.10,42.34,41.57,41.88,737781
12-Jul-16,41.50,42.31,41.26,42.11,1048489
11-Jul-16,41.29,41.50,40.68,40.73,411627
8-Jul-16,41.12,41.42,40.78,41.05,443720
7-Jul-16,40.77,41.36,40.13,40.66,684934
6-Jul-16,39.90,40.31,39.15,40.10,867939
5-Jul-16,39.81,40.09,39.26,40.04,397850
1-Jul-16,40.15,40.59,40.00,40.34,415166
30-Jun-16,40.08,40.51,39.59,40.06,723091
29-Jun-16,40.00,40.60,39.86,39.96,632324
28-Jun-16,39.38,39.70,38.24,39.66,698625
27-Jun-16,39.11,39.31,38.00,38.38,892385
24-Jun-16,38.65,40.36,38.50,39.44,738781
23-Jun-16,39.65,40.27,39.27,40.25,497459
22-Jun-16,39.70,40.09,39.21,39.55,369039
21-Jun-16,39.18,40.04,38.92,39.64,448579
20-Jun-16,38.49,39.44,38.09,39.25,626853
17-Jun-16,38.11,38.54,37.20,37.92,2073052
16-Jun-16,37.48,38.18,36.54,37.87,601432
15-Jun-16,37.33,38.32,36.70,37.83,691733
14-Jun-16,37.43,37.56,36.53,37.43,506993
13-Jun-16,37.31,38.54,37.04,37.44,944835
10-Jun-16,37.34,38.23,37.27,37.80,636533
9-Jun-16,38.47,38.64,37.95,38.53,639883
8-Jun-16,39.82,40.12,38.68,38.84,1037339
7-Jun-16,39.46,40.00,39.43,39.74,529525
6-Jun-16,38.82,39.36,38.51,39.15,660037
3-Jun-16,38.59,39.00,38.05,38.28,580559
2-Jun-16,37.92,38.75,37.73,38.47,785840
1-Jun-16,37.58,38.40,37.29,38.28,502264
31-May-16,38.95,39.30,37.68,37.95,820345
27-May-16,38.90,39.11,38.51,38.79,367724
26-May-16,39.80,39.93,38.83,39.25,606894
25-May-16,38.39,39.58,37.99,39.39,529732
24-May-16,39.15,39.43,37.87,37.98,748337
23-May-16,38.95,39.35,38.57,39.04,650480
20-May-16,38.26,39.68,38.06,39.45,806267
19-May-16,36.96,38.34,36.34,38.24,759327
18-May-16,38.90,38.99,37.30,37.49,627159
17-May-16,38.38,39.31,38.16,39.06,692016
16-May-16,38.00,38.75,37.76,38.48,512652
13-May-16,37.60,38.06,37.12,37.44,620851
12-May-16,36.84,37.63,36.38,37.61,609002
11-May-16,35.98,36.78,34.84,36.21,783098
10-May-16,36.17,36.86,35.71,36.07,744518
9-May-16,36.37,37.13,34.98,35.72,1179021
6-May-16,36.98,37.47,36.33,36.47,770133
5-May-16,37.57,38.98,37.16,37.23,879054
4-May-16,35.76,37.54,35.41,37.35,1470141
3-May-16,34.57,34.89,33.78,34.38,846183
2-May-16,35.18,35.22,34.32,35.10,405555
29-Apr-16,34.95,35.78,34.72,35.46,783022
28-Apr-16,35.63,35.96,34.17,34.52,1612277
27-Apr-16,36.45,37.21,35.53,36.74,1312366
26-Apr-16,35.99,36.25,35.11,36.00,936416
25-Apr-16,36.41,36.52,35.29,35.69,869844
22-Apr-16,36.25,36.86,36.17,36.47,1249350
21-Apr-16,35.92,36.79,35.79,36.11,1028599
20-Apr-16,35.07,36.76,34.84,35.92,1438458
19-Apr-16,33.55,35.24,33.33,35.15,1238886
18-Apr-16,31.17,33.49,31.13,33.29,728383
15-Apr-16,31.85,32.86,31.45,31.94,760444
14-Apr-16,32.81,32.91,32.11,32.23,685353
13-Apr-16,32.67,33.43,32.04,32.80,884776
12-Apr-16,31.57,33.00,31.30,32.72,945206
11-Apr-16,31.00,31.92,30.88,31.31,714947
8-Apr-16,30.91,31.55,30.62,30.84,705114
7-Apr-16,30.09,30.80,29.76,30.25,597033
6-Apr-16,29.94,30.97,29.94,30.55,485482
5-Apr-16,29.79,30.34,29.59,29.67,719174
4-Apr-16,30.22,31.08,29.78,29.98,727136
1-Apr-16,30.98,31.01,29.91,30.22,738729
31-Mar-16,31.06,31.84,30.85,31.40,597950
30-Mar-16,29.98,31.64,29.98,31.05,987408
29-Mar-16,28.80,30.00,28.51,29.84,535356
28-Mar-16,29.55,29.56,28.83,29.15,717634
24-Mar-16,28.71,29.83,28.45,29.45,379734
23-Mar-16,30.52,30.55,29.18,29.20,671341
22-Mar-16,30.60,31.36,30.47,30.79,1271108
21-Mar-16,32.22,32.34,30.15,30.94,1634249
18-Mar-16,33.34,34.00,32.07,32.21,5121835
17-Mar-16,33.17,33.64,32.75,33.02,1331645
16-Mar-16,32.15,33.25,32.02,32.90,1693247
15-Mar-16,31.84,32.13,31.00,31.88,979813
14-Mar-16,31.91,33.10,31.63,32.40,1404427
11-Mar-16,31.95,33.09,31.95,32.54,1423095
10-Mar-16,31.14,32.23,30.90,31.45,945152
9-Mar-16,31.15,32.90,30.60,31.73,1914463
8-Mar-16,31.90,32.08,30.41,30.62,1910634
7-Mar-16,30.88,32.69,30.85,32.10,1443605
4-Mar-16,31.47,31.86,30.09,30.79,1659195
3-Mar-16,30.39,31.99,30.28,31.15,1601763
2-Mar-16,28.75,30.52,28.47,30.48,1545680
1-Mar-16,29.74,29.81,28.26,29.24,1205639
29-Feb-16,28.70,29.88,28.35,29.39,1242192
26-Feb-16,27.21,29.03,27.07,28.66,1491435
25-Feb-16,25.69,26.76,25.46,26.57,1544786
24-Feb-16,24.75,26.17,24.42,26.01,1527466
23-Feb-16,26.05,26.37,25.03,25.66,1469259
