Date,Open,High,Low,Close,Volume
22-Nov-16,9.25,9.40,9.15,9.35,103243
21-Nov-16,9.25,9.25,9.00,9.20,124222
18-Nov-16,9.00,9.20,8.90,9.20,139797
17-Nov-16,9.10,9.15,8.95,9.00,138632
16-Nov-16,8.60,9.10,8.60,9.05,188102
15-Nov-16,8.75,8.75,8.50,8.70,119400
14-Nov-16,8.85,8.95,8.55,8.75,243021
11-Nov-16,8.30,8.75,8.15,8.70,280874
10-Nov-16,7.95,8.30,7.90,8.25,276472
9-Nov-16,7.25,7.75,7.25,7.75,233180
8-Nov-16,7.55,7.55,7.35,7.45,116568
7-Nov-16,7.30,7.60,7.30,7.55,168902
4-Nov-16,7.20,7.45,7.10,7.25,199167
3-Nov-16,7.25,7.30,7.05,7.15,182070
2-Nov-16,7.20,7.45,7.10,7.25,129020
1-Nov-16,7.55,7.60,7.15,7.25,172099
31-Oct-16,7.55,7.60,7.35,7.60,149646
28-Oct-16,7.60,7.75,7.40,7.50,139745
27-Oct-16,7.95,7.95,7.58,7.60,123596
26-Oct-16,8.05,8.05,7.85,7.85,283073
25-Oct-16,8.30,8.30,8.00,8.05,140387
24-Oct-16,8.35,8.50,8.05,8.20,237327
21-Oct-16,8.10,8.30,8.10,8.30,136620
20-Oct-16,8.20,8.35,8.10,8.25,179600
19-Oct-16,8.15,8.30,8.05,8.25,148842
18-Oct-16,8.15,8.20,8.00,8.05,245200
17-Oct-16,8.15,8.35,8.05,8.05,175210
14-Oct-16,8.31,8.39,8.16,8.23,176009
13-Oct-16,8.40,8.44,8.22,8.24,220577
12-Oct-16,8.49,8.64,8.36,8.51,200085
11-Oct-16,8.60,8.60,8.33,8.45,297182
10-Oct-16,8.44,8.59,8.37,8.59,193108
7-Oct-16,8.50,8.52,8.21,8.31,232544
6-Oct-16,8.27,8.52,8.27,8.51,208594
5-Oct-16,8.15,8.36,8.11,8.29,268262
4-Oct-16,8.41,8.49,8.10,8.12,282616
3-Oct-16,8.45,8.51,8.34,8.36,284805
30-Sep-16,8.22,8.53,8.13,8.44,622691
29-Sep-16,8.20,8.23,8.00,8.05,329428
28-Sep-16,8.02,8.23,8.01,8.20,420940
27-Sep-16,7.93,8.19,7.89,8.07,497356
26-Sep-16,8.12,8.13,7.89,7.92,557962
23-Sep-16,8.59,8.64,8.18,8.19,717360
22-Sep-16,9.55,9.66,8.48,8.59,1562219
21-Sep-16,9.84,10.16,9.82,10.05,462866
20-Sep-16,10.00,10.02,9.68,9.76,282180
19-Sep-16,9.87,10.10,9.85,9.93,179843
16-Sep-16,9.87,9.91,9.69,9.83,315380
15-Sep-16,9.61,9.88,9.51,9.86,239717
14-Sep-16,9.75,9.82,9.53,9.61,171750
13-Sep-16,9.83,9.84,9.68,9.80,377049
12-Sep-16,9.64,9.92,9.53,9.88,153941
9-Sep-16,10.21,10.22,9.72,9.76,309439
8-Sep-16,10.36,10.42,10.26,10.35,275251
7-Sep-16,10.15,10.38,10.06,10.37,290593
6-Sep-16,10.31,10.31,10.05,10.15,328319
