Date,Open,High,Low,Close,Volume
22-Nov-16,49.00,49.30,48.77,48.98,411822
21-Nov-16,49.31,49.46,48.80,49.04,326996
18-Nov-16,50.28,50.40,48.98,49.12,344403
17-Nov-16,50.67,51.04,50.24,50.33,275615
16-Nov-16,49.92,50.11,49.55,49.83,252604
15-Nov-16,50.19,50.31,49.78,50.04,386987
14-Nov-16,50.07,50.52,49.65,50.06,345796
11-Nov-16,49.52,50.19,48.98,49.70,418345
10-Nov-16,49.73,49.84,48.41,49.41,426505
9-Nov-16,46.65,49.03,46.65,48.99,510851
8-Nov-16,45.84,46.76,45.68,46.45,293217
7-Nov-16,46.48,46.48,45.88,46.04,336524
4-Nov-16,46.11,46.77,45.40,45.83,708998
3-Nov-16,45.30,47.46,44.64,46.43,748974
2-Nov-16,45.80,46.40,45.60,46.07,458013
1-Nov-16,45.17,46.12,44.97,45.82,363354
31-Oct-16,45.89,45.89,45.05,45.28,416493
28-Oct-16,46.38,46.98,45.76,45.82,260964
27-Oct-16,47.43,47.52,46.42,46.52,237853
26-Oct-16,47.23,47.48,46.90,47.10,235601
25-Oct-16,47.81,47.92,47.43,47.56,191974
24-Oct-16,48.13,48.18,47.70,48.04,130357
21-Oct-16,46.92,47.75,46.77,47.58,179181
20-Oct-16,47.38,47.67,47.06,47.41,175766
19-Oct-16,47.50,47.74,47.18,47.50,154498
18-Oct-16,47.35,47.88,47.09,47.46,152938
17-Oct-16,47.30,47.39,46.97,47.00,275488
14-Oct-16,47.63,47.79,47.26,47.35,194162
13-Oct-16,46.89,47.75,46.89,47.54,265428
12-Oct-16,47.32,47.57,47.06,47.30,193502
11-Oct-16,48.52,48.52,46.94,47.37,262477
10-Oct-16,48.34,49.00,48.15,48.63,142179
7-Oct-16,48.30,48.42,47.49,48.12,417795
6-Oct-16,48.00,48.31,47.62,48.25,356614
5-Oct-16,48.21,48.71,48.21,48.32,181948
4-Oct-16,47.99,48.22,47.53,47.98,149410
3-Oct-16,48.25,48.25,47.61,48.03,239212
30-Sep-16,47.97,48.58,47.52,48.27,393177
29-Sep-16,48.30,48.30,47.30,47.71,428838
28-Sep-16,48.12,48.32,47.89,48.25,262420
27-Sep-16,48.11,48.52,47.82,48.23,388941
26-Sep-16,48.68,48.68,48.14,48.18,363322
23-Sep-16,48.21,48.82,48.13,48.68,324040
22-Sep-16,47.65,48.28,47.40,48.22,361372
21-Sep-16,46.83,47.27,46.72,47.18,391572
20-Sep-16,47.40,47.78,46.89,46.91,368748
19-Sep-16,46.96,47.53,46.95,47.27,377615
16-Sep-16,46.82,47.12,46.44,47.04,761167
15-Sep-16,46.61,46.83,46.21,46.71,768375
14-Sep-16,47.10,47.56,46.32,46.45,783344
13-Sep-16,46.97,47.19,46.47,46.90,384847
12-Sep-16,46.70,47.42,46.54,47.39,308065
9-Sep-16,47.59,47.94,46.75,46.75,356003
8-Sep-16,48.44,48.48,48.02,48.05,272187
7-Sep-16,48.25,48.53,47.82,48.52,438768
6-Sep-16,48.14,48.26,47.82,48.22,341199
2-Sep-16,47.90,48.15,47.59,47.99,340234
1-Sep-16,47.84,48.24,47.42,47.70,352622
31-Aug-16,48.53,48.53,47.78,48.13,263463
30-Aug-16,48.32,48.82,47.79,48.55,526320
29-Aug-16,48.21,48.50,48.02,48.27,212658
26-Aug-16,48.24,48.46,47.72,48.04,321443
25-Aug-16,48.29,48.38,47.84,48.04,315608
24-Aug-16,48.72,48.77,48.07,48.27,451272
23-Aug-16,48.67,48.84,48.28,48.76,423263
22-Aug-16,48.00,48.76,47.95,48.51,367521
19-Aug-16,48.13,48.62,47.95,48.16,281592
18-Aug-16,48.13,48.37,47.73,48.13,381978
17-Aug-16,48.34,48.50,47.64,48.10,366495
16-Aug-16,50.15,50.15,48.22,48.24,383256
15-Aug-16,50.21,50.44,49.40,50.13,701508
12-Aug-16,47.05,50.53,46.97,50.13,1154010
11-Aug-16,48.24,48.48,47.22,47.31,630205
10-Aug-16,49.05,49.05,47.41,48.19,766753
9-Aug-16,50.27,50.35,49.60,49.61,541916
8-Aug-16,51.20,51.20,49.80,50.12,546897
5-Aug-16,53.27,53.27,51.16,51.38,729050
4-Aug-16,54.81,54.81,52.92,52.97,531909
3-Aug-16,52.60,52.63,51.95,52.20,553273
2-Aug-16,53.47,53.57,52.48,52.75,501736
1-Aug-16,53.58,54.22,53.10,53.59,544669
29-Jul-16,53.83,53.85,53.29,53.50,610577
28-Jul-16,54.31,54.31,53.60,53.81,282682
27-Jul-16,53.80,54.47,53.80,54.43,305478
26-Jul-16,53.80,54.07,53.44,53.79,415721
25-Jul-16,54.11,54.13,53.31,53.74,307136
22-Jul-16,54.58,54.59,53.97,54.18,198499
21-Jul-16,54.68,55.04,54.20,54.45,185193
20-Jul-16,54.70,55.12,54.65,54.81,168580
19-Jul-16,54.90,55.23,54.36,54.50,242805
18-Jul-16,55.65,55.86,55.09,55.14,233490
15-Jul-16,56.44,56.53,55.24,55.51,297557
14-Jul-16,56.83,56.97,56.14,56.38,226229
13-Jul-16,57.11,57.34,56.35,56.47,325850
12-Jul-16,56.28,57.01,56.28,56.75,496859
11-Jul-16,55.97,56.69,55.56,56.09,264998
8-Jul-16,55.57,56.29,55.43,55.83,276014
7-Jul-16,55.00,55.50,54.90,55.24,342357
6-Jul-16,54.23,55.02,53.98,54.95,348532
5-Jul-16,54.56,54.77,54.11,54.29,336806
1-Jul-16,55.40,55.76,54.56,54.72,302140
30-Jun-16,54.89,55.43,54.19,55.40,413674
29-Jun-16,54.70,54.98,54.52,54.73,580532
28-Jun-16,53.59,54.36,53.55,54.12,568061
27-Jun-16,52.75,53.42,52.23,53.23,740210
24-Jun-16,52.43,53.49,52.43,53.15,737333
23-Jun-16,54.18,54.71,53.89,54.51,370414
22-Jun-16,53.02,54.32,52.88,53.67,390471
21-Jun-16,53.26,53.46,52.82,52.98,343730
20-Jun-16,53.27,53.77,53.02,53.14,333141
17-Jun-16,53.29,53.29,52.14,52.44,795705
16-Jun-16,52.14,53.01,51.82,52.92,584357
15-Jun-16,52.56,53.05,52.29,52.56,366916
14-Jun-16,51.90,52.70,51.90,52.47,555827
13-Jun-16,52.51,52.77,51.68,52.01,463821
10-Jun-16,52.98,53.03,52.45,52.77,287958
9-Jun-16,53.46,53.91,53.29,53.61,396410
8-Jun-16,53.48,53.93,53.15,53.83,348613
7-Jun-16,53.35,53.67,52.99,53.50,286066
6-Jun-16,53.81,53.91,53.45,53.47,251991
3-Jun-16,53.93,53.97,53.15,53.64,216822
2-Jun-16,53.82,54.35,53.36,53.79,374913
1-Jun-16,54.01,54.11,53.65,53.98,425948
31-May-16,54.70,55.00,53.66,54.04,516477
27-May-16,54.62,55.10,54.27,54.66,456348
26-May-16,55.19,55.43,54.20,54.64,436557
25-May-16,55.29,55.80,55.03,55.29,440116
24-May-16,54.70,55.15,54.60,55.04,414854
23-May-16,54.67,54.99,54.18,54.33,269204
20-May-16,54.42,55.07,54.12,54.80,393942
19-May-16,54.49,54.97,53.22,54.02,473978
18-May-16,54.92,55.51,54.50,54.83,368783
17-May-16,56.52,56.58,54.58,54.96,658258
16-May-16,55.59,56.72,54.88,56.52,546249
13-May-16,57.08,57.41,55.46,55.73,897869
12-May-16,57.11,57.55,55.01,57.08,934087
11-May-16,56.98,57.54,55.81,56.10,672101
10-May-16,57.61,58.00,56.31,56.92,767576
9-May-16,56.50,57.80,56.50,57.18,514174
6-May-16,57.13,57.48,55.59,56.71,421151
5-May-16,57.08,57.82,56.83,57.51,393762
4-May-16,56.71,57.46,56.25,57.09,444420
3-May-16,57.59,58.08,56.84,56.87,484118
2-May-16,56.78,57.62,56.47,57.60,429198
29-Apr-16,57.18,57.49,56.24,56.78,423742
28-Apr-16,57.31,57.77,56.87,57.38,414775
27-Apr-16,57.27,57.67,56.85,57.44,273269
26-Apr-16,56.68,57.61,56.36,57.26,377312
25-Apr-16,56.63,57.26,56.19,56.68,487361
22-Apr-16,56.94,57.25,56.40,56.76,370119
21-Apr-16,57.04,57.34,56.29,57.05,510062
20-Apr-16,56.87,57.72,56.22,57.16,554463
19-Apr-16,56.33,57.80,56.02,56.96,579215
18-Apr-16,56.20,56.79,56.03,56.36,465995
15-Apr-16,56.53,56.87,56.10,56.47,875537
14-Apr-16,56.44,56.90,56.32,56.54,543257
13-Apr-16,56.68,56.81,56.09,56.44,8723526
12-Apr-16,55.80,56.94,55.68,56.49,855862
11-Apr-16,55.85,56.46,55.00,55.55,403674
8-Apr-16,54.91,55.72,54.41,55.36,415818
7-Apr-16,54.41,55.00,54.10,54.59,477620
6-Apr-16,53.76,55.24,53.76,54.80,361209
5-Apr-16,53.19,54.04,53.19,53.62,248579
4-Apr-16,54.31,54.83,53.60,53.68,300360
1-Apr-16,52.92,54.34,52.58,54.13,320633
31-Mar-16,53.05,53.62,52.67,53.39,236341
30-Mar-16,53.56,53.74,53.03,53.05,283519
29-Mar-16,51.04,53.45,51.00,53.42,372939
28-Mar-16,51.01,51.19,50.21,51.04,241843
24-Mar-16,50.51,51.18,49.87,50.96,235525
23-Mar-16,51.36,51.83,50.64,50.65,267897
22-Mar-16,50.92,52.00,50.73,51.61,312490
21-Mar-16,52.06,52.20,50.97,51.07,444058
18-Mar-16,52.18,52.44,50.53,52.24,530604
17-Mar-16,52.51,52.52,51.09,51.91,361533
16-Mar-16,51.72,52.69,51.42,52.29,310727
15-Mar-16,51.73,52.08,51.42,51.63,523358
14-Mar-16,52.75,52.99,51.97,52.14,172281
11-Mar-16,51.94,53.57,51.80,52.94,262391
10-Mar-16,51.81,52.80,51.17,51.54,392916
9-Mar-16,51.66,52.16,51.15,51.68,315734
8-Mar-16,51.95,52.16,51.22,51.35,303535
7-Mar-16,51.08,52.12,50.95,51.68,363516
4-Mar-16,51.58,51.85,50.91,51.28,353790
3-Mar-16,50.71,51.77,50.38,51.45,484263
