Date,Open,High,Low,Close,Volume
22-Nov-16,15.35,15.40,15.30,15.40,24584
21-Nov-16,15.20,15.36,15.18,15.35,47461
18-Nov-16,15.19,15.22,15.15,15.20,42576
17-Nov-16,15.25,15.25,15.11,15.15,45800
16-Nov-16,15.32,15.54,15.21,15.21,49972
15-Nov-16,15.04,15.67,15.04,15.40,85853
14-Nov-16,15.53,15.53,14.75,15.02,163877
11-Nov-16,15.40,15.87,15.35,15.58,113645
10-Nov-16,15.98,16.00,15.67,15.67,147742
9-Nov-16,15.99,16.22,15.99,16.02,86788
8-Nov-16,16.21,16.36,16.18,16.27,103517
7-Nov-16,16.05,16.21,16.04,16.21,23850
4-Nov-16,15.98,16.06,15.98,16.06,29229
3-Nov-16,15.95,15.98,15.92,15.96,21659
2-Nov-16,15.89,15.95,15.86,15.95,28411
1-Nov-16,15.81,15.90,15.80,15.85,53293
31-Oct-16,15.91,15.96,15.80,15.89,36538
28-Oct-16,15.88,15.94,15.76,15.85,50364
27-Oct-16,16.00,16.02,15.87,15.89,85073
26-Oct-16,16.07,16.21,16.03,16.05,47137
25-Oct-16,16.08,16.18,16.03,16.13,28382
24-Oct-16,15.96,16.12,15.96,16.05,42187
21-Oct-16,15.95,16.03,15.95,16.02,24753
20-Oct-16,15.95,16.17,15.83,15.91,59588
19-Oct-16,15.63,15.99,15.63,15.87,99302
18-Oct-16,15.43,15.62,15.40,15.62,88255
17-Oct-16,15.56,15.66,15.41,15.44,104483
14-Oct-16,15.65,15.71,15.59,15.60,79628
13-Oct-16,15.97,15.97,15.75,15.75,126491
12-Oct-16,16.21,16.29,15.97,16.00,93665
11-Oct-16,16.32,16.32,16.22,16.27,47521
10-Oct-16,16.45,16.45,16.22,16.34,95904
7-Oct-16,16.58,16.58,16.45,16.47,43318
6-Oct-16,16.58,16.60,16.50,16.53,45887
5-Oct-16,16.71,16.71,16.58,16.67,40210
4-Oct-16,16.75,16.80,16.65,16.66,39361
3-Oct-16,16.82,16.87,16.74,16.80,70816
30-Sep-16,16.85,16.87,16.78,16.79,44162
29-Sep-16,16.96,16.96,16.85,16.85,43787
28-Sep-16,16.95,17.04,16.84,16.93,31004
27-Sep-16,16.93,16.98,16.88,16.97,42126
26-Sep-16,17.00,17.08,16.92,16.95,31091
23-Sep-16,17.07,17.08,17.00,17.08,21592
22-Sep-16,17.00,17.09,16.99,17.09,24341
21-Sep-16,16.86,16.99,16.85,16.97,43277
20-Sep-16,16.88,16.91,16.85,16.91,19200
19-Sep-16,16.99,16.99,16.84,16.88,37721
16-Sep-16,16.93,16.94,16.88,16.91,10038
15-Sep-16,16.86,16.89,16.74,16.85,119737
14-Sep-16,16.95,17.19,16.84,16.86,35448
13-Sep-16,16.96,16.99,16.88,16.91,68471
12-Sep-16,17.11,17.14,16.96,17.06,28077
9-Sep-16,17.38,17.38,17.06,17.16,48200
8-Sep-16,17.35,17.53,17.33,17.42,46629
7-Sep-16,17.45,17.49,17.39,17.46,53076
6-Sep-16,17.17,17.48,17.17,17.46,52492
2-Sep-16,16.99,17.24,16.96,17.24,34593
1-Sep-16,16.96,17.03,16.92,17.02,52742
31-Aug-16,16.97,17.02,16.93,16.96,44213
30-Aug-16,17.04,17.07,16.98,17.02,33713
29-Aug-16,16.97,17.05,16.97,17.01,39541
26-Aug-16,17.10,17.14,16.96,17.07,53550
25-Aug-16,17.20,17.22,17.10,17.15,24843
24-Aug-16,17.21,17.28,17.15,17.23,30710
23-Aug-16,17.17,17.30,17.14,17.26,29303
22-Aug-16,17.14,17.18,17.09,17.17,30246
19-Aug-16,17.12,17.12,17.08,17.09,16996
18-Aug-16,17.26,17.26,17.12,17.13,24091
17-Aug-16,17.21,17.24,17.16,17.18,42523
16-Aug-16,17.28,17.29,17.20,17.21,21410
15-Aug-16,17.37,17.37,17.22,17.25,42462
12-Aug-16,17.36,17.36,17.27,17.35,17452
11-Aug-16,17.33,17.34,17.30,17.33,9597
10-Aug-16,17.31,17.33,17.25,17.31,7010
9-Aug-16,17.22,17.30,17.21,17.29,16066
8-Aug-16,17.32,17.36,17.29,17.32,13791
5-Aug-16,17.28,17.32,17.25,17.29,50027
4-Aug-16,17.32,17.42,17.26,17.32,52834
3-Aug-16,17.37,17.44,17.33,17.34,64769
2-Aug-16,17.31,17.38,17.21,17.35,39242
1-Aug-16,17.35,17.37,17.31,17.31,44726
29-Jul-16,17.28,17.35,17.27,17.31,21906
28-Jul-16,17.25,17.30,17.24,17.30,5559
27-Jul-16,17.24,17.28,17.23,17.28,7685
26-Jul-16,17.17,17.26,17.08,17.24,31134
25-Jul-16,17.22,17.22,17.06,17.09,23532
22-Jul-16,17.19,17.21,17.16,17.16,13264
21-Jul-16,17.10,17.19,17.10,17.17,20934
20-Jul-16,17.04,17.11,17.04,17.10,23089
19-Jul-16,17.08,17.08,16.99,17.07,22548
18-Jul-16,16.90,17.11,16.90,17.04,27916
15-Jul-16,16.74,16.98,16.74,16.90,59491
14-Jul-16,16.70,16.80,16.64,16.71,105589
13-Jul-16,16.81,16.82,16.62,16.62,73465
12-Jul-16,17.09,17.09,16.80,16.83,63304
11-Jul-16,17.23,17.23,17.05,17.09,31256
8-Jul-16,17.27,17.41,17.14,17.16,36187
7-Jul-16,17.42,17.42,17.25,17.28,17851
6-Jul-16,17.27,17.48,17.21,17.46,67026
5-Jul-16,17.10,17.25,17.10,17.25,29533
1-Jul-16,17.00,17.08,16.94,17.08,38526
30-Jun-16,16.92,17.00,16.90,16.93,44414
29-Jun-16,16.82,16.95,16.76,16.94,67458
28-Jun-16,16.74,16.93,16.74,16.89,31724
