Date,Open,High,Low,Close,Volume
22-Nov-16,9.15,9.17,9.13,9.14,121770
21-Nov-16,9.07,9.12,9.05,9.12,129065
18-Nov-16,9.03,9.09,9.03,9.06,120546
17-Nov-16,9.05,9.05,9.00,9.02,207038
16-Nov-16,9.04,9.05,8.93,9.03,323536
15-Nov-16,8.85,9.02,8.83,9.01,277753
14-Nov-16,8.93,8.95,8.76,8.89,441854
11-Nov-16,8.99,9.03,8.93,8.99,241516
10-Nov-16,9.13,9.18,8.94,9.00,423147
9-Nov-16,9.04,9.19,9.02,9.14,274896
8-Nov-16,9.25,9.30,9.21,9.21,126469
7-Nov-16,9.23,9.28,9.22,9.25,144534
4-Nov-16,9.20,9.22,9.16,9.20,89235
3-Nov-16,9.21,9.25,9.20,9.22,103050
2-Nov-16,9.32,9.33,9.20,9.21,336953
1-Nov-16,9.39,9.40,9.34,9.38,166468
31-Oct-16,9.36,9.42,9.30,9.41,102758
28-Oct-16,9.38,9.39,9.28,9.32,137525
27-Oct-16,9.44,9.44,9.31,9.36,135864
26-Oct-16,9.45,9.45,9.40,9.40,96521
25-Oct-16,9.43,9.45,9.41,9.45,129604
24-Oct-16,9.42,9.45,9.36,9.42,188226
21-Oct-16,9.41,9.45,9.36,9.43,138768
20-Oct-16,9.32,9.44,9.32,9.41,97676
19-Oct-16,9.30,9.37,9.30,9.37,140899
18-Oct-16,9.32,9.32,9.25,9.29,159525
17-Oct-16,9.31,9.34,9.22,9.25,196408
14-Oct-16,9.31,9.34,9.28,9.34,262671
13-Oct-16,9.26,9.30,9.24,9.27,225477
12-Oct-16,9.25,9.33,9.22,9.32,226793
11-Oct-16,9.37,9.39,9.25,9.25,174294
10-Oct-16,9.43,9.45,9.40,9.41,178536
7-Oct-16,9.46,9.48,9.38,9.41,166238
6-Oct-16,9.44,9.44,9.40,9.43,138454
5-Oct-16,9.46,9.46,9.41,9.43,145910
4-Oct-16,9.52,9.53,9.39,9.41,308363
3-Oct-16,9.53,9.58,9.52,9.55,101463
30-Sep-16,9.48,9.56,9.47,9.53,100866
29-Sep-16,9.50,9.50,9.42,9.44,128284
28-Sep-16,9.49,9.50,9.46,9.48,121327
27-Sep-16,9.45,9.47,9.44,9.46,109941
26-Sep-16,9.48,9.50,9.42,9.45,221768
23-Sep-16,9.52,9.52,9.41,9.47,206070
22-Sep-16,9.50,9.52,9.46,9.51,203698
21-Sep-16,9.45,9.48,9.38,9.45,228400
20-Sep-16,9.44,9.46,9.38,9.40,120896
19-Sep-16,9.45,9.48,9.38,9.39,160620
16-Sep-16,9.42,9.44,9.40,9.44,141189
15-Sep-16,9.37,9.44,9.34,9.40,86418
14-Sep-16,9.21,9.40,9.21,9.38,201107
13-Sep-16,9.40,9.40,9.20,9.20,335112
12-Sep-16,9.40,9.44,9.33,9.43,232320
9-Sep-16,9.61,9.63,9.40,9.42,294700
8-Sep-16,9.66,9.67,9.60,9.63,185796
7-Sep-16,9.62,9.72,9.62,9.72,265310
6-Sep-16,9.62,9.62,9.56,9.61,186383
2-Sep-16,9.53,9.60,9.53,9.60,225715
1-Sep-16,9.54,9.55,9.50,9.52,137143
31-Aug-16,9.58,9.58,9.49,9.51,118739
30-Aug-16,9.57,9.58,9.53,9.56,106343
29-Aug-16,9.52,9.58,9.52,9.55,128412
26-Aug-16,9.48,9.54,9.48,9.50,131510
25-Aug-16,9.45,9.48,9.45,9.47,90287
24-Aug-16,9.48,9.50,9.44,9.46,181222
23-Aug-16,9.48,9.48,9.45,9.46,117201
22-Aug-16,9.47,9.48,9.42,9.47,94128
19-Aug-16,9.46,9.49,9.42,9.48,96563
18-Aug-16,9.42,9.46,9.41,9.45,68980
17-Aug-16,9.45,9.45,9.37,9.42,120622
16-Aug-16,9.42,9.45,9.41,9.42,195382
15-Aug-16,9.37,9.44,9.37,9.42,149400
12-Aug-16,9.35,9.40,9.34,9.40,138640
11-Aug-16,9.33,9.35,9.30,9.34,87803
10-Aug-16,9.34,9.36,9.26,9.30,184505
9-Aug-16,9.35,9.36,9.32,9.36,123152
8-Aug-16,9.36,9.43,9.35,9.42,123590
5-Aug-16,9.32,9.38,9.31,9.36,267239
4-Aug-16,9.30,9.38,9.29,9.34,172677
3-Aug-16,9.24,9.33,9.23,9.33,98919
2-Aug-16,9.24,9.30,9.21,9.26,270832
1-Aug-16,9.42,9.43,9.30,9.31,194794
29-Jul-16,9.34,9.41,9.34,9.39,93484
28-Jul-16,9.33,9.35,9.31,9.35,88180
27-Jul-16,9.31,9.36,9.30,9.33,126327
26-Jul-16,9.30,9.33,9.27,9.31,200035
25-Jul-16,9.25,9.33,9.25,9.26,145128
22-Jul-16,9.23,9.27,9.22,9.25,118305
21-Jul-16,9.26,9.29,9.23,9.23,266011
20-Jul-16,9.28,9.30,9.24,9.26,139931
19-Jul-16,9.24,9.30,9.22,9.28,106740
18-Jul-16,9.25,9.29,9.20,9.22,167689
15-Jul-16,9.26,9.28,9.17,9.25,101108
14-Jul-16,9.26,9.31,9.19,9.27,105652
13-Jul-16,9.34,9.36,9.19,9.19,195228
12-Jul-16,9.39,9.43,9.33,9.34,178849
11-Jul-16,9.39,9.50,9.32,9.34,202926
8-Jul-16,9.29,9.40,9.29,9.38,143612
7-Jul-16,9.23,9.32,9.20,9.32,164730
6-Jul-16,9.24,9.35,9.24,9.29,279077
5-Jul-16,9.14,9.28,9.13,9.25,299738
1-Jul-16,9.23,9.25,9.22,9.23,130625
30-Jun-16,9.18,9.23,9.14,9.20,187900
29-Jun-16,9.17,9.19,9.11,9.15,216676
28-Jun-16,9.12,9.18,9.11,9.15,103288
27-Jun-16,9.09,9.10,8.98,9.05,154481
24-Jun-16,8.93,9.19,8.92,9.09,148684
23-Jun-16,9.19,9.20,9.15,9.18,107562
22-Jun-16,9.17,9.19,9.15,9.17,112557
21-Jun-16,9.08,9.16,9.06,9.15,121789
20-Jun-16,9.05,9.07,9.04,9.06,113834
17-Jun-16,9.06,9.08,9.00,9.04,96624
16-Jun-16,9.05,9.05,8.98,9.02,72685
15-Jun-16,8.95,9.14,8.95,9.08,179514
14-Jun-16,9.01,9.03,8.93,8.95,297860
13-Jun-16,9.07,9.08,8.98,8.98,144782
10-Jun-16,9.05,9.12,9.04,9.06,182673
9-Jun-16,9.10,9.14,9.05,9.07,253550
8-Jun-16,9.17,9.20,9.15,9.18,220512
7-Jun-16,9.15,9.20,9.14,9.18,174714
6-Jun-16,9.11,9.17,9.11,9.15,147640
3-Jun-16,9.08,9.12,9.07,9.11,244354
2-Jun-16,9.04,9.11,9.03,9.08,262024
1-Jun-16,9.06,9.10,9.04,9.06,174401
31-May-16,9.03,9.09,9.02,9.06,230560
27-May-16,9.02,9.05,8.99,9.02,182761
26-May-16,8.96,9.00,8.95,8.98,88149
25-May-16,8.96,8.97,8.94,8.94,107595
24-May-16,8.92,8.95,8.92,8.95,93473
23-May-16,8.85,8.91,8.81,8.89,126640
20-May-16,8.82,8.88,8.77,8.82,114220
19-May-16,8.88,8.90,8.73,8.79,332336
18-May-16,8.94,8.99,8.91,8.95,125837
17-May-16,8.97,8.99,8.92,8.94,154370
16-May-16,8.94,8.98,8.90,8.97,144519
13-May-16,8.89,8.95,8.87,8.95,130415
12-May-16,8.94,8.96,8.86,8.87,151289
11-May-16,8.96,8.97,8.88,8.90,145710
10-May-16,8.92,9.01,8.90,8.93,152197
9-May-16,9.04,9.04,8.99,9.00,133846
6-May-16,9.05,9.08,8.99,9.02,142861
5-May-16,9.04,9.06,9.01,9.06,113095
4-May-16,9.00,9.05,8.98,9.02,168743
3-May-16,9.04,9.05,9.01,9.03,270005
2-May-16,8.98,9.05,8.98,9.04,146156
29-Apr-16,8.97,9.02,8.94,8.97,111303
28-Apr-16,8.94,8.98,8.93,8.97,65695
27-Apr-16,8.96,8.96,8.92,8.96,94245
26-Apr-16,8.93,8.97,8.92,8.94,140983
25-Apr-16,8.93,8.95,8.90,8.91,86411
22-Apr-16,8.92,8.94,8.90,8.93,113233
21-Apr-16,8.88,8.95,8.86,8.92,247495
20-Apr-16,8.82,8.90,8.81,8.88,163089
19-Apr-16,8.80,8.84,8.79,8.83,110360
18-Apr-16,8.74,8.79,8.72,8.79,81552
15-Apr-16,8.69,8.76,8.69,8.75,132334
14-Apr-16,8.71,8.74,8.69,8.73,106660
13-Apr-16,8.66,8.71,8.66,8.70,118052
12-Apr-16,8.62,8.69,8.62,8.69,115939
11-Apr-16,8.61,8.65,8.60,8.62,164642
8-Apr-16,8.67,8.69,8.61,8.64,107245
7-Apr-16,8.62,8.65,8.57,8.61,169287
6-Apr-16,8.74,8.76,8.71,8.74,156076
5-Apr-16,8.69,8.73,8.68,8.69,146714
4-Apr-16,8.74,8.74,8.67,8.72,231512
1-Apr-16,8.74,8.77,8.69,8.77,157845
31-Mar-16,8.65,8.75,8.61,8.75,246191
30-Mar-16,8.58,8.71,8.56,8.68,102212
29-Mar-16,8.60,8.61,8.50,8.57,115013
28-Mar-16,8.65,8.66,8.53,8.58,148917
24-Mar-16,8.69,8.69,8.60,8.62,90383
23-Mar-16,8.68,8.73,8.67,8.71,92994
22-Mar-16,8.65,8.69,8.62,8.69,75087
21-Mar-16,8.71,8.71,8.60,8.66,144091
18-Mar-16,8.68,8.75,8.63,8.68,235275
17-Mar-16,8.56,8.65,8.56,8.65,101597
16-Mar-16,8.52,8.57,8.45,8.56,169247
15-Mar-16,8.47,8.53,8.46,8.53,129994
14-Mar-16,8.53,8.55,8.48,8.50,113888
11-Mar-16,8.43,8.57,8.43,8.55,195548
10-Mar-16,8.44,8.50,8.40,8.40,148172
9-Mar-16,8.47,8.47,8.39,8.41,231206
8-Mar-16,8.39,8.57,8.39,8.51,262095
7-Mar-16,8.40,8.47,8.34,8.44,148160
4-Mar-16,8.40,8.48,8.33,8.43,139569
3-Mar-16,8.27,8.41,8.27,8.39,100433
2-Mar-16,8.20,8.31,8.19,8.28,270229
1-Mar-16,8.18,8.21,8.14,8.19,217094
29-Feb-16,8.18,8.20,8.13,8.15,163993
26-Feb-16,8.17,8.17,8.12,8.16,150197
25-Feb-16,8.10,8.18,8.08,8.17,93725
24-Feb-16,8.05,8.15,8.05,8.14,108124
23-Feb-16,8.13,8.13,8.07,8.12,95642
22-Feb-16,8.08,8.14,8.07,8.13,127452
19-Feb-16,8.03,8.07,8.03,8.06,58801
18-Feb-16,8.06,8.09,8.04,8.05,152367
17-Feb-16,8.09,8.11,8.04,8.08,194771
16-Feb-16,8.08,8.09,7.98,8.07,237993
12-Feb-16,8.09,8.10,8.00,8.08,140806
11-Feb-16,8.03,8.08,7.94,8.01,224893
10-Feb-16,8.13,8.15,8.09,8.14,125446
9-Feb-16,8.14,8.15,8.09,8.14,126546
8-Feb-16,8.29,8.30,8.19,8.26,230620
5-Feb-16,8.42,8.42,8.29,8.33,189261
4-Feb-16,8.48,8.50,8.39,8.46,112589
3-Feb-16,8.48,8.49,8.38,8.49,85699
2-Feb-16,8.43,8.48,8.36,8.47,186522
1-Feb-16,8.46,8.46,8.39,8.46,162923
29-Jan-16,8.41,8.47,8.36,8.41,180850
28-Jan-16,8.37,8.40,8.31,8.36,363008
27-Jan-16,8.31,8.34,8.26,8.33,157871
26-Jan-16,8.21,8.33,8.21,8.31,129410
25-Jan-16,8.20,8.23,8.19,8.19,127608
22-Jan-16,8.17,8.26,8.15,8.24,140123
21-Jan-16,8.12,8.16,7.92,8.11,402173
20-Jan-16,7.98,8.07,7.86,8.05,375519
19-Jan-16,8.18,8.21,8.05,8.13,319340
15-Jan-16,8.12,8.21,8.08,8.21,240700
14-Jan-16,8.26,8.28,8.16,8.26,315870
13-Jan-16,8.45,8.49,8.26,8.29,343792
12-Jan-16,8.52,8.54,8.44,8.47,195184
11-Jan-16,8.66,8.67,8.55,8.57,138208
8-Jan-16,8.68,8.68,8.61,8.66,165050
7-Jan-16,8.68,8.72,8.62,8.65,255835
6-Jan-16,8.71,8.78,8.70,8.73,162646
5-Jan-16,8.66,8.80,8.66,8.75,183238
4-Jan-16,8.72,8.80,8.60,8.72,264220
31-Dec-15,8.85,8.86,8.67,8.77,384568
30-Dec-15,8.85,8.90,8.81,8.89,190953
29-Dec-15,8.88,8.90,8.82,8.88,214883
28-Dec-15,8.94,8.94,8.82,8.84,190743
24-Dec-15,8.94,8.96,8.87,8.93,79186
23-Dec-15,8.92,8.98,8.91,8.94,139162
22-Dec-15,8.83,8.91,8.81,8.89,181173
21-Dec-15,8.88,8.92,8.82,8.87,166941
18-Dec-15,8.75,8.91,8.75,8.89,154970
16-Dec-15,8.70,8.94,8.66,8.85,405844
15-Dec-15,8.58,8.74,8.58,8.70,324154
14-Dec-15,8.64,8.70,8.38,8.59,541815
11-Dec-15,8.79,8.83,8.61,8.71,634950
10-Dec-15,8.89,8.94,8.85,8.86,126398
9-Dec-15,8.85,8.94,8.85,8.91,193220
8-Dec-15,8.91,8.98,8.89,8.96,87575
7-Dec-15,9.00,9.01,8.92,8.99,207401
4-Dec-15,8.98,9.05,8.97,9.05,152953
3-Dec-15,9.06,9.08,9.00,9.01,206688
2-Dec-15,9.03,9.11,9.02,9.08,326429
1-Dec-15,9.30,9.30,9.02,9.05,178878
30-Nov-15,8.97,9.05,8.97,9.04,167398
27-Nov-15,8.99,9.03,8.99,9.02,51757
25-Nov-15,9.05,9.07,9.00,9.02,151328
24-Nov-15,8.97,9.08,8.93,9.06,202666
23-Nov-15,9.08,9.10,9.02,9.07,121038
20-Nov-15,9.11,9.14,9.05,9.08,202035
19-Nov-15,9.13,9.14,9.09,9.11,87331
18-Nov-15,9.06,9.27,9.02,9.13,192138
17-Nov-15,9.02,9.05,8.96,9.04,203150
