Date,Open,High,Low,Close,Volume
22-Nov-16,16.24,16.36,16.07,16.17,31215
21-Nov-16,16.02,16.37,16.02,16.24,34450
18-Nov-16,16.16,16.20,15.91,15.97,59057
17-Nov-16,16.39,16.75,16.10,16.21,87180
16-Nov-16,16.01,16.54,16.01,16.39,31514
15-Nov-16,15.84,16.68,15.84,16.04,100574
14-Nov-16,15.75,16.00,15.75,15.97,59586
11-Nov-16,15.85,16.13,15.68,15.75,53778
10-Nov-16,16.24,16.55,15.85,15.86,75397
9-Nov-16,15.99,16.65,15.90,16.25,86652
8-Nov-16,16.81,16.88,16.51,16.51,54513
7-Nov-16,16.91,16.96,16.71,16.71,50099
4-Nov-16,16.62,16.95,16.62,16.94,49409
3-Nov-16,16.79,17.06,16.69,16.74,33825
2-Nov-16,16.55,17.02,16.55,16.89,56772
1-Nov-16,16.69,17.18,16.54,16.72,60607
31-Oct-16,16.76,16.81,16.28,16.67,72743
28-Oct-16,16.35,16.90,15.86,16.85,181098
27-Oct-16,16.75,16.85,16.50,16.56,70116
26-Oct-16,16.61,16.94,16.55,16.90,54069
25-Oct-16,16.70,16.80,16.66,16.68,49359
24-Oct-16,16.89,17.18,16.60,16.84,140579
21-Oct-16,17.08,17.08,16.80,16.84,30220
20-Oct-16,17.27,17.27,16.73,17.09,40839
19-Oct-16,16.89,17.15,16.80,17.15,47562
18-Oct-16,16.93,16.96,16.60,16.78,119464
17-Oct-16,17.05,17.26,16.85,16.86,56240
14-Oct-16,17.21,17.34,17.00,17.09,86308
13-Oct-16,17.55,17.55,17.11,17.22,60040
12-Oct-16,17.96,17.99,17.55,17.56,40223
11-Oct-16,18.79,18.79,17.90,18.00,102173
10-Oct-16,18.29,18.38,18.05,18.34,68809
7-Oct-16,17.91,18.24,17.61,18.24,52810
6-Oct-16,17.74,17.80,17.47,17.75,73761
5-Oct-16,17.04,18.11,16.95,17.60,237226
4-Oct-16,18.39,18.64,16.85,17.04,494949
3-Oct-16,20.44,20.66,20.32,20.43,24578
30-Sep-16,20.31,20.44,20.31,20.40,30187
29-Sep-16,20.55,20.67,20.25,20.42,43699
28-Sep-16,20.60,20.75,20.46,20.61,38083
27-Sep-16,20.60,20.74,20.47,20.66,30114
26-Sep-16,20.56,20.68,20.30,20.50,46718
23-Sep-16,20.48,20.59,20.38,20.56,26054
22-Sep-16,20.48,20.48,20.23,20.38,25908
21-Sep-16,20.12,20.38,20.12,20.36,13048
20-Sep-16,20.29,20.29,20.11,20.12,14973
19-Sep-16,20.04,20.32,20.02,20.12,20194
16-Sep-16,20.10,20.27,20.07,20.09,35794
15-Sep-16,20.05,20.26,20.05,20.21,5875
14-Sep-16,20.12,20.50,20.09,20.12,25440
13-Sep-16,20.48,20.48,20.10,20.18,36817
12-Sep-16,20.40,20.55,20.39,20.51,36569
9-Sep-16,20.75,20.75,20.37,20.51,45381
8-Sep-16,20.60,20.86,20.56,20.75,36148
7-Sep-16,20.68,20.86,20.58,20.80,37411
6-Sep-16,20.48,20.66,20.48,20.59,49583
2-Sep-16,20.46,20.60,20.46,20.48,27476
1-Sep-16,20.33,20.50,20.21,20.25,34084
31-Aug-16,20.30,20.37,19.99,20.13,44264
30-Aug-16,20.30,20.38,20.23,20.30,16993
29-Aug-16,20.46,20.56,20.31,20.31,37264
26-Aug-16,20.54,20.63,20.44,20.46,37868
25-Aug-16,20.40,20.53,20.36,20.50,23192
24-Aug-16,20.54,20.55,20.42,20.42,14337
23-Aug-16,20.39,20.55,20.35,20.47,22977
22-Aug-16,20.55,20.55,20.34,20.39,15991
19-Aug-16,20.41,20.51,20.33,20.51,15668
18-Aug-16,20.55,20.56,20.30,20.37,33865
17-Aug-16,20.59,20.65,20.26,20.52,54654
16-Aug-16,20.53,20.67,20.50,20.67,28993
15-Aug-16,20.51,20.59,20.50,20.55,30689
12-Aug-16,20.71,20.71,20.51,20.52,38472
11-Aug-16,20.53,20.75,20.52,20.63,24716
10-Aug-16,20.50,20.57,20.44,20.53,39716
9-Aug-16,20.75,20.75,20.20,20.56,68101
8-Aug-16,20.60,20.75,20.52,20.59,54127
5-Aug-16,20.55,20.60,20.42,20.60,20233
4-Aug-16,20.40,20.53,20.40,20.52,11434
3-Aug-16,20.37,20.55,20.28,20.48,38551
2-Aug-16,20.50,20.69,20.31,20.37,65006
1-Aug-16,20.52,20.54,20.35,20.36,60856
29-Jul-16,20.47,20.54,20.30,20.42,54502
28-Jul-16,20.31,20.49,20.27,20.44,16927
27-Jul-16,20.30,20.36,20.20,20.28,30824
26-Jul-16,20.40,20.40,20.20,20.25,57258
25-Jul-16,20.20,20.40,20.13,20.24,44732
22-Jul-16,20.24,20.39,20.24,20.35,15362
21-Jul-16,20.42,20.42,20.24,20.26,32450
20-Jul-16,20.38,20.49,20.30,20.34,17800
19-Jul-16,20.20,20.44,20.20,20.34,31296
18-Jul-16,20.05,20.38,20.00,20.21,27805
15-Jul-16,20.37,20.37,19.95,20.07,19737
14-Jul-16,20.24,20.27,19.94,20.27,39942
13-Jul-16,20.34,20.42,19.97,20.20,52496
12-Jul-16,20.30,20.40,20.26,20.26,31117
