Date,Open,High,Low,Close,Volume
22-Nov-16,18.33,18.34,17.78,17.89,9730188
21-Nov-16,17.95,18.47,17.92,18.23,9425909
18-Nov-16,17.64,17.84,17.58,17.82,5008733
17-Nov-16,17.57,17.81,17.51,17.74,8051428
16-Nov-16,17.57,17.64,17.36,17.56,5294113
15-Nov-16,17.45,17.66,17.25,17.66,5415097
14-Nov-16,17.56,17.82,17.51,17.61,6166382
11-Nov-16,17.50,17.64,17.19,17.60,7353292
10-Nov-16,17.07,17.88,17.06,17.63,10946413
9-Nov-16,16.63,17.30,16.51,17.02,11155813
8-Nov-16,16.24,17.25,16.20,17.10,11339860
7-Nov-16,16.08,16.50,16.05,16.41,4697058
4-Nov-16,16.01,16.18,15.92,15.94,4993231
3-Nov-16,16.06,16.22,15.87,16.12,5934709
2-Nov-16,16.06,16.31,16.04,16.18,5674108
1-Nov-16,16.30,16.47,15.98,16.01,10011788
31-Oct-16,16.47,16.57,16.26,16.28,4838262
28-Oct-16,16.43,16.77,16.33,16.47,6542148
27-Oct-16,16.99,17.03,16.36,16.46,9342648
26-Oct-16,16.55,17.00,16.50,16.78,8865625
25-Oct-16,16.77,16.84,16.57,16.65,6566040
24-Oct-16,16.38,16.72,16.32,16.72,6968766
21-Oct-16,16.15,16.48,16.08,16.41,9827191
20-Oct-16,16.19,16.25,16.04,16.21,8101273
19-Oct-16,16.06,16.38,15.99,16.28,7593526
18-Oct-16,15.92,16.14,15.90,16.08,4884469
17-Oct-16,16.04,16.07,15.72,15.81,7503716
14-Oct-16,16.17,16.33,15.96,16.00,5411119
13-Oct-16,15.89,16.06,15.75,16.05,9468042
12-Oct-16,16.14,16.14,15.91,15.98,6633837
11-Oct-16,16.01,16.23,15.98,16.16,5482698
10-Oct-16,16.05,16.17,16.00,16.02,3697587
7-Oct-16,16.18,16.30,15.96,15.98,6352826
6-Oct-16,16.24,16.36,16.19,16.28,3220506
5-Oct-16,16.06,16.35,15.97,16.27,4275768
4-Oct-16,16.15,16.23,15.94,16.03,5417787
3-Oct-16,16.24,16.36,16.08,16.17,5382882
30-Sep-16,16.35,16.46,16.05,16.32,5602974
29-Sep-16,16.35,16.50,16.20,16.22,4213541
28-Sep-16,16.06,16.35,16.02,16.32,4870053
27-Sep-16,15.85,16.07,15.81,16.06,5161269
26-Sep-16,15.92,16.11,15.84,15.91,6933666
23-Sep-16,16.21,16.26,15.90,15.95,9390705
22-Sep-16,16.28,16.48,16.23,16.32,6695631
21-Sep-16,16.09,16.16,15.91,16.09,8086294
20-Sep-16,15.97,16.24,15.83,15.94,10816991
19-Sep-16,16.08,16.09,15.84,15.96,8239006
16-Sep-16,15.92,16.09,15.86,15.99,8842460
15-Sep-16,16.00,16.24,15.97,16.01,12798425
14-Sep-16,16.31,16.42,15.98,15.99,11058052
13-Sep-16,16.50,16.61,15.95,16.16,19618567
12-Sep-16,17.25,17.48,16.58,16.76,19699221
9-Sep-16,17.19,17.19,16.84,16.97,7107767
8-Sep-16,17.67,17.74,17.21,17.32,6507363
7-Sep-16,17.60,17.86,17.51,17.66,5409693
6-Sep-16,17.83,18.14,17.63,17.66,5251098
2-Sep-16,17.96,18.10,17.63,17.99,4667723
1-Sep-16,18.04,18.06,17.71,17.81,8844999
31-Aug-16,17.60,18.13,17.60,18.10,16374271
30-Aug-16,16.03,18.42,15.96,17.79,46236041
29-Aug-16,16.04,16.22,16.00,16.05,4727069
26-Aug-16,16.63,16.65,15.97,16.04,7342218
25-Aug-16,16.53,16.58,16.38,16.48,5331622
24-Aug-16,16.72,16.87,16.60,16.60,7028028
23-Aug-16,16.40,16.82,16.36,16.76,9037615
22-Aug-16,16.05,16.27,15.95,16.25,5737472
19-Aug-16,15.98,16.19,15.89,16.18,7080548
18-Aug-16,16.32,16.36,16.02,16.12,6883022
17-Aug-16,16.36,16.39,16.02,16.22,6987604
16-Aug-16,16.87,16.97,16.45,16.45,4434936
15-Aug-16,16.26,16.84,16.21,16.80,6685638
12-Aug-16,16.53,16.68,16.20,16.21,7342481
11-Aug-16,16.52,16.65,16.34,16.53,5641032
10-Aug-16,16.64,16.78,16.46,16.46,6283448
9-Aug-16,16.39,16.56,16.33,16.49,6242245
8-Aug-16,16.21,16.40,16.09,16.39,8535332
5-Aug-16,15.51,16.05,15.48,16.01,8038514
4-Aug-16,15.77,15.84,15.32,15.57,10549861
3-Aug-16,15.85,16.14,15.68,15.81,7934754
2-Aug-16,15.42,15.92,15.32,15.85,20013453
1-Aug-16,15.60,15.62,15.24,15.32,8298949
29-Jul-16,15.81,15.86,15.21,15.60,22788226
28-Jul-16,16.50,16.58,15.84,15.91,29075335
27-Jul-16,17.40,17.56,16.94,17.15,9897574
26-Jul-16,16.87,17.39,16.85,17.36,8322514
25-Jul-16,16.88,17.03,16.75,16.90,7310484
22-Jul-16,17.08,17.24,16.93,16.97,11841133
21-Jul-16,17.27,17.43,17.10,17.11,7630337
20-Jul-16,17.02,17.47,16.89,17.18,8512415
19-Jul-16,17.27,17.41,17.08,17.13,11275152
18-Jul-16,17.18,17.49,17.08,17.48,6565843
15-Jul-16,17.28,17.33,17.01,17.26,6290522
14-Jul-16,17.00,17.38,16.75,17.22,12975086
13-Jul-16,16.14,16.99,16.00,16.87,14758398
12-Jul-16,16.08,16.36,16.00,16.15,7914001
11-Jul-16,15.87,16.09,15.79,15.89,7464481
8-Jul-16,15.91,16.04,15.62,15.79,12805609
7-Jul-16,16.31,16.40,15.91,16.00,8033707
6-Jul-16,16.13,16.18,15.74,16.13,7989905
5-Jul-16,16.69,16.70,16.17,16.20,8557500
1-Jul-16,16.25,16.77,16.25,16.50,10576127
30-Jun-16,16.12,17.09,15.64,16.24,27851735
29-Jun-16,16.14,16.14,15.80,16.04,8552976
28-Jun-16,16.26,16.33,15.69,15.90,8864619
27-Jun-16,16.58,16.65,15.65,15.81,11809715
24-Jun-16,16.64,17.38,16.58,16.87,12371858
23-Jun-16,17.14,17.75,17.08,17.48,17198322
22-Jun-16,16.84,16.94,16.51,16.52,5678650
21-Jun-16,16.86,16.88,16.45,16.70,7383235
20-Jun-16,17.21,17.45,16.88,16.90,7514832
17-Jun-16,16.59,17.06,16.55,16.93,7384387
16-Jun-16,16.55,16.65,16.21,16.55,6832528
15-Jun-16,16.97,17.12,16.66,16.68,6716836
14-Jun-16,17.14,17.44,16.71,16.86,7818765
13-Jun-16,17.23,17.76,17.09,17.23,8457530
10-Jun-16,17.00,17.47,16.90,17.01,7134992
9-Jun-16,17.64,17.66,17.15,17.22,8857056
8-Jun-16,18.39,18.46,17.57,17.83,11979416
7-Jun-16,18.15,18.40,18.09,18.18,12438017
6-Jun-16,16.94,18.07,16.93,17.97,14881600
3-Jun-16,16.37,16.80,16.10,16.78,11262906
2-Jun-16,16.25,16.82,16.18,16.49,8805106
1-Jun-16,16.18,16.39,15.90,16.39,8822118
31-May-16,16.40,16.55,16.22,16.33,10056866
27-May-16,16.68,16.84,16.52,16.57,5101258
26-May-16,17.01,17.09,16.65,16.73,7249509
25-May-16,16.38,16.88,16.33,16.80,9230892
