Date,Open,High,Low,Close,Volume
22-Nov-16,14.35,14.49,13.80,14.26,488269
21-Nov-16,14.35,14.52,14.28,14.37,250277
18-Nov-16,14.34,14.45,14.27,14.34,323115
17-Nov-16,14.17,14.39,14.07,14.28,332353
16-Nov-16,13.88,14.27,13.77,14.20,276244
15-Nov-16,13.37,13.95,13.34,13.83,452066
14-Nov-16,13.83,13.88,13.27,13.39,827091
11-Nov-16,14.08,14.18,13.80,13.95,511279
10-Nov-16,14.37,14.40,14.17,14.20,277671
9-Nov-16,14.19,14.54,14.16,14.42,210942
8-Nov-16,14.41,14.57,14.36,14.51,265614
7-Nov-16,14.37,14.44,14.35,14.44,264876
4-Nov-16,14.20,14.38,14.20,14.28,221157
3-Nov-16,14.10,14.30,14.09,14.23,227718
2-Nov-16,14.19,14.28,14.05,14.11,311080
1-Nov-16,14.26,14.38,14.21,14.27,197119
31-Oct-16,14.45,14.48,14.22,14.25,318351
28-Oct-16,14.52,14.53,14.28,14.49,253155
27-Oct-16,14.65,14.66,14.50,14.52,137899
26-Oct-16,14.58,14.68,14.56,14.61,123112
25-Oct-16,14.64,14.66,14.55,14.59,140655
24-Oct-16,14.71,14.73,14.60,14.67,137086
21-Oct-16,14.62,14.70,14.62,14.68,101536
20-Oct-16,14.49,14.73,14.49,14.62,104691
19-Oct-16,14.53,14.59,14.46,14.50,109566
18-Oct-16,14.45,14.65,14.41,14.53,159855
17-Oct-16,14.56,14.60,14.41,14.41,162591
14-Oct-16,14.64,14.78,14.55,14.62,143117
13-Oct-16,14.64,14.69,14.50,14.59,202831
12-Oct-16,14.70,14.75,14.63,14.74,201326
11-Oct-16,14.82,14.82,14.70,14.77,173967
10-Oct-16,14.91,14.99,14.87,14.98,164055
7-Oct-16,14.89,14.91,14.84,14.91,151650
6-Oct-16,14.83,14.93,14.79,14.91,257681
5-Oct-16,14.82,14.93,14.79,14.88,215268
4-Oct-16,14.26,14.83,14.26,14.83,324131
3-Oct-16,14.68,14.83,14.67,14.75,177326
30-Sep-16,14.75,14.75,14.61,14.61,193796
29-Sep-16,14.70,14.78,14.62,14.69,167950
28-Sep-16,14.68,14.70,14.58,14.70,122642
27-Sep-16,14.53,14.69,14.50,14.66,162806
26-Sep-16,14.60,14.68,14.49,14.59,159105
23-Sep-16,14.70,14.70,14.60,14.62,200328
22-Sep-16,14.77,14.95,14.67,14.74,265205
