Date,Open,High,Low,Close,Volume
22-Nov-16,183.94,183.94,180.75,183.10,1267141
21-Nov-16,184.13,184.80,181.21,183.15,1668187
18-Nov-16,176.32,180.06,176.32,178.19,1013142
17-Nov-16,180.43,182.22,175.24,175.86,1237455
16-Nov-16,178.00,181.95,177.24,178.53,1145507
15-Nov-16,176.24,180.10,175.27,178.73,1947018
14-Nov-16,170.84,173.97,168.68,173.63,1207913
11-Nov-16,177.60,177.65,168.79,172.09,2307905
10-Nov-16,175.98,181.58,174.80,179.43,1505162
9-Nov-16,174.92,179.55,172.79,177.71,2034315
8-Nov-16,172.34,175.96,170.76,175.04,1710979
7-Nov-16,174.32,174.72,171.80,173.44,1772043
4-Nov-16,173.17,173.95,169.15,171.11,1888612
3-Nov-16,172.06,173.83,167.56,173.17,2451037
2-Nov-16,173.22,174.80,168.32,171.27,4690451
1-Nov-16,179.93,182.06,177.20,180.97,1845215
31-Oct-16,180.84,182.44,178.43,179.02,1310693
28-Oct-16,182.67,186.56,180.19,181.63,1332004
27-Oct-16,183.65,184.10,182.36,182.67,930303
26-Oct-16,181.00,184.83,179.59,183.03,1306573
25-Oct-16,185.25,186.65,182.95,183.03,944132
24-Oct-16,186.98,188.00,181.55,185.33,1320935
21-Oct-16,187.56,189.13,185.93,187.00,1084492
20-Oct-16,187.03,190.27,186.28,189.38,1105990
19-Oct-16,186.16,191.28,186.00,189.03,1741868
18-Oct-16,186.66,186.67,182.87,184.03,1137331
17-Oct-16,186.28,187.07,182.02,184.28,1173947
14-Oct-16,189.63,189.79,185.85,185.96,1233907
13-Oct-16,189.31,190.05,186.56,188.16,1091809
12-Oct-16,191.20,192.23,190.07,190.91,1246884
11-Oct-16,192.49,193.39,190.67,192.46,1481759
10-Oct-16,188.02,193.32,187.80,193.24,2185111
7-Oct-16,186.88,188.31,185.67,186.39,1261084
6-Oct-16,185.89,186.67,183.52,186.20,1249374
5-Oct-16,185.28,186.65,184.65,185.33,1825356
4-Oct-16,185.98,186.24,181.42,182.50,1569151
3-Oct-16,185.00,186.42,182.92,185.39,1447035
30-Sep-16,186.20,187.99,184.79,185.65,1896157
29-Sep-16,181.60,187.74,181.60,185.36,3189529
28-Sep-16,174.54,184.07,172.70,183.43,2455443
27-Sep-16,171.99,174.25,170.31,172.81,1215073
26-Sep-16,176.06,177.25,174.33,174.57,1113440
23-Sep-16,178.38,179.25,173.34,175.53,1366217
22-Sep-16,184.05,185.00,179.00,179.05,1148699
21-Sep-16,178.08,182.75,177.11,182.41,1569486
20-Sep-16,176.39,177.93,174.74,175.75,1591733
19-Sep-16,178.37,179.73,176.43,176.50,1378423
16-Sep-16,175.80,177.46,174.09,177.12,2548488
15-Sep-16,176.88,181.06,176.31,178.48,1587187
14-Sep-16,175.77,179.08,174.51,176.31,1767747
13-Sep-16,180.66,181.15,174.80,176.87,1773092
12-Sep-16,179.47,184.68,177.22,183.21,2063050
9-Sep-16,185.85,187.66,180.53,180.60,2669116
8-Sep-16,189.68,190.94,186.43,187.51,2240932
7-Sep-16,184.48,188.60,184.27,188.31,2035364
6-Sep-16,183.69,184.90,181.46,183.50,1382327
2-Sep-16,182.00,183.92,181.78,183.71,1245221
1-Sep-16,178.03,180.34,176.84,180.22,1548758
31-Aug-16,181.49,182.86,177.13,179.05,1701752
30-Aug-16,183.74,185.00,181.10,182.87,1133424
29-Aug-16,179.31,183.01,178.39,182.92,1707381
26-Aug-16,181.30,181.96,178.58,179.50,1294313
25-Aug-16,180.57,181.04,179.08,180.41,1697177
24-Aug-16,181.86,182.58,180.21,180.58,2035098
23-Aug-16,180.62,182.89,180.23,182.25,2346788
22-Aug-16,183.15,183.15,180.14,181.37,2167730
19-Aug-16,183.45,186.33,183.31,185.59,2006268
18-Aug-16,181.90,183.94,181.00,183.91,1647768
17-Aug-16,179.63,180.45,178.47,180.30,2228985
16-Aug-16,178.17,179.76,175.10,178.77,1778035
15-Aug-16,177.00,180.26,176.93,179.15,1977381
12-Aug-16,175.01,176.65,173.36,176.52,1111044
11-Aug-16,173.04,175.00,171.68,174.20,1431619
10-Aug-16,171.55,172.85,170.74,171.77,2078254
9-Aug-16,171.19,172.16,170.27,171.30,1761936
8-Aug-16,169.75,172.50,169.35,170.65,2059831
5-Aug-16,163.00,168.85,161.89,168.09,2687370
4-Aug-16,161.55,165.46,160.20,162.90,2179593
3-Aug-16,160.00,163.60,158.61,163.11,2218774
2-Aug-16,158.50,160.47,155.63,159.58,1764353
1-Aug-16,161.04,161.52,156.52,157.23,2574892
29-Jul-16,157.62,163.13,157.37,162.57,2684318
28-Jul-16,153.25,158.80,152.89,157.54,4030093
27-Jul-16,150.41,153.39,147.21,150.63,3442107
26-Jul-16,148.63,149.90,147.32,149.10,2824227
25-Jul-16,152.00,152.20,148.16,148.83,2019781
22-Jul-16,152.69,153.59,151.45,153.40,1794179
21-Jul-16,153.80,155.28,151.83,152.25,1869095
20-Jul-16,153.69,155.90,152.71,153.88,1801484
19-Jul-16,156.01,156.71,153.42,154.90,1590440
18-Jul-16,157.21,158.99,155.88,156.85,1109495
15-Jul-16,156.66,157.41,155.55,156.70,1405731
14-Jul-16,155.92,156.68,154.44,155.50,1476701
13-Jul-16,156.50,157.04,152.66,154.16,1628328
12-Jul-16,155.11,158.50,154.82,156.50,1815509
11-Jul-16,154.50,155.49,152.83,153.00,1370772
8-Jul-16,150.71,153.94,149.92,153.72,1911152
7-Jul-16,153.19,153.77,148.86,149.23,2243685
