Date,Open,High,Low,Close,Volume
22-Nov-16,79.08,79.48,78.10,79.01,566824
21-Nov-16,79.46,79.70,78.31,78.70,638581
18-Nov-16,78.70,79.18,78.38,78.76,401481
17-Nov-16,78.72,79.21,77.09,78.70,602570
16-Nov-16,78.44,79.48,77.86,78.81,655301
15-Nov-16,77.84,79.56,77.52,79.38,766747
14-Nov-16,78.44,80.15,78.24,79.39,1466946
11-Nov-16,79.15,79.92,77.12,77.77,1456338
10-Nov-16,76.99,80.01,76.86,79.46,1594189
9-Nov-16,71.88,76.50,71.34,76.42,1504056
8-Nov-16,70.92,73.41,70.44,73.01,994297
7-Nov-16,70.18,71.50,69.75,71.44,866568
4-Nov-16,69.11,70.00,68.52,68.96,664841
3-Nov-16,69.18,69.60,68.84,69.02,825065
2-Nov-16,68.95,69.66,68.54,68.78,693899
1-Nov-16,69.42,70.00,68.68,69.22,759256
31-Oct-16,69.08,69.80,68.88,69.39,937137
28-Oct-16,69.37,69.99,68.28,68.94,899194
27-Oct-16,69.54,69.54,68.49,69.18,1080743
26-Oct-16,65.41,69.26,65.31,69.22,2070398
25-Oct-16,62.63,66.97,62.63,66.07,1843811
24-Oct-16,65.02,66.00,64.90,65.55,1402781
21-Oct-16,62.35,64.53,62.03,64.43,778800
20-Oct-16,62.93,63.97,62.93,63.15,505114
19-Oct-16,63.17,63.52,62.96,63.28,559157
18-Oct-16,63.31,63.54,62.84,62.94,354820
17-Oct-16,62.45,62.78,62.14,62.56,734382
14-Oct-16,64.28,64.45,62.72,62.81,701258
13-Oct-16,65.13,65.13,63.19,63.54,996974
12-Oct-16,66.00,66.41,65.50,65.94,328636
11-Oct-16,67.18,67.39,65.70,66.05,586018
10-Oct-16,67.01,67.48,66.79,67.42,452981
7-Oct-16,67.00,67.00,65.92,66.48,441733
6-Oct-16,66.85,67.33,66.36,67.16,599214
5-Oct-16,65.82,67.86,65.55,66.92,1034597
4-Oct-16,66.50,67.27,65.41,65.58,881486
3-Oct-16,65.60,66.31,65.45,66.23,404828
30-Sep-16,65.34,66.20,64.81,65.95,812671
29-Sep-16,65.00,65.50,64.12,64.44,533426
28-Sep-16,64.20,65.17,63.64,65.07,398276
27-Sep-16,63.53,64.18,63.13,64.15,711512
26-Sep-16,63.38,64.06,62.70,63.66,406091
23-Sep-16,64.38,64.69,63.68,63.72,670870
22-Sep-16,65.15,65.39,64.46,64.56,754908
21-Sep-16,64.02,64.78,63.54,64.37,765828
20-Sep-16,65.55,65.60,63.38,63.39,847458
19-Sep-16,66.74,67.05,64.98,65.26,914593
16-Sep-16,65.42,66.27,65.30,66.11,571196
15-Sep-16,65.06,66.21,64.40,66.10,623310
14-Sep-16,64.36,65.50,64.22,65.08,699659
13-Sep-16,64.67,65.16,63.82,64.25,715272
12-Sep-16,63.75,65.99,63.75,65.60,577360
9-Sep-16,66.93,67.20,64.93,64.95,612055
8-Sep-16,67.91,68.30,67.48,67.60,512507
7-Sep-16,66.62,67.95,66.47,67.94,670492
6-Sep-16,66.91,66.91,65.86,66.70,489033
2-Sep-16,66.83,66.89,66.09,66.54,437637
1-Sep-16,65.73,66.54,64.59,65.94,583824
31-Aug-16,65.60,65.92,64.50,65.52,805142
30-Aug-16,64.61,65.77,64.37,65.71,580221
29-Aug-16,64.28,64.69,64.06,64.58,479256
26-Aug-16,64.62,65.23,63.92,64.20,460902
25-Aug-16,65.51,65.74,64.47,64.57,917082
24-Aug-16,65.50,66.10,65.50,65.66,363374
23-Aug-16,65.66,65.94,65.20,65.52,439353
22-Aug-16,65.64,65.70,64.97,65.31,618069
19-Aug-16,65.38,66.16,65.32,66.13,513441
18-Aug-16,64.64,65.65,64.56,65.64,630858
17-Aug-16,64.91,65.29,64.25,64.95,372404
16-Aug-16,65.39,65.43,64.51,65.00,436155
15-Aug-16,65.53,66.14,65.39,65.41,378293
12-Aug-16,65.80,65.80,65.04,65.28,485064
11-Aug-16,65.79,66.14,65.42,65.80,235723
10-Aug-16,65.50,66.42,65.21,65.54,792039
9-Aug-16,66.00,66.08,65.10,65.40,593801
8-Aug-16,65.82,66.69,65.82,66.00,721882
5-Aug-16,64.50,65.81,64.50,65.68,821582
4-Aug-16,63.04,63.86,62.63,63.82,810974
3-Aug-16,62.86,63.64,62.75,63.59,1047336
2-Aug-16,65.10,65.10,62.21,62.76,1301837
1-Aug-16,65.80,66.17,64.69,65.15,782892
29-Jul-16,65.30,66.48,64.93,65.90,667801
28-Jul-16,63.78,65.91,62.69,65.62,1049931
27-Jul-16,68.62,68.83,64.19,64.52,2043129
26-Jul-16,69.08,69.78,68.76,69.76,1112374
25-Jul-16,69.08,69.39,68.62,68.88,726117
22-Jul-16,67.64,69.27,67.51,69.25,905809
21-Jul-16,67.67,68.09,67.02,67.53,867621
20-Jul-16,67.47,68.42,67.12,67.82,488797
19-Jul-16,67.55,68.06,67.00,67.34,440313
18-Jul-16,67.43,68.42,66.99,68.04,504289
15-Jul-16,68.00,68.24,67.29,67.97,467798
14-Jul-16,68.67,68.67,67.35,67.77,400783
13-Jul-16,67.16,67.82,66.20,67.61,639463
12-Jul-16,66.44,67.46,66.26,67.06,754167
11-Jul-16,65.13,65.87,64.73,65.57,590123
8-Jul-16,62.82,64.91,62.70,64.64,692428
7-Jul-16,61.70,63.29,61.58,62.12,841720
6-Jul-16,60.18,61.45,59.57,61.29,786541
5-Jul-16,61.50,61.50,59.81,60.54,744803
1-Jul-16,61.01,63.01,61.01,62.03,662128
30-Jun-16,60.73,61.20,59.28,61.14,508735
29-Jun-16,60.01,60.93,59.36,60.44,703833
28-Jun-16,58.47,59.13,58.14,59.00,978293
27-Jun-16,60.16,60.35,56.98,57.17,1499267
24-Jun-16,62.45,63.61,60.90,61.07,1185187
23-Jun-16,66.03,66.36,65.56,65.85,691540
22-Jun-16,65.22,66.00,64.66,65.20,437269
21-Jun-16,64.93,65.55,63.50,65.11,890555
20-Jun-16,66.28,67.59,66.27,66.33,578742
17-Jun-16,64.02,65.61,63.86,65.24,737114
16-Jun-16,63.60,63.96,62.41,63.80,588013
15-Jun-16,64.44,65.89,64.26,64.42,461150
14-Jun-16,65.15,65.74,63.39,64.17,921639
13-Jun-16,65.71,66.24,65.10,65.28,781251
10-Jun-16,67.00,67.01,65.37,65.71,813810
9-Jun-16,69.02,69.50,67.20,67.66,1021679
8-Jun-16,70.09,70.76,69.72,69.80,556821
7-Jun-16,69.74,70.19,69.31,69.81,420783
6-Jun-16,68.49,69.71,68.13,69.42,700644
3-Jun-16,68.98,68.98,67.35,68.00,1213389
2-Jun-16,68.85,69.36,68.13,68.99,483881
1-Jun-16,69.11,69.42,67.66,69.26,443715
31-May-16,69.49,70.36,69.09,69.62,415526
27-May-16,69.28,69.73,68.95,69.52,355066
26-May-16,69.49,70.18,69.14,69.20,643275
25-May-16,68.13,69.38,68.09,69.23,628451
24-May-16,67.72,68.64,67.07,67.93,536752
23-May-16,67.87,68.03,66.90,67.28,570641
20-May-16,67.03,68.72,67.03,68.02,759254
19-May-16,64.47,66.90,64.25,66.69,1055176
18-May-16,65.72,66.41,64.82,65.45,1008673
17-May-16,65.18,67.63,65.01,65.89,703733
16-May-16,65.48,66.56,64.09,65.23,836890
13-May-16,67.95,68.66,65.15,65.54,1295022
12-May-16,70.42,71.17,68.29,68.44,879970
11-May-16,70.40,70.89,69.69,70.11,725018
10-May-16,68.98,70.82,68.76,70.55,490224
9-May-16,68.42,69.16,67.94,68.65,552966
6-May-16,67.25,68.95,67.25,68.80,543867
5-May-16,67.96,68.53,67.30,67.60,954686
4-May-16,67.55,68.39,66.98,67.60,1278385
3-May-16,67.70,67.94,66.33,67.85,718597
2-May-16,69.40,69.56,68.16,68.73,781643
29-Apr-16,70.07,71.01,67.82,68.92,937896
28-Apr-16,70.63,71.69,70.25,70.67,1104241
27-Apr-16,69.92,71.90,69.65,71.42,1655140
26-Apr-16,67.49,69.90,65.50,69.45,1473797
25-Apr-16,66.92,67.06,64.86,65.25,802665
22-Apr-16,66.28,67.43,66.13,67.18,630128
21-Apr-16,67.31,68.00,65.68,65.93,852733
20-Apr-16,67.46,68.37,67.41,68.07,688830
19-Apr-16,67.20,68.52,67.02,67.58,530356
