Date,Open,High,Low,Close,Volume
22-Nov-16,10.75,10.88,10.65,10.80,553682
21-Nov-16,10.55,10.70,10.35,10.65,386238
18-Nov-16,10.20,10.62,10.15,10.55,317135
17-Nov-16,10.40,10.55,10.12,10.20,446061
16-Nov-16,10.35,10.55,10.20,10.30,416722
15-Nov-16,10.35,10.50,10.08,10.45,609476
14-Nov-16,10.10,10.35,9.80,10.35,673809
11-Nov-16,9.10,10.00,9.00,9.90,842136
10-Nov-16,9.00,9.35,8.85,9.10,875117
9-Nov-16,8.85,8.95,8.55,8.80,854893
8-Nov-16,9.05,9.25,8.70,8.85,615950
7-Nov-16,8.70,9.20,8.65,9.15,1005460
4-Nov-16,9.25,9.90,7.90,8.40,2382856
3-Nov-16,7.30,7.35,7.10,7.20,385397
2-Nov-16,7.70,7.75,7.30,7.35,344846
1-Nov-16,7.85,7.88,7.50,7.65,418903
31-Oct-16,7.85,8.15,7.75,7.80,538083
28-Oct-16,7.75,8.25,7.65,7.80,469979
27-Oct-16,7.95,8.20,7.65,7.65,396611
26-Oct-16,8.00,8.15,7.90,8.05,234265
25-Oct-16,7.95,8.10,7.88,8.10,276189
24-Oct-16,7.75,8.00,7.75,8.00,223671
21-Oct-16,7.60,7.85,7.55,7.65,185896
20-Oct-16,7.70,7.80,7.60,7.70,218377
19-Oct-16,7.80,7.80,7.65,7.80,229009
18-Oct-16,7.70,7.90,7.65,7.75,304423
17-Oct-16,7.70,7.85,7.60,7.60,240516
14-Oct-16,7.75,7.90,7.60,7.70,479528
13-Oct-16,7.80,7.80,7.60,7.70,341539
12-Oct-16,7.95,7.95,7.65,7.80,278448
11-Oct-16,8.10,8.10,7.70,7.80,401463
10-Oct-16,8.15,8.25,8.00,8.10,213953
7-Oct-16,8.25,8.40,8.00,8.10,493262
6-Oct-16,8.45,8.55,8.05,8.30,339044
5-Oct-16,8.80,8.80,8.45,8.50,373974
4-Oct-16,8.65,8.95,8.65,8.85,603315
3-Oct-16,8.35,8.75,8.35,8.75,521901
30-Sep-16,8.21,8.52,8.14,8.48,459260
29-Sep-16,8.21,8.28,8.10,8.19,427922
28-Sep-16,8.23,8.35,8.23,8.30,245105
27-Sep-16,8.15,8.26,8.05,8.24,299173
26-Sep-16,8.24,8.27,8.02,8.10,629980
23-Sep-16,8.22,8.32,8.05,8.31,490628
22-Sep-16,7.84,8.27,7.84,8.27,471471
21-Sep-16,7.62,7.83,7.55,7.82,479892
20-Sep-16,7.74,7.74,7.56,7.57,295514
19-Sep-16,7.55,7.76,7.55,7.66,689481
16-Sep-16,7.67,7.69,7.35,7.53,1030424
15-Sep-16,7.73,7.79,7.67,7.68,271585
14-Sep-16,7.83,7.92,7.75,7.77,333806
13-Sep-16,7.99,7.99,7.81,7.86,433812
12-Sep-16,8.08,8.08,7.89,8.06,349313
9-Sep-16,8.10,8.30,8.07,8.08,448149
8-Sep-16,8.13,8.22,8.03,8.21,411981
7-Sep-16,7.98,8.31,7.98,8.20,613236
6-Sep-16,7.94,7.99,7.88,7.98,454705
2-Sep-16,7.82,7.98,7.77,7.92,337665
1-Sep-16,7.86,7.93,7.71,7.79,474349
31-Aug-16,7.81,7.87,7.70,7.84,485177
30-Aug-16,7.73,7.91,7.73,7.80,347233
29-Aug-16,7.68,7.79,7.62,7.76,181033
26-Aug-16,7.73,7.83,7.61,7.69,248398
25-Aug-16,7.71,7.80,7.67,7.69,241420
24-Aug-16,7.85,7.86,7.69,7.70,257571
23-Aug-16,7.72,7.89,7.68,7.83,275905
22-Aug-16,7.66,7.70,7.56,7.66,304578
19-Aug-16,7.74,7.79,7.65,7.66,257262
18-Aug-16,7.88,7.90,7.75,7.78,213448
17-Aug-16,7.97,7.97,7.73,7.85,444957
16-Aug-16,8.13,8.15,7.97,8.00,349644
15-Aug-16,8.25,8.33,8.16,8.16,284828
12-Aug-16,8.17,8.22,8.06,8.22,384191
11-Aug-16,8.21,8.30,8.08,8.17,409960
10-Aug-16,8.52,8.57,8.23,8.26,509363
9-Aug-16,8.58,8.58,8.32,8.51,829856
8-Aug-16,7.86,8.67,7.82,8.59,1487690
5-Aug-16,8.40,8.40,6.91,7.85,1551626
4-Aug-16,7.76,7.77,7.47,7.63,565938
3-Aug-16,7.60,7.76,7.59,7.74,502258
2-Aug-16,7.89,7.90,7.59,7.61,312882
1-Aug-16,7.98,7.98,7.85,7.86,315918
29-Jul-16,8.05,8.09,7.93,7.97,390162
28-Jul-16,8.05,8.13,7.95,8.05,473118
27-Jul-16,8.16,8.20,8.02,8.05,363647
26-Jul-16,8.05,8.23,8.00,8.14,301751
25-Jul-16,8.13,8.15,8.05,8.05,295963
22-Jul-16,8.40,8.40,8.12,8.13,374072
21-Jul-16,8.24,8.73,8.22,8.47,1248604
20-Jul-16,8.26,8.36,8.23,8.23,504107
19-Jul-16,8.15,8.37,8.15,8.25,593853
18-Jul-16,7.85,8.23,7.85,8.14,676405
15-Jul-16,8.09,8.09,7.73,7.83,513646
