Date,Open,High,Low,Close,Volume
22-Nov-16,70.25,71.15,69.75,71.00,175543
21-Nov-16,69.30,69.85,68.85,69.80,193560
18-Nov-16,68.30,69.02,68.00,68.85,167216
17-Nov-16,69.20,69.25,68.00,68.50,335811
16-Nov-16,68.90,69.65,68.60,69.05,348059
15-Nov-16,68.75,69.80,68.15,69.45,602475
14-Nov-16,69.00,69.82,68.10,68.90,269968
11-Nov-16,66.60,68.60,66.55,68.45,401094
10-Nov-16,65.20,67.70,65.10,66.75,522305
9-Nov-16,62.80,65.02,61.55,64.50,431734
8-Nov-16,61.70,64.05,61.70,63.15,509291
7-Nov-16,63.40,63.80,60.50,62.05,454030
4-Nov-16,57.30,58.95,56.90,57.95,208821
3-Nov-16,57.00,58.05,56.85,57.20,263871
2-Nov-16,57.05,57.35,56.45,56.90,287823
1-Nov-16,59.55,59.82,57.25,57.40,247386
31-Oct-16,58.85,59.35,58.35,59.10,137370
28-Oct-16,58.45,59.35,58.45,58.60,134850
27-Oct-16,59.65,59.65,58.10,58.55,175986
26-Oct-16,57.45,59.50,57.45,59.35,200363
25-Oct-16,58.75,59.05,57.65,57.85,217155
24-Oct-16,59.20,59.25,58.55,59.05,226251
21-Oct-16,58.15,58.70,57.65,58.35,299527
20-Oct-16,58.75,59.45,58.55,58.75,142059
19-Oct-16,59.95,59.95,59.30,59.30,137313
18-Oct-16,60.50,60.50,59.45,59.75,248474
17-Oct-16,59.85,60.05,59.30,59.65,137919
14-Oct-16,60.01,60.46,59.41,59.55,179920
13-Oct-16,59.21,59.57,58.79,59.36,119374
12-Oct-16,59.28,60.15,59.05,60.06,192329
11-Oct-16,61.30,61.30,59.19,59.46,205631
10-Oct-16,61.63,61.86,61.12,61.14,129848
7-Oct-16,61.55,61.70,60.76,61.11,234922
6-Oct-16,61.60,61.98,61.21,61.78,239346
5-Oct-16,60.52,61.81,60.45,61.52,372719
4-Oct-16,59.86,60.24,59.31,60.07,356064
3-Oct-16,59.38,59.79,58.83,59.51,225588
30-Sep-16,59.23,59.80,58.70,59.49,243531
29-Sep-16,58.81,59.78,58.47,58.94,241746
28-Sep-16,57.45,58.77,57.22,58.76,216909
27-Sep-16,57.30,57.52,57.04,57.44,182645
26-Sep-16,58.65,59.17,58.13,58.18,141323
23-Sep-16,59.19,59.35,58.71,58.72,115746
22-Sep-16,58.82,59.57,58.69,59.40,251999
21-Sep-16,57.62,58.18,57.42,58.11,136392
20-Sep-16,57.61,57.78,56.94,57.10,154390
19-Sep-16,57.35,58.00,56.96,57.24,217033
16-Sep-16,57.14,57.26,56.72,57.07,274567
15-Sep-16,57.73,58.01,57.24,57.74,253605
14-Sep-16,58.60,58.85,57.51,57.69,308662
13-Sep-16,59.54,59.92,58.40,58.57,167761
12-Sep-16,58.19,60.49,57.84,60.22,453896
9-Sep-16,60.49,60.50,58.64,58.65,164645
8-Sep-16,61.29,61.29,60.86,61.02,155714
7-Sep-16,60.97,61.39,60.89,61.37,230435
6-Sep-16,62.08,62.09,60.98,61.11,153850
2-Sep-16,61.75,61.94,61.56,61.90,205711
1-Sep-16,61.40,61.75,60.65,61.22,193721
31-Aug-16,60.38,62.15,60.38,61.33,250967
30-Aug-16,62.42,62.65,61.99,62.12,219446
29-Aug-16,61.74,62.69,61.47,62.26,311529
26-Aug-16,62.39,62.69,61.64,61.81,497504
25-Aug-16,62.90,63.32,62.04,62.28,586440
24-Aug-16,63.37,63.73,62.70,62.95,350808
23-Aug-16,63.58,64.04,63.52,63.53,239643
22-Aug-16,63.36,63.51,62.96,63.20,192027
19-Aug-16,63.31,63.92,63.31,63.72,206682
18-Aug-16,63.89,64.25,63.55,64.10,443914
17-Aug-16,63.60,64.08,63.39,63.77,231341
16-Aug-16,64.13,64.13,63.52,63.55,242784
15-Aug-16,62.99,64.23,62.99,64.18,561421
12-Aug-16,62.93,63.20,62.71,62.80,779055
11-Aug-16,61.59,63.23,61.59,63.00,362420
10-Aug-16,61.13,61.67,60.43,61.37,547638
9-Aug-16,59.22,61.67,57.91,61.14,985479
8-Aug-16,60.97,61.85,60.96,61.22,445300
5-Aug-16,59.53,61.01,59.36,60.87,376607
4-Aug-16,57.90,59.67,57.90,59.19,346141
3-Aug-16,58.75,59.31,58.27,59.09,367912
2-Aug-16,58.33,59.92,58.27,58.89,351143
1-Aug-16,60.95,61.31,60.26,60.53,299887
29-Jul-16,60.31,61.18,59.99,61.01,303260
28-Jul-16,60.49,60.80,59.89,60.54,182398
27-Jul-16,60.57,61.06,60.09,60.76,157796
26-Jul-16,59.35,60.65,59.35,60.63,168541
25-Jul-16,59.34,59.42,58.88,59.32,201545
22-Jul-16,59.40,59.64,58.68,59.56,237202
21-Jul-16,60.01,60.56,59.12,59.28,375664
20-Jul-16,59.76,60.18,59.15,59.87,434880
19-Jul-16,59.36,60.28,59.29,59.83,655909
18-Jul-16,60.18,60.34,59.61,59.78,468532
15-Jul-16,60.08,60.49,59.76,60.08,775787
14-Jul-16,60.05,60.60,59.75,59.81,239308
13-Jul-16,60.00,60.07,59.03,59.41,203068
12-Jul-16,59.24,59.96,58.90,59.76,249482
11-Jul-16,58.41,58.62,58.04,58.47,267607
8-Jul-16,57.19,58.13,57.01,57.97,329236
7-Jul-16,56.42,57.18,56.12,56.62,429510
6-Jul-16,54.30,56.34,53.80,56.06,675069
5-Jul-16,55.13,55.13,54.10,54.51,293384
1-Jul-16,54.91,56.03,54.89,55.76,290819
30-Jun-16,53.38,55.07,53.09,55.05,402942
29-Jun-16,53.73,54.14,52.96,53.22,379404
28-Jun-16,52.65,53.26,51.84,53.07,308433
27-Jun-16,53.94,53.94,51.57,51.81,560863
24-Jun-16,56.20,56.88,54.60,54.73,506435
23-Jun-16,58.32,59.11,58.31,58.89,318037
22-Jun-16,57.42,58.06,57.30,57.56,201707
21-Jun-16,58.23,58.81,56.98,57.20,639445
20-Jun-16,58.93,59.66,58.33,58.44,323134
17-Jun-16,57.16,58.46,57.16,58.33,691887
16-Jun-16,57.14,57.17,55.99,56.95,275525
15-Jun-16,57.90,58.61,57.56,57.60,380869
14-Jun-16,57.18,57.72,56.85,57.54,2787420
13-Jun-16,57.04,57.92,56.70,57.49,539424
10-Jun-16,57.38,57.53,56.77,57.20,288534
9-Jun-16,57.86,58.94,57.02,58.16,386735
8-Jun-16,58.19,58.62,57.93,58.39,332457
7-Jun-16,58.19,58.37,57.75,57.84,263764
6-Jun-16,57.65,58.06,56.91,58.04,267977
3-Jun-16,57.26,57.57,56.80,57.28,239832
2-Jun-16,56.65,57.22,56.28,57.22,304873
1-Jun-16,56.58,57.36,56.21,56.84,280307
31-May-16,57.08,57.42,56.53,57.13,424028
27-May-16,56.58,56.94,56.47,56.88,249741
26-May-16,57.02,57.06,56.43,56.63,220003
25-May-16,55.50,57.00,55.50,56.82,414297
24-May-16,54.53,55.49,54.30,55.38,685970
23-May-16,53.99,54.64,53.76,54.21,342993
20-May-16,53.78,54.28,53.70,53.96,508812
19-May-16,53.91,54.52,53.25,53.76,491997
18-May-16,55.14,55.63,54.38,54.48,738151
17-May-16,56.16,56.74,55.28,55.36,517618
16-May-16,56.68,57.36,56.01,56.16,788057
13-May-16,57.81,58.06,56.16,56.47,506660
12-May-16,57.82,58.09,56.83,57.82,828897
11-May-16,56.88,58.20,56.88,57.43,855981
10-May-16,54.04,57.95,54.01,57.61,1529287
9-May-16,64.00,64.16,62.97,63.29,308413
6-May-16,63.75,64.31,63.30,64.30,239880
5-May-16,64.67,64.98,63.76,63.99,384177
4-May-16,63.88,64.59,63.49,64.05,362263
3-May-16,64.74,64.74,63.95,64.18,234695
2-May-16,64.42,65.20,63.90,65.04,215236
29-Apr-16,65.03,65.48,63.92,64.42,287772
28-Apr-16,64.88,66.92,63.87,65.02,376924
27-Apr-16,67.49,67.89,66.86,67.29,419862
26-Apr-16,67.11,67.34,66.52,67.29,351261
25-Apr-16,67.15,67.15,65.56,66.04,247849
22-Apr-16,66.71,67.44,66.71,67.32,265623
21-Apr-16,66.64,67.19,66.32,66.55,229200
20-Apr-16,67.30,67.40,66.23,66.76,386548
19-Apr-16,67.25,68.45,66.97,67.91,316980
18-Apr-16,66.63,67.15,66.20,67.15,237713
15-Apr-16,67.09,67.73,66.02,67.19,290365
14-Apr-16,66.50,67.55,66.16,67.43,284803
13-Apr-16,66.75,66.91,66.20,66.68,356748
12-Apr-16,65.08,66.38,64.76,66.22,272848
11-Apr-16,64.27,65.20,64.27,64.98,254806
8-Apr-16,63.57,64.10,63.37,63.86,294900
7-Apr-16,62.22,63.08,61.47,62.78,350299
6-Apr-16,62.32,62.50,61.54,62.45,271549
5-Apr-16,62.50,62.50,61.78,62.07,371995
4-Apr-16,63.33,63.33,62.20,62.46,201834
1-Apr-16,62.51,63.41,61.96,63.39,126749
31-Mar-16,62.81,63.48,62.81,63.09,158237
30-Mar-16,63.60,63.88,62.74,62.96,210350
29-Mar-16,62.05,63.41,61.30,63.32,324874
28-Mar-16,62.28,62.64,61.59,62.12,185042
24-Mar-16,61.20,62.20,60.41,62.20,323147
23-Mar-16,62.00,62.22,61.63,61.64,193738
22-Mar-16,61.68,62.27,61.41,62.01,163776
21-Mar-16,61.16,61.93,60.95,61.87,203674
18-Mar-16,59.99,61.31,59.97,61.26,577546
17-Mar-16,59.23,60.30,58.83,60.23,551549
16-Mar-16,58.26,59.16,57.98,59.08,189667
15-Mar-16,58.16,59.02,57.74,58.61,254634
14-Mar-16,58.78,59.09,58.39,58.82,177708
11-Mar-16,58.97,59.05,58.57,58.87,231277
10-Mar-16,59.19,59.19,57.65,58.28,248554
9-Mar-16,58.59,58.93,58.45,58.81,254005
8-Mar-16,60.02,60.02,58.25,58.43,286126
7-Mar-16,58.37,60.41,58.37,60.37,339213
4-Mar-16,57.39,58.96,56.99,58.64,340908
3-Mar-16,56.26,57.21,55.86,57.14,178993
2-Mar-16,55.41,56.20,55.35,56.17,136029
1-Mar-16,55.00,55.91,54.62,55.67,175425
