Date,Open,High,Low,Close,Volume
22-Nov-16,38.30,39.08,38.05,39.00,4598141
21-Nov-16,37.22,37.56,37.11,37.51,3166127
18-Nov-16,36.59,36.85,36.25,36.55,3356705
17-Nov-16,37.58,37.98,37.32,37.56,2992295
16-Nov-16,37.46,37.62,37.04,37.36,3938599
15-Nov-16,37.49,38.15,37.22,38.13,4841756
14-Nov-16,38.90,39.65,38.86,39.65,5194694
11-Nov-16,38.96,39.15,38.30,39.08,4362317
10-Nov-16,39.74,40.19,39.06,39.29,10019742
9-Nov-16,37.35,38.47,37.29,38.24,8236510
8-Nov-16,35.22,35.90,35.08,35.72,3861166
7-Nov-16,35.11,35.29,34.89,35.28,2985098
4-Nov-16,34.05,34.33,33.91,33.93,3161222
3-Nov-16,34.66,34.95,34.44,34.56,2420198
2-Nov-16,34.93,35.13,34.42,34.45,4922449
1-Nov-16,35.32,35.37,34.51,34.68,4180577
31-Oct-16,34.74,35.00,34.64,34.85,2089837
28-Oct-16,34.50,34.82,34.40,34.53,3112664
27-Oct-16,34.45,34.58,34.10,34.24,2672173
26-Oct-16,34.08,34.47,33.93,34.21,2911885
25-Oct-16,34.01,34.45,33.98,34.12,4359260
24-Oct-16,33.28,33.35,32.84,33.12,2908850
21-Oct-16,32.59,33.16,32.47,32.87,3523873
20-Oct-16,32.24,32.59,31.89,32.42,3467606
19-Oct-16,32.25,32.68,32.10,32.62,4149615
18-Oct-16,32.71,32.72,32.27,32.55,2744544
17-Oct-16,31.67,31.97,31.67,31.81,2891580
14-Oct-16,32.09,32.37,31.76,31.77,2556360
13-Oct-16,31.27,32.02,31.24,31.81,4797247
12-Oct-16,32.97,33.40,32.72,32.81,5021172
11-Oct-16,33.74,33.77,32.38,32.58,3884867
10-Oct-16,33.42,33.94,33.40,33.71,3039779
7-Oct-16,33.68,33.72,32.96,33.16,6391279
6-Oct-16,33.30,33.51,33.10,33.18,1929124
5-Oct-16,33.57,33.96,33.33,33.72,2184139
4-Oct-16,34.16,34.16,32.94,33.10,3784504
3-Oct-16,33.41,33.62,33.21,33.56,2108328
30-Sep-16,33.79,33.87,33.29,33.40,3756821
29-Sep-16,33.72,34.34,33.49,33.70,5106110
28-Sep-16,32.91,33.77,32.67,33.74,7921118
27-Sep-16,31.71,32.32,31.61,32.23,2094882
26-Sep-16,32.41,32.53,32.15,32.17,2134276
23-Sep-16,32.42,32.76,32.33,32.41,3075160
22-Sep-16,33.06,33.15,32.49,32.52,4703632
21-Sep-16,31.26,32.10,31.26,32.04,3383702
20-Sep-16,30.90,31.00,30.69,30.91,2157206
19-Sep-16,30.95,31.05,30.70,30.80,3292633
16-Sep-16,30.00,30.23,29.79,29.90,3812167
15-Sep-16,29.99,30.60,29.91,30.49,4241238
14-Sep-16,30.14,30.45,29.90,30.32,4111557
13-Sep-16,30.39,30.49,29.62,29.80,4193853
12-Sep-16,30.06,31.21,29.99,31.12,4518988
9-Sep-16,31.36,31.42,30.71,30.74,2759119
8-Sep-16,31.60,31.83,31.32,31.47,2807270
