Date,Open,High,Low,Close,Volume
22-Nov-16,58.86,58.93,57.45,58.07,784802
21-Nov-16,58.15,58.78,58.04,58.52,567435
18-Nov-16,58.91,59.01,58.39,58.53,514105
17-Nov-16,57.87,59.34,57.63,58.79,520903
16-Nov-16,58.22,58.51,57.66,57.76,654571
15-Nov-16,58.53,58.77,58.15,58.52,730849
14-Nov-16,59.64,59.76,58.35,58.56,1060731
11-Nov-16,58.98,59.99,58.62,59.85,1046964
10-Nov-16,59.05,59.64,58.64,59.32,1078618
9-Nov-16,56.83,58.37,56.59,58.36,982014
8-Nov-16,57.58,58.18,57.50,57.59,724735
7-Nov-16,58.33,58.42,57.74,57.96,937024
4-Nov-16,57.29,57.88,56.92,57.42,771566
3-Nov-16,57.73,58.06,57.20,57.34,617793
2-Nov-16,57.86,58.36,57.44,57.55,1231022
1-Nov-16,59.87,59.87,58.14,58.18,1045724
31-Oct-16,59.70,60.09,59.33,59.77,1606835
28-Oct-16,60.44,60.74,59.62,60.35,716724
27-Oct-16,60.71,60.71,59.52,59.83,1790764
26-Oct-16,62.44,62.44,58.96,60.55,4115447
25-Oct-16,63.81,64.58,63.71,64.13,1009955
24-Oct-16,64.58,64.58,63.61,63.76,561192
21-Oct-16,63.29,63.84,63.09,63.72,548545
20-Oct-16,64.02,64.48,63.36,63.58,872790
19-Oct-16,64.69,64.96,64.31,64.52,675206
18-Oct-16,64.87,65.07,64.43,64.99,551518
17-Oct-16,64.43,64.49,64.00,64.18,731314
14-Oct-16,64.71,65.45,64.44,64.65,971375
13-Oct-16,63.47,63.88,63.15,63.85,522483
12-Oct-16,64.17,64.37,63.96,64.06,379226
11-Oct-16,65.07,65.07,63.64,64.08,866293
10-Oct-16,64.39,65.58,64.39,65.16,790515
7-Oct-16,64.74,64.89,63.46,63.93,1240322
6-Oct-16,63.87,64.71,63.66,64.50,534879
5-Oct-16,64.12,64.50,63.69,63.91,828551
4-Oct-16,64.39,65.42,63.80,64.12,718766
3-Oct-16,64.36,64.41,63.60,64.33,874128
30-Sep-16,64.84,65.38,64.70,64.79,922766
29-Sep-16,64.42,65.88,63.69,64.21,1325025
28-Sep-16,64.45,64.78,64.20,64.74,463642
27-Sep-16,63.84,64.71,63.38,64.50,803522
26-Sep-16,63.35,63.90,63.31,63.59,803119
23-Sep-16,63.96,64.19,63.24,63.25,984372
22-Sep-16,64.06,64.65,63.71,63.98,948732
21-Sep-16,63.65,63.96,63.11,63.80,693119
20-Sep-16,64.22,64.23,63.35,63.45,707974
19-Sep-16,64.96,65.15,63.17,63.73,1673935
16-Sep-16,65.02,65.09,64.21,64.46,2466001
15-Sep-16,64.84,65.49,64.72,64.96,1070496
