Date,Open,High,Low,Close,Volume
22-Nov-16,67.03,67.07,65.86,66.33,1060278
21-Nov-16,65.16,66.46,65.05,66.37,1574435
18-Nov-16,64.24,64.68,64.20,64.55,639351
17-Nov-16,64.12,64.56,63.94,64.34,937588
16-Nov-16,63.53,64.23,63.53,64.01,896313
15-Nov-16,63.99,64.11,63.73,63.99,831957
14-Nov-16,63.54,64.04,63.20,63.89,940529
11-Nov-16,63.29,63.67,62.92,63.47,938047
10-Nov-16,63.12,63.93,62.69,63.65,1135645
9-Nov-16,61.84,63.31,61.62,63.06,1514855
8-Nov-16,62.06,62.84,62.00,62.76,687180
7-Nov-16,61.86,62.30,61.72,62.13,626169
4-Nov-16,61.48,61.54,60.92,61.20,894339
3-Nov-16,61.86,62.04,61.57,61.81,769327
2-Nov-16,61.83,62.06,61.59,61.67,637283
1-Nov-16,62.57,62.72,61.81,62.12,1083400
31-Oct-16,62.53,62.79,62.38,62.48,585179
28-Oct-16,62.54,62.78,62.29,62.54,633687
27-Oct-16,62.87,62.87,62.44,62.56,727770
26-Oct-16,62.25,62.93,62.25,62.52,663728
25-Oct-16,62.70,62.76,62.41,62.53,639538
24-Oct-16,62.85,62.88,62.49,62.59,796043
21-Oct-16,63.00,63.58,62.90,63.41,825759
20-Oct-16,63.57,63.73,63.36,63.48,745077
19-Oct-16,63.70,64.31,63.69,63.73,806940
18-Oct-16,63.61,63.81,63.31,63.66,706315
17-Oct-16,62.85,63.27,62.85,63.05,766958
14-Oct-16,62.99,63.34,62.72,62.88,889915
13-Oct-16,61.89,62.70,61.57,62.62,1032755
12-Oct-16,61.97,62.17,61.63,61.94,569322
11-Oct-16,62.04,62.24,61.55,61.95,644023
10-Oct-16,61.86,62.07,61.82,61.98,388555
7-Oct-16,62.02,62.22,61.34,61.62,718542
6-Oct-16,61.77,62.22,61.75,62.16,658625
5-Oct-16,61.63,62.11,61.63,61.93,798890
4-Oct-16,61.61,61.92,61.15,61.48,1186188
3-Oct-16,61.96,62.02,61.48,61.75,600325
30-Sep-16,62.18,62.42,61.94,61.96,811044
29-Sep-16,62.02,62.48,61.39,61.74,905493
28-Sep-16,61.41,62.27,61.12,62.16,789332
27-Sep-16,60.67,61.28,60.57,61.20,539949
26-Sep-16,61.52,61.60,61.02,61.11,566879
23-Sep-16,62.25,62.29,61.63,61.78,606785
22-Sep-16,62.78,63.11,62.61,62.64,872983
21-Sep-16,61.65,62.27,61.48,62.23,797588
20-Sep-16,61.36,61.49,61.00,61.32,637105
19-Sep-16,61.53,61.79,61.00,61.10,703398
16-Sep-16,61.39,61.39,60.73,61.11,918986
15-Sep-16,60.64,61.94,60.64,61.84,1009468
14-Sep-16,60.67,61.19,60.50,60.69,856622
13-Sep-16,61.16,61.21,60.58,60.87,1165111
12-Sep-16,61.34,61.93,61.09,61.79,1124719
9-Sep-16,62.23,62.23,61.37,61.84,1262043
8-Sep-16,63.01,63.13,62.54,62.71,825264
7-Sep-16,63.46,63.57,62.76,63.10,746939
6-Sep-16,63.18,63.53,62.92,63.51,957430
2-Sep-16,62.77,63.05,62.62,62.77,944246
1-Sep-16,62.05,62.37,61.86,62.28,1082881
31-Aug-16,62.32,62.42,61.73,62.12,1205925
30-Aug-16,62.82,62.82,62.30,62.46,1128622
29-Aug-16,62.67,63.04,62.58,62.79,901935
26-Aug-16,63.11,63.84,62.62,62.76,1034658
25-Aug-16,63.25,63.32,62.74,62.96,1072856
24-Aug-16,63.98,64.13,63.00,63.38,1663430
23-Aug-16,62.99,63.78,62.97,63.60,1613460
22-Aug-16,62.63,62.65,62.22,62.56,832747
19-Aug-16,62.39,63.00,62.13,62.92,805447
18-Aug-16,62.55,62.78,62.43,62.74,695521
17-Aug-16,62.08,62.56,61.88,62.47,765177
16-Aug-16,62.18,62.45,61.97,62.21,644344
15-Aug-16,62.08,62.23,61.91,62.03,477940
12-Aug-16,61.95,62.04,61.55,61.79,779659
11-Aug-16,61.70,62.19,61.58,62.03,812477
10-Aug-16,61.55,61.75,61.32,61.41,816708
9-Aug-16,60.70,61.31,60.70,61.13,807179
8-Aug-16,60.48,60.79,60.40,60.69,905092
5-Aug-16,60.22,60.42,59.99,60.31,905905
4-Aug-16,60.28,60.78,59.98,60.51,930842
3-Aug-16,60.09,60.40,59.96,60.29,602095
2-Aug-16,60.42,60.79,59.88,60.00,932475
1-Aug-16,60.87,60.95,60.23,60.28,461726
29-Jul-16,60.64,61.29,60.47,60.96,1371771
28-Jul-16,60.31,60.71,59.92,60.57,830171
27-Jul-16,60.99,61.09,59.92,60.17,922882
26-Jul-16,60.45,61.06,60.35,60.92,840273
