Date,Open,High,Low,Close,Volume
22-Nov-16,9.90,10.41,9.90,10.41,20786
21-Nov-16,9.70,9.90,9.45,9.75,11263
18-Nov-16,9.90,9.90,9.55,9.55,13564
17-Nov-16,10.50,10.50,9.85,9.95,13544
16-Nov-16,11.35,11.50,10.35,10.72,9175
15-Nov-16,11.10,11.45,11.02,11.20,14259
14-Nov-16,9.70,11.20,9.70,11.10,32383
11-Nov-16,8.85,9.84,8.82,9.71,11397
10-Nov-16,9.00,9.10,8.77,8.80,19518
9-Nov-16,8.85,9.00,8.85,8.90,4699
8-Nov-16,9.10,9.10,8.90,8.95,7196
7-Nov-16,9.43,9.43,9.20,9.25,5697
4-Nov-16,9.20,9.45,9.20,9.35,4507
3-Nov-16,9.05,9.09,8.95,9.05,3430
2-Nov-16,9.20,9.25,9.05,9.05,2480
1-Nov-16,9.29,9.30,9.10,9.10,4536
31-Oct-16,9.15,9.30,9.15,9.20,8121
28-Oct-16,9.65,9.65,9.25,9.25,4022
27-Oct-16,9.45,9.65,9.42,9.55,3692
26-Oct-16,9.50,9.50,9.25,9.40,6229
25-Oct-16,9.80,9.85,9.55,9.55,8158
24-Oct-16,9.90,9.95,9.80,9.80,2111
21-Oct-16,9.80,9.94,9.80,9.85,1025
20-Oct-16,9.75,10.05,9.75,10.05,3923
19-Oct-16,9.65,9.78,9.60,9.69,2611
18-Oct-16,9.80,9.85,9.70,9.70,3527
17-Oct-16,9.95,10.00,9.70,9.70,6620
14-Oct-16,9.92,10.10,9.92,10.05,3588
13-Oct-16,9.80,10.00,9.75,9.90,2570
12-Oct-16,9.70,9.85,9.55,9.65,6170
11-Oct-16,9.75,9.85,9.55,9.60,7779
10-Oct-16,9.75,9.75,9.62,9.65,13082
7-Oct-16,9.88,9.91,9.80,9.88,2333
6-Oct-16,9.96,10.08,9.88,9.88,15113
5-Oct-16,9.90,10.06,9.90,9.95,5002
4-Oct-16,10.01,10.16,9.83,9.83,3189
3-Oct-16,9.95,10.09,9.93,9.99,10135
30-Sep-16,9.99,9.99,9.80,9.82,5690
29-Sep-16,10.15,10.15,9.95,9.99,3273
28-Sep-16,9.96,10.07,9.68,10.06,8428
27-Sep-16,9.95,10.11,9.91,9.98,8835
26-Sep-16,10.00,10.14,10.00,10.02,12303
23-Sep-16,10.06,10.10,10.06,10.06,2478
22-Sep-16,9.97,10.15,9.93,10.06,6748
21-Sep-16,9.84,9.97,9.63,9.89,7493
20-Sep-16,9.80,9.96,9.68,9.96,10906
19-Sep-16,9.80,9.80,9.28,9.75,14792
16-Sep-16,9.75,9.93,9.70,9.80,5349
15-Sep-16,10.07,10.08,9.77,9.78,16534
14-Sep-16,10.10,10.29,10.00,10.01,12441
13-Sep-16,10.57,10.57,10.05,10.06,7791
12-Sep-16,10.70,10.78,10.50,10.51,10973
9-Sep-16,10.89,10.89,10.72,10.72,2240
8-Sep-16,10.76,11.01,10.76,10.91,5147
7-Sep-16,10.93,11.40,10.80,10.86,13822
6-Sep-16,10.81,11.00,10.81,10.86,8199
2-Sep-16,11.17,11.24,10.71,10.86,10521
1-Sep-16,11.06,11.22,11.05,11.15,6425
