Date,Open,High,Low,Close,Volume
22-Nov-16,36.05,36.05,34.20,34.95,778834
21-Nov-16,35.20,35.75,34.55,35.65,626219
18-Nov-16,34.45,35.25,34.00,34.35,577174
17-Nov-16,33.85,34.45,33.15,34.40,578532
16-Nov-16,33.15,33.85,32.70,33.10,456543
15-Nov-16,33.40,33.90,33.15,33.60,836707
14-Nov-16,33.50,33.50,32.00,32.60,653586
11-Nov-16,33.10,33.55,32.25,33.35,746868
10-Nov-16,33.65,34.10,32.70,33.40,789253
9-Nov-16,31.90,33.70,31.76,33.15,834251
8-Nov-16,31.15,33.45,31.15,32.15,632905
7-Nov-16,29.90,32.40,29.00,32.00,899003
4-Nov-16,30.95,31.15,29.65,30.60,856284
3-Nov-16,31.15,31.25,30.25,31.20,611482
2-Nov-16,30.70,31.20,29.55,30.35,818788
1-Nov-16,33.40,33.40,30.80,31.30,742783
31-Oct-16,32.70,32.75,31.36,32.25,1830761
28-Oct-16,33.25,33.80,32.80,32.80,397932
27-Oct-16,34.55,34.75,33.18,33.40,433485
26-Oct-16,33.10,34.30,32.90,34.25,533173
25-Oct-16,34.95,35.35,33.80,34.00,600452
24-Oct-16,34.80,35.40,33.70,34.90,629624
21-Oct-16,34.45,35.08,34.25,34.80,419353
20-Oct-16,34.15,34.90,33.95,34.80,191443
19-Oct-16,34.50,34.85,33.90,34.65,433279
18-Oct-16,35.15,35.15,33.18,34.05,344078
17-Oct-16,33.60,33.75,33.05,33.40,302362
14-Oct-16,33.35,33.80,33.09,33.55,518158
13-Oct-16,33.19,33.68,32.66,33.22,465198
12-Oct-16,32.54,34.12,32.29,33.54,689734
11-Oct-16,32.84,33.10,31.88,32.71,903434
10-Oct-16,33.91,34.61,32.53,33.03,2098119
7-Oct-16,35.02,35.02,33.88,34.27,549880
6-Oct-16,35.99,36.01,34.55,34.88,736688
5-Oct-16,35.73,36.16,35.36,35.43,1019782
4-Oct-16,35.23,35.23,34.50,35.11,718810
3-Oct-16,35.45,35.45,34.44,34.88,694918
30-Sep-16,34.26,35.45,33.75,35.36,955617
29-Sep-16,33.87,34.14,33.08,33.58,826115
28-Sep-16,32.17,33.90,31.80,33.53,870813
27-Sep-16,31.67,32.42,31.42,31.74,539660
26-Sep-16,33.17,33.20,32.24,32.44,702425
23-Sep-16,33.16,33.82,32.50,32.50,497064
22-Sep-16,34.09,34.14,33.09,33.50,442161
21-Sep-16,33.25,33.54,32.75,33.24,548378
20-Sep-16,33.10,33.57,32.42,32.50,511370
19-Sep-16,33.72,34.41,33.19,33.22,528571
16-Sep-16,32.76,33.38,32.02,33.24,994125
15-Sep-16,33.23,33.82,33.08,33.26,509357
14-Sep-16,33.66,34.42,32.88,33.19,539047
13-Sep-16,34.10,34.43,33.14,33.64,946324
12-Sep-16,33.68,35.31,32.85,34.79,716034
9-Sep-16,34.00,34.51,33.61,34.31,804859
8-Sep-16,33.47,34.87,33.46,34.67,719032
7-Sep-16,32.17,33.43,32.17,33.32,684305
6-Sep-16,31.35,32.13,31.30,32.11,466016
2-Sep-16,31.12,31.67,31.00,31.15,427557
1-Sep-16,30.85,31.01,30.20,30.64,538824
31-Aug-16,30.86,31.17,30.00,31.10,708085
30-Aug-16,31.95,32.24,30.97,31.20,767342
29-Aug-16,31.56,31.89,30.99,31.84,687644
26-Aug-16,31.31,31.90,31.14,31.70,852936
25-Aug-16,31.23,31.56,30.82,31.24,638990
24-Aug-16,30.79,31.54,30.42,30.66,593585
23-Aug-16,30.94,31.64,30.94,31.40,581988
22-Aug-16,31.56,31.68,30.93,31.16,667847
19-Aug-16,32.60,32.77,31.71,32.17,933707
18-Aug-16,31.32,32.71,31.01,32.68,909711
17-Aug-16,31.22,31.22,30.59,31.02,511355
16-Aug-16,30.78,31.42,30.41,31.21,642659
15-Aug-16,29.75,31.00,29.75,30.71,1077565
12-Aug-16,29.77,30.38,28.86,29.50,749605
11-Aug-16,28.68,29.51,28.32,29.08,435962
10-Aug-16,29.39,29.39,28.57,28.83,915077
9-Aug-16,29.88,29.94,28.41,29.05,824714
8-Aug-16,29.81,30.55,29.17,29.67,1086410
5-Aug-16,31.20,31.74,28.86,29.35,1099250
4-Aug-16,30.43,30.96,29.74,30.53,672473
3-Aug-16,28.81,30.68,28.37,30.66,916119
2-Aug-16,28.55,29.55,28.00,28.52,1076025
1-Aug-16,28.93,29.19,27.64,28.38,1616946
29-Jul-16,28.69,29.45,28.64,28.96,1918615
28-Jul-16,29.30,29.46,28.65,29.17,487823
27-Jul-16,30.32,30.97,28.93,29.29,602651
26-Jul-16,30.67,31.35,30.16,30.20,632257
25-Jul-16,31.04,31.36,30.69,30.87,408611
22-Jul-16,31.35,31.76,30.50,31.51,572939
21-Jul-16,32.23,32.72,31.13,31.14,778272
20-Jul-16,32.12,32.22,31.28,32.10,778626
19-Jul-16,33.54,33.57,32.05,32.28,703854
18-Jul-16,33.37,33.82,32.77,33.49,617068
15-Jul-16,33.81,33.83,33.05,33.50,539440
14-Jul-16,33.10,33.79,32.64,33.39,568848
13-Jul-16,33.73,34.16,32.16,32.74,706300
12-Jul-16,33.84,34.18,33.32,33.88,850129
11-Jul-16,33.24,33.42,32.66,32.84,575467
8-Jul-16,32.27,33.39,31.86,32.75,662315
7-Jul-16,32.78,33.15,31.26,31.75,606760
6-Jul-16,31.57,32.08,30.98,32.03,647607
5-Jul-16,32.31,32.70,30.85,31.86,606784
1-Jul-16,32.60,34.28,32.29,33.26,525468
30-Jun-16,32.41,32.69,31.62,32.56,868882
29-Jun-16,32.03,32.88,31.47,32.73,957023
28-Jun-16,30.36,32.46,30.28,31.62,1176054
