Date,Open,High,Low,Close,Volume
22-Nov-16,40.15,40.18,39.56,39.86,2904594
21-Nov-16,40.17,40.23,40.05,40.16,1171528
18-Nov-16,40.54,40.61,39.98,40.03,2216938
17-Nov-16,41.32,41.37,40.91,40.99,1878707
16-Nov-16,41.16,41.49,41.14,41.17,1532711
15-Nov-16,41.32,41.61,41.11,41.49,1731683
14-Nov-16,41.33,41.49,41.08,41.44,4212295
11-Nov-16,41.45,41.56,41.02,41.04,1375108
10-Nov-16,41.99,42.42,41.77,41.83,2494342
9-Nov-16,41.73,42.40,41.33,42.01,4739634
8-Nov-16,40.27,40.33,40.11,40.16,1973671
7-Nov-16,39.83,39.92,39.52,39.63,1791775
4-Nov-16,39.35,40.00,39.35,39.94,3324750
3-Nov-16,40.17,40.29,39.51,39.51,4011646
2-Nov-16,39.93,40.02,39.50,39.75,2325445
1-Nov-16,39.15,39.56,38.96,39.03,2748765
31-Oct-16,39.01,39.03,38.71,38.89,1943800
28-Oct-16,39.37,39.37,38.40,38.84,4655027
27-Oct-16,37.81,38.01,37.25,37.25,2175449
26-Oct-16,36.85,37.24,36.81,37.06,1835837
25-Oct-16,37.47,37.53,37.16,37.39,3604176
24-Oct-16,37.83,37.88,37.60,37.76,1216344
21-Oct-16,37.66,37.86,37.60,37.75,2046302
20-Oct-16,37.85,38.28,37.80,38.07,2272655
19-Oct-16,37.66,37.79,37.48,37.52,1526806
18-Oct-16,37.82,37.97,37.72,37.73,3901951
17-Oct-16,37.57,37.58,37.28,37.35,2024179
14-Oct-16,37.98,38.11,37.64,37.75,2767018
13-Oct-16,37.22,37.86,37.20,37.73,5585951
12-Oct-16,37.70,37.96,37.57,37.95,4841290
11-Oct-16,38.59,38.64,38.16,38.22,4276287
10-Oct-16,38.64,38.86,38.64,38.66,1544621
7-Oct-16,38.69,38.75,38.19,38.53,1609571
6-Oct-16,38.33,38.54,38.21,38.51,2842039
5-Oct-16,38.62,38.67,38.41,38.56,1387666
4-Oct-16,38.80,38.88,38.30,38.40,2679657
3-Oct-16,38.31,38.40,38.17,38.32,1358011
30-Sep-16,37.88,38.29,37.67,38.19,2666407
29-Sep-16,38.39,38.48,37.71,37.83,7285157
28-Sep-16,38.39,38.69,38.19,38.67,4945009
27-Sep-16,37.89,38.24,37.83,38.15,1687050
26-Sep-16,38.11,38.15,37.92,38.04,1794701
23-Sep-16,38.30,38.54,38.28,38.35,1086862
