Date,Open,High,Low,Close,Volume
22-Nov-16,77.16,77.88,76.93,77.76,120448
21-Nov-16,76.60,76.87,76.07,76.86,157365
18-Nov-16,75.38,76.34,74.90,76.15,280389
17-Nov-16,75.76,75.84,75.16,75.44,137372
16-Nov-16,75.29,75.72,74.69,75.60,202293
15-Nov-16,76.97,77.32,75.07,75.29,311689
14-Nov-16,75.69,76.94,75.63,76.91,202570
11-Nov-16,73.65,75.36,73.42,75.19,345662
10-Nov-16,75.54,75.54,73.54,73.58,286255
9-Nov-16,74.42,75.33,73.13,74.92,283753
8-Nov-16,74.52,74.95,74.41,74.76,226181
7-Nov-16,74.27,74.84,74.02,74.74,169575
4-Nov-16,73.92,74.49,73.52,73.72,214562
3-Nov-16,73.35,74.03,73.22,73.77,147515
2-Nov-16,73.10,74.16,73.05,73.64,165970
1-Nov-16,74.67,74.87,72.94,73.27,265626
31-Oct-16,73.88,75.00,73.30,74.51,235686
28-Oct-16,74.07,74.51,73.48,73.66,115173
27-Oct-16,73.81,73.85,73.11,73.83,192533
26-Oct-16,73.54,74.00,73.29,73.62,156731
25-Oct-16,74.25,74.33,73.66,73.77,385185
24-Oct-16,73.95,74.93,73.69,74.43,325904
21-Oct-16,69.22,73.70,68.51,73.13,461023
20-Oct-16,72.94,72.94,70.91,71.37,161528
19-Oct-16,72.78,72.79,72.23,72.29,162835
18-Oct-16,72.60,72.96,71.73,72.52,142339
17-Oct-16,72.20,72.49,71.90,72.14,98947
14-Oct-16,72.79,73.02,72.03,72.29,112172
13-Oct-16,72.60,72.81,72.01,72.49,131433
12-Oct-16,73.35,73.42,72.83,73.14,133444
11-Oct-16,74.53,74.62,72.92,73.18,210365
10-Oct-16,74.84,75.58,74.15,74.62,126008
7-Oct-16,75.08,75.26,73.60,74.36,289573
6-Oct-16,74.62,75.40,74.58,75.13,134036
5-Oct-16,75.04,75.65,74.46,74.92,98670
4-Oct-16,75.14,75.33,74.56,74.65,120399
3-Oct-16,75.66,75.66,74.95,75.13,153187
30-Sep-16,75.66,76.15,74.89,75.80,184048
29-Sep-16,75.81,76.07,75.00,75.01,96157
28-Sep-16,75.40,75.93,74.89,75.89,116274
27-Sep-16,74.80,75.37,74.51,75.26,72912
26-Sep-16,74.38,75.18,74.27,74.83,95901
23-Sep-16,75.27,75.38,74.74,74.77,132639
22-Sep-16,75.72,75.96,75.35,75.42,281579
21-Sep-16,75.04,75.46,74.40,75.24,197149
20-Sep-16,75.21,75.37,74.55,74.65,113523
19-Sep-16,75.28,75.83,74.88,75.10,118861
16-Sep-16,75.00,75.45,74.57,74.96,322826
15-Sep-16,75.06,75.31,74.50,75.01,128585
14-Sep-16,74.66,75.13,74.34,74.83,215825
13-Sep-16,74.04,74.88,74.04,74.58,256710
12-Sep-16,73.55,75.50,73.55,75.26,231147
9-Sep-16,74.56,74.74,73.83,73.86,233028
8-Sep-16,75.23,75.47,75.06,75.19,162021
7-Sep-16,74.73,75.37,74.60,75.28,236806
6-Sep-16,75.11,75.16,74.75,75.03,185739
2-Sep-16,74.71,75.10,74.36,75.07,166904
1-Sep-16,73.42,74.23,72.90,74.22,209985
31-Aug-16,74.37,74.69,73.04,73.23,187398
30-Aug-16,73.70,74.66,73.70,74.41,215731
29-Aug-16,73.28,73.98,73.03,73.84,108793
26-Aug-16,74.00,74.44,72.53,73.09,202358
25-Aug-16,73.08,73.93,72.91,73.91,120271
24-Aug-16,73.43,73.47,72.97,73.12,124099
23-Aug-16,73.76,74.42,73.52,73.63,134018
22-Aug-16,73.59,73.81,73.17,73.46,133058
19-Aug-16,72.33,73.94,72.11,73.60,304799
18-Aug-16,72.54,72.95,72.32,72.53,170359
17-Aug-16,73.03,73.03,72.32,72.54,137772
16-Aug-16,73.79,73.79,72.83,72.84,113108
15-Aug-16,74.03,74.43,73.76,73.85,138037
12-Aug-16,74.26,74.42,73.85,74.01,84243
11-Aug-16,74.83,75.28,73.87,74.52,121895
10-Aug-16,74.55,74.92,74.07,74.50,114049
9-Aug-16,74.00,74.74,73.71,74.44,190868
8-Aug-16,73.98,74.28,73.63,74.08,144936
5-Aug-16,73.86,74.47,73.73,74.10,134278
4-Aug-16,72.86,73.72,72.21,73.54,111498
3-Aug-16,72.40,73.32,71.89,73.29,122242
2-Aug-16,73.62,73.62,72.68,72.69,89849
1-Aug-16,73.92,74.10,73.26,73.54,178594
29-Jul-16,74.33,74.41,73.63,73.83,188592
28-Jul-16,74.16,74.82,74.13,74.47,157455
27-Jul-16,74.27,74.55,73.41,74.36,177227
26-Jul-16,74.71,75.18,74.07,74.07,187004
25-Jul-16,74.71,75.20,74.09,74.74,297079
22-Jul-16,71.70,75.89,71.05,75.59,954131
21-Jul-16,71.36,71.41,70.19,70.40,125744
20-Jul-16,70.85,71.47,70.33,71.19,131452
19-Jul-16,70.81,71.11,70.45,70.77,92866
18-Jul-16,70.73,71.05,70.55,71.00,135881
15-Jul-16,70.93,70.97,70.50,70.65,136058
14-Jul-16,69.95,70.99,69.95,70.53,152725
13-Jul-16,69.95,70.14,69.36,69.71,385318
12-Jul-16,69.58,70.36,69.45,69.75,307583
11-Jul-16,69.75,69.75,68.99,69.24,372905
8-Jul-16,69.15,69.76,69.03,69.56,458647
7-Jul-16,69.08,69.51,68.67,68.89,182572
6-Jul-16,69.44,69.66,68.64,69.12,241183
5-Jul-16,70.64,70.64,69.40,69.64,227317
1-Jul-16,71.09,72.00,70.32,70.80,221465
30-Jun-16,69.67,71.08,69.17,71.04,394257
29-Jun-16,70.07,70.07,69.02,69.43,194140
28-Jun-16,68.25,69.28,67.63,69.21,259854
27-Jun-16,69.23,69.23,67.40,67.76,342326
24-Jun-16,69.30,70.61,67.57,69.83,1011591
23-Jun-16,72.00,72.53,71.72,72.21,267181
22-Jun-16,71.55,71.75,71.27,71.38,164106
21-Jun-16,71.17,71.78,70.74,71.51,115642
20-Jun-16,71.24,71.98,71.19,71.28,109837
17-Jun-16,70.76,71.14,69.66,70.50,350801
16-Jun-16,69.82,70.79,69.45,70.70,145727
15-Jun-16,70.82,71.10,70.19,70.34,126028
14-Jun-16,70.23,70.58,69.61,70.46,137193
13-Jun-16,70.85,71.34,70.30,70.43,160090
10-Jun-16,71.04,71.34,70.61,71.23,167737
9-Jun-16,70.79,71.41,70.64,71.35,131440
8-Jun-16,70.53,71.21,69.70,71.08,113352
7-Jun-16,70.15,70.91,69.95,70.53,83842
6-Jun-16,69.21,70.41,68.96,70.14,107133
3-Jun-16,69.21,69.21,68.51,69.18,100468
2-Jun-16,68.39,69.19,68.19,69.16,100169
1-Jun-16,67.79,68.65,67.66,68.48,100895
31-May-16,68.65,68.99,68.10,68.22,133689
27-May-16,67.74,68.57,67.65,68.42,99258
26-May-16,67.81,68.21,67.38,67.56,76796
25-May-16,67.87,68.54,67.50,67.81,135002
24-May-16,67.30,68.17,66.36,67.81,194105
23-May-16,67.38,67.49,66.79,66.84,120258
20-May-16,66.94,67.65,66.78,67.35,262495
19-May-16,65.26,66.62,65.26,66.54,208043
18-May-16,65.66,66.79,65.37,65.76,164059
17-May-16,67.04,67.04,65.47,65.94,167340
16-May-16,65.95,67.30,65.95,67.02,115661
13-May-16,66.31,66.43,65.37,65.59,135989
12-May-16,67.08,67.29,66.24,66.56,131694
11-May-16,67.20,67.43,66.52,66.55,81997
10-May-16,66.21,67.17,65.86,67.14,109177
9-May-16,66.12,66.74,65.62,65.78,131794
6-May-16,65.82,66.56,65.34,66.47,82826
5-May-16,66.38,66.47,65.78,65.83,109486
4-May-16,66.12,66.84,65.62,66.05,144027
3-May-16,67.30,67.72,66.63,66.79,142844
2-May-16,67.23,68.06,66.77,68.01,149171
29-Apr-16,67.24,67.55,66.24,67.25,136576
28-Apr-16,67.88,68.10,67.21,67.46,149805
27-Apr-16,68.73,68.73,67.50,67.98,112749
26-Apr-16,67.63,68.48,67.17,67.92,195586
25-Apr-16,67.39,67.93,67.03,67.15,149714
22-Apr-16,67.49,68.20,67.37,67.81,212361
21-Apr-16,67.64,68.44,67.30,67.54,190626
20-Apr-16,65.81,67.55,64.74,67.11,139433
19-Apr-16,66.89,66.96,65.96,66.83,128918
18-Apr-16,66.03,66.57,65.69,66.35,142447
15-Apr-16,65.34,66.31,65.06,66.30,176875
14-Apr-16,66.09,66.52,65.13,65.39,220934
13-Apr-16,65.64,66.20,65.06,66.05,194365
12-Apr-16,64.54,65.51,64.42,65.19,169898
11-Apr-16,64.72,65.43,64.24,64.49,116233
8-Apr-16,64.72,65.09,64.09,64.53,116642
7-Apr-16,64.02,64.33,63.88,64.25,212399
6-Apr-16,63.43,64.53,62.77,64.43,195141
5-Apr-16,62.77,63.73,62.70,63.45,175060
4-Apr-16,63.76,63.94,62.80,63.27,148910
1-Apr-16,62.95,63.84,62.63,63.82,178031
31-Mar-16,63.82,64.56,63.37,63.46,120462
30-Mar-16,64.33,64.33,63.64,63.91,125129
29-Mar-16,62.29,63.94,61.53,63.86,209956
28-Mar-16,62.55,62.94,61.70,62.37,141387
24-Mar-16,61.98,62.78,61.63,62.36,133474
23-Mar-16,63.21,63.21,62.26,62.27,194256
22-Mar-16,63.38,63.72,62.89,63.35,197023
21-Mar-16,65.08,65.23,63.32,63.66,246565
18-Mar-16,65.01,65.75,64.64,65.39,721590
17-Mar-16,63.11,64.70,63.01,64.65,203619
16-Mar-16,62.22,63.33,62.22,63.14,200003
15-Mar-16,62.06,63.11,61.99,62.54,276052
14-Mar-16,61.94,62.60,61.47,62.30,260516
11-Mar-16,60.74,62.26,60.74,62.16,227110
10-Mar-16,59.93,60.37,59.71,60.28,271675
9-Mar-16,58.80,59.67,58.77,59.62,231118
8-Mar-16,58.87,59.45,58.48,58.58,215592
7-Mar-16,58.43,59.44,58.30,59.35,186028
4-Mar-16,58.62,58.86,58.13,58.77,253190
3-Mar-16,58.41,58.64,58.20,58.56,251715
2-Mar-16,58.40,58.68,57.89,58.45,201971
1-Mar-16,57.95,59.06,57.23,58.63,210407
29-Feb-16,57.61,58.72,57.42,57.48,240831
26-Feb-16,57.44,57.63,56.90,57.60,284625
25-Feb-16,56.90,57.32,56.49,57.22,122638
24-Feb-16,55.20,56.85,55.20,56.74,143468
23-Feb-16,56.43,56.54,55.84,55.86,117067
22-Feb-16,57.31,57.62,56.63,56.70,112373
19-Feb-16,56.25,57.01,56.14,56.80,129860
18-Feb-16,56.06,56.81,55.39,56.31,171808
17-Feb-16,56.55,56.80,55.46,56.06,264182
16-Feb-16,56.03,56.43,55.41,56.25,132552
12-Feb-16,54.75,55.39,54.49,55.30,191088
11-Feb-16,54.01,54.65,53.43,54.14,278472
10-Feb-16,55.21,56.38,54.94,54.97,188336
9-Feb-16,54.10,55.65,54.09,54.98,237660
8-Feb-16,53.92,55.49,53.24,54.72,378232
5-Feb-16,56.38,56.38,52.69,53.92,449341
4-Feb-16,57.59,58.60,57.03,57.38,179033
3-Feb-16,58.07,58.33,56.69,57.74,247966
2-Feb-16,57.76,58.17,57.20,57.47,178027
1-Feb-16,59.16,59.62,58.29,58.50,203870
29-Jan-16,57.97,59.75,57.77,59.67,367133
28-Jan-16,57.30,57.95,57.03,57.76,192365
27-Jan-16,57.03,57.38,56.38,56.73,217931
26-Jan-16,57.03,57.82,56.81,57.29,236923
25-Jan-16,58.43,58.50,56.57,56.65,211584
22-Jan-16,57.38,58.83,57.17,58.76,265059
21-Jan-16,56.61,57.60,55.96,56.53,212116
20-Jan-16,54.76,57.05,54.73,56.53,375931
19-Jan-16,57.11,57.11,54.20,55.61,292279
15-Jan-16,56.50,57.24,54.03,56.63,246708
14-Jan-16,56.46,59.13,56.06,58.10,260637
13-Jan-16,58.92,59.13,56.08,56.24,260595
12-Jan-16,59.12,59.12,57.93,58.70,143568
11-Jan-16,59.19,59.19,58.06,58.71,107447
8-Jan-16,59.47,60.40,58.84,59.04,288275
7-Jan-16,58.98,59.74,58.89,59.22,165873
6-Jan-16,59.77,60.54,59.71,60.16,159320
5-Jan-16,60.84,61.24,60.26,60.58,100811
4-Jan-16,61.87,62.03,59.75,60.70,223003
31-Dec-15,63.79,64.16,62.78,62.82,161523
30-Dec-15,64.32,64.70,63.98,64.16,154350
29-Dec-15,64.21,64.45,63.61,64.29,93115
28-Dec-15,63.59,64.15,63.12,63.92,121399
24-Dec-15,63.79,64.16,63.20,63.82,57685
23-Dec-15,63.14,63.89,62.88,63.72,108837
22-Dec-15,62.11,63.00,61.45,62.85,91577
21-Dec-15,61.36,61.85,60.70,61.80,151003
18-Dec-15,61.66,61.81,60.57,61.04,424380
17-Dec-15,63.10,63.42,62.02,62.02,169601
16-Dec-15,62.78,63.29,61.80,63.07,449963
15-Dec-15,62.63,63.14,62.04,62.49,202685
14-Dec-15,61.79,62.48,61.45,62.17,230455
11-Dec-15,62.14,63.03,61.57,61.88,148711
10-Dec-15,63.76,64.05,62.97,63.22,145038
9-Dec-15,64.08,64.82,63.47,63.82,179705
8-Dec-15,65.18,65.18,63.92,64.09,184172
7-Dec-15,66.13,66.24,65.35,65.89,163709
