Date,Open,High,Low,Close,Volume
22-Nov-16,9.80,9.90,9.62,9.74,1767018
21-Nov-16,9.50,9.83,9.49,9.75,1587634
18-Nov-16,9.54,9.67,9.20,9.36,2190063
17-Nov-16,9.69,10.05,9.48,9.66,2814813
16-Nov-16,9.75,9.80,9.41,9.59,2170069
15-Nov-16,9.72,10.10,9.58,9.77,3252389
14-Nov-16,9.49,10.00,9.11,9.75,4800408
11-Nov-16,10.35,10.57,9.67,9.70,4586334
10-Nov-16,10.90,10.90,10.18,10.25,4322942
9-Nov-16,11.43,11.50,10.65,10.96,3629088
8-Nov-16,10.95,11.28,10.69,10.84,3075839
7-Nov-16,11.06,11.13,10.60,10.91,3677508
4-Nov-16,11.67,11.88,11.16,11.34,3768393
3-Nov-16,11.78,12.07,11.63,11.86,2314502
2-Nov-16,12.50,12.65,11.69,11.83,3652677
1-Nov-16,12.38,12.52,12.10,12.24,1797882
31-Oct-16,11.86,12.11,11.68,12.06,1437067
28-Oct-16,11.70,12.10,11.60,11.82,1500261
27-Oct-16,11.98,12.07,11.65,11.74,1761285
26-Oct-16,12.26,12.34,11.82,11.94,1241779
25-Oct-16,11.99,12.45,11.94,12.31,1688963
24-Oct-16,12.11,12.20,11.70,11.90,1373293
21-Oct-16,11.97,12.11,11.84,11.96,888730
20-Oct-16,11.96,12.05,11.70,12.02,1211451
19-Oct-16,11.98,12.34,11.94,12.04,1924296
18-Oct-16,11.85,11.86,11.47,11.79,1518689
17-Oct-16,11.06,11.72,11.06,11.58,1663519
14-Oct-16,11.41,11.61,10.99,11.04,2435304
13-Oct-16,11.40,11.92,11.31,11.53,2425058
12-Oct-16,11.02,11.54,11.00,11.39,1830085
11-Oct-16,11.22,11.48,11.00,11.00,1840953
10-Oct-16,11.28,11.40,11.12,11.26,1082264
7-Oct-16,11.50,11.69,11.01,11.12,2755165
6-Oct-16,11.05,11.45,10.98,11.14,3609946
5-Oct-16,11.24,11.53,10.92,11.38,3275158
4-Oct-16,12.04,12.15,11.09,11.10,3130266
3-Oct-16,12.79,12.91,12.30,12.61,1675534
30-Sep-16,13.53,13.55,12.73,12.83,2223095
29-Sep-16,13.28,13.37,13.01,13.19,1300511
28-Sep-16,13.14,13.56,12.90,13.39,1891822
27-Sep-16,13.52,13.57,13.06,13.14,1893602
26-Sep-16,14.07,14.24,13.72,13.74,1315025
23-Sep-16,14.01,14.09,13.81,14.00,2132802
22-Sep-16,14.48,14.60,13.94,14.14,1819427
21-Sep-16,13.78,14.28,13.64,14.20,2131935
20-Sep-16,13.36,13.53,13.13,13.49,1565556
19-Sep-16,13.56,13.61,13.29,13.40,1325196
16-Sep-16,13.25,13.44,12.98,13.36,4066834
15-Sep-16,13.42,13.70,13.20,13.41,1977731
14-Sep-16,13.61,14.01,13.34,13.46,1812594
13-Sep-16,13.89,13.96,13.25,13.51,1855555
12-Sep-16,13.46,14.22,13.43,14.09,2531172
9-Sep-16,14.32,14.36,13.53,13.80,2497076
8-Sep-16,14.73,14.95,14.49,14.62,1184015
7-Sep-16,14.75,14.88,14.33,14.76,1867495
6-Sep-16,14.33,14.83,14.20,14.78,2467963
2-Sep-16,13.84,14.09,13.68,14.00,2137765
1-Sep-16,12.92,13.50,12.80,13.49,3374355
31-Aug-16,13.13,13.29,12.93,13.04,3286543
30-Aug-16,13.89,13.89,13.18,13.29,2165713
29-Aug-16,13.46,13.98,13.41,13.92,1617779
26-Aug-16,14.11,14.43,13.48,13.67,3120055
25-Aug-16,13.33,14.08,13.20,13.86,3064302
