Date,Open,High,Low,Close,Volume
22-Nov-16,19.96,20.04,19.76,19.94,130610
21-Nov-16,19.98,19.99,19.50,19.88,262129
18-Nov-16,19.60,19.77,19.29,19.67,647988
17-Nov-16,19.16,19.73,19.16,19.51,615315
16-Nov-16,18.99,19.05,18.88,18.93,231598
15-Nov-16,18.94,19.15,18.62,19.05,269015
14-Nov-16,19.21,19.74,18.88,19.00,551722
11-Nov-16,19.05,19.40,18.76,18.94,540579
10-Nov-16,18.36,19.07,17.95,19.04,415796
9-Nov-16,17.64,18.21,17.39,18.20,312576
8-Nov-16,17.98,18.14,17.78,17.93,212957
7-Nov-16,18.25,18.40,18.01,18.14,266459
4-Nov-16,17.70,18.36,17.64,17.96,288705
3-Nov-16,17.38,17.79,17.38,17.60,323996
2-Nov-16,17.20,17.59,17.02,17.33,376611
1-Nov-16,17.05,17.22,16.37,16.57,285203
31-Oct-16,17.09,17.20,16.94,17.06,148945
28-Oct-16,16.74,17.39,16.66,17.07,223348
27-Oct-16,17.25,17.26,16.47,16.80,388659
26-Oct-16,16.93,17.57,16.93,17.20,208716
25-Oct-16,17.31,17.42,15.82,17.29,386052
24-Oct-16,17.51,17.65,17.37,17.50,112498
21-Oct-16,17.22,17.50,17.21,17.44,79209
20-Oct-16,17.42,17.52,17.20,17.38,82522
19-Oct-16,17.55,17.77,17.30,17.67,91563
18-Oct-16,17.69,17.71,17.39,17.46,151464
17-Oct-16,17.41,17.63,17.29,17.52,171754
14-Oct-16,17.37,17.59,17.26,17.39,93807
13-Oct-16,17.36,17.46,17.15,17.28,115219
12-Oct-16,17.48,17.67,17.29,17.58,93288
11-Oct-16,17.48,17.48,17.24,17.43,146502
10-Oct-16,17.56,17.77,17.48,17.52,83901
7-Oct-16,17.81,17.87,17.41,17.42,175050
6-Oct-16,17.55,17.76,17.20,17.75,239917
5-Oct-16,17.46,17.80,17.46,17.67,118862
4-Oct-16,17.54,17.80,17.40,17.45,216575
3-Oct-16,17.47,17.52,17.25,17.48,249715
30-Sep-16,17.58,17.69,17.23,17.60,189761
29-Sep-16,17.54,17.68,17.29,17.34,183507
28-Sep-16,17.29,17.69,17.22,17.67,223660
27-Sep-16,17.27,17.44,17.16,17.31,187367
26-Sep-16,17.04,17.41,16.94,17.29,282286
23-Sep-16,17.20,17.31,17.07,17.19,335234
22-Sep-16,16.85,17.27,16.55,17.18,349104
21-Sep-16,16.38,16.49,16.09,16.41,164153
20-Sep-16,16.60,16.73,16.07,16.31,282659
19-Sep-16,16.65,17.30,16.63,16.70,206592
16-Sep-16,16.73,16.75,16.33,16.46,559176
15-Sep-16,16.73,16.97,16.62,16.79,136552
14-Sep-16,16.67,17.12,16.66,16.72,259810
13-Sep-16,17.09,17.35,16.38,16.64,392490
12-Sep-16,16.85,17.46,16.75,17.35,366637
9-Sep-16,17.53,17.56,16.88,16.93,255089
8-Sep-16,17.96,18.13,17.69,17.75,227989
7-Sep-16,17.99,18.36,17.94,18.05,191676
6-Sep-16,17.77,17.95,17.63,17.93,234233
2-Sep-16,17.64,17.91,17.59,17.68,128216
1-Sep-16,17.61,17.79,17.42,17.57,232443
31-Aug-16,17.80,17.84,17.52,17.64,251540
30-Aug-16,17.66,17.82,17.58,17.78,271027
29-Aug-16,17.26,17.60,17.25,17.46,182651
26-Aug-16,17.48,17.60,17.03,17.25,154564
