Date,Open,High,Low,Close,Volume
22-Nov-16,22.23,22.37,22.11,22.26,158281
21-Nov-16,22.06,22.42,21.96,22.07,79250
18-Nov-16,22.21,22.36,22.03,22.13,138923
17-Nov-16,22.12,22.36,21.90,22.13,122734
16-Nov-16,21.60,22.09,21.55,22.07,96893
15-Nov-16,21.80,22.08,21.41,21.55,83454
14-Nov-16,21.50,21.89,21.44,21.66,207463
11-Nov-16,21.27,21.69,21.24,21.42,185503
10-Nov-16,21.49,21.64,20.65,21.17,169326
9-Nov-16,20.85,21.41,20.51,21.36,106326
8-Nov-16,21.21,21.39,21.17,21.26,61574
7-Nov-16,21.04,21.21,20.98,21.14,86173
4-Nov-16,20.68,20.93,20.65,20.69,77009
3-Nov-16,20.80,20.84,20.55,20.64,58921
2-Nov-16,20.90,20.90,20.50,20.51,86841
1-Nov-16,21.43,21.43,20.77,20.93,105494
31-Oct-16,21.14,21.54,21.04,21.50,142559
28-Oct-16,21.27,21.45,20.98,21.11,68493
27-Oct-16,21.70,21.70,21.08,21.17,89367
26-Oct-16,21.98,21.98,21.63,21.67,56115
25-Oct-16,22.08,22.16,21.96,22.09,45962
24-Oct-16,22.13,22.30,21.91,22.10,77888
21-Oct-16,21.84,22.10,21.84,22.02,53033
20-Oct-16,22.02,22.10,21.87,22.05,57887
19-Oct-16,21.99,22.15,21.89,22.01,73724
18-Oct-16,21.89,22.04,21.76,21.93,66582
17-Oct-16,21.94,21.95,21.61,21.67,198222
14-Oct-16,21.69,21.93,21.60,21.85,252537
13-Oct-16,21.51,21.82,21.46,21.56,100440
12-Oct-16,21.30,21.64,21.25,21.53,101830
11-Oct-16,21.58,21.58,21.17,21.23,78878
10-Oct-16,21.51,21.72,21.50,21.54,64454
7-Oct-16,21.65,21.77,21.31,21.49,96321
6-Oct-16,21.50,21.76,21.42,21.51,164495
5-Oct-16,21.74,21.89,21.48,21.53,216975
4-Oct-16,21.96,21.99,21.66,21.98,180166
3-Oct-16,22.13,22.13,21.64,21.97,167975
30-Sep-16,22.45,22.45,22.11,22.22,150345
29-Sep-16,22.52,22.52,22.18,22.37,116357
28-Sep-16,22.46,22.70,22.33,22.57,93398
27-Sep-16,23.04,23.04,22.31,22.46,159457
26-Sep-16,22.85,23.01,22.82,22.94,106455
23-Sep-16,22.74,23.05,22.54,22.98,89298
22-Sep-16,22.57,22.85,22.57,22.76,147746
21-Sep-16,22.09,22.42,21.79,22.39,87963
20-Sep-16,22.20,22.25,21.97,22.01,128688
19-Sep-16,21.81,22.06,21.69,22.03,101836
16-Sep-16,21.55,21.76,21.50,21.75,270977
15-Sep-16,21.50,21.67,21.43,21.63,115217
14-Sep-16,21.54,21.67,21.49,21.54,74712
13-Sep-16,21.82,21.83,21.50,21.50,161814
12-Sep-16,21.90,22.05,21.67,21.94,160492
9-Sep-16,23.08,23.21,21.77,21.98,194959
8-Sep-16,23.50,23.61,23.25,23.43,106725
7-Sep-16,23.35,23.66,23.22,23.66,129716
6-Sep-16,23.06,23.44,22.96,23.37,158804
2-Sep-16,23.00,23.33,23.00,23.06,154609
1-Sep-16,22.79,23.03,22.64,22.76,126301
31-Aug-16,23.07,23.07,22.21,22.71,401905
30-Aug-16,23.02,23.02,22.62,23.00,78749
29-Aug-16,22.86,23.21,22.86,23.05,83671
26-Aug-16,23.08,23.21,22.64,22.83,92453
25-Aug-16,22.65,23.01,22.65,22.96,156628
24-Aug-16,22.74,22.74,22.40,22.71,104144
23-Aug-16,22.78,22.90,22.65,22.69,55939
22-Aug-16,22.48,22.78,22.42,22.65,115633
19-Aug-16,22.64,22.69,22.38,22.47,150297
18-Aug-16,22.74,22.90,22.63,22.75,68161
17-Aug-16,22.61,22.73,22.44,22.68,48537
16-Aug-16,22.92,22.94,22.53,22.54,122357
15-Aug-16,23.20,23.30,23.05,23.05,59399
12-Aug-16,23.11,23.43,22.94,23.17,131544
11-Aug-16,23.47,23.47,23.00,23.09,205847
10-Aug-16,23.69,23.72,23.40,23.41,149439
9-Aug-16,23.62,23.69,23.36,23.62,148568
8-Aug-16,23.85,23.92,23.45,23.50,180053
5-Aug-16,23.89,23.99,23.73,23.85,198349
4-Aug-16,24.12,24.12,23.71,23.85,102470
3-Aug-16,24.18,24.18,23.76,23.98,132261
2-Aug-16,24.50,24.50,24.03,24.08,153422
1-Aug-16,24.72,24.75,24.43,24.50,196799
29-Jul-16,24.20,24.84,24.20,24.70,342200
28-Jul-16,23.82,24.27,23.79,24.20,190423
27-Jul-16,23.74,23.93,23.58,23.88,391838
26-Jul-16,23.68,23.82,23.65,23.72,227756
25-Jul-16,23.54,23.75,23.54,23.68,571382
22-Jul-16,23.55,23.75,23.52,23.57,457735
21-Jul-16,23.31,23.65,23.25,23.50,2255609
20-Jul-16,24.77,24.80,24.47,24.64,63446
19-Jul-16,24.50,24.80,24.49,24.72,91152
18-Jul-16,24.40,24.91,24.32,24.69,97451
15-Jul-16,25.00,25.00,24.71,24.90,63364
14-Jul-16,25.00,25.11,24.85,24.88,63661
13-Jul-16,25.00,25.14,24.86,25.13,110004
12-Jul-16,24.99,25.16,24.66,24.97,106451
11-Jul-16,24.88,25.06,24.64,25.00,119257
8-Jul-16,24.78,25.00,24.66,24.87,107771
7-Jul-16,24.89,24.89,24.34,24.61,97928
6-Jul-16,24.84,25.19,24.70,24.92,73694
5-Jul-16,24.86,25.15,24.82,24.91,96251
1-Jul-16,24.93,25.00,24.60,24.77,81338
30-Jun-16,24.37,24.80,24.15,24.78,136987
29-Jun-16,24.12,24.55,24.12,24.31,119751
28-Jun-16,24.04,24.47,23.77,24.32,131671
27-Jun-16,23.59,24.00,23.38,23.88,134011
24-Jun-16,22.73,23.67,22.58,23.59,890904
23-Jun-16,23.17,23.34,23.12,23.23,75803
22-Jun-16,23.50,23.58,23.14,23.14,81672
21-Jun-16,23.44,23.68,23.37,23.41,120600
20-Jun-16,23.27,23.54,23.01,23.42,116048
17-Jun-16,23.31,23.34,23.09,23.25,226270
16-Jun-16,23.12,23.33,23.04,23.31,119784
15-Jun-16,23.20,23.25,23.08,23.09,65829
14-Jun-16,23.18,23.27,23.01,23.20,52336
13-Jun-16,23.16,23.26,23.00,23.19,60172
10-Jun-16,23.02,23.23,22.86,23.13,66944
9-Jun-16,23.19,23.25,22.95,23.13,107592
8-Jun-16,21.90,22.99,21.90,22.98,117262
7-Jun-16,21.54,21.82,21.52,21.73,42804
6-Jun-16,21.50,21.73,21.33,21.55,58197
3-Jun-16,21.60,21.67,21.40,21.52,41752
2-Jun-16,21.19,21.47,21.08,21.45,78493
1-Jun-16,21.04,21.24,20.97,21.24,49045
31-May-16,21.07,21.19,20.91,21.16,77243
27-May-16,20.86,21.13,20.86,21.00,25758
26-May-16,20.82,21.21,20.79,20.86,31795
25-May-16,20.89,20.96,20.73,20.77,34011
24-May-16,20.51,21.04,20.51,20.83,89733
23-May-16,20.58,20.79,20.45,20.48,63147
20-May-16,20.53,20.69,20.47,20.67,69857
