Date,Open,High,Low,Close,Volume
22-Nov-16,5.05,5.08,5.05,5.06,1468076
21-Nov-16,5.01,5.05,5.01,5.04,981708
18-Nov-16,5.04,5.05,4.98,5.00,703931
17-Nov-16,5.02,5.04,4.99,5.01,622915
16-Nov-16,4.99,5.02,4.98,4.99,550867
15-Nov-16,4.96,5.02,4.96,5.02,648913
14-Nov-16,5.00,5.00,4.92,4.96,741795
11-Nov-16,4.92,4.96,4.91,4.95,528943
10-Nov-16,4.98,4.99,4.92,4.95,819827
9-Nov-16,4.82,4.94,4.81,4.93,813895
8-Nov-16,4.87,4.89,4.85,4.86,369066
7-Nov-16,4.86,4.88,4.84,4.85,604269
4-Nov-16,4.77,4.83,4.76,4.79,430313
3-Nov-16,4.84,4.85,4.76,4.79,399918
2-Nov-16,4.83,4.87,4.82,4.82,358219
1-Nov-16,4.93,4.94,4.84,4.86,364410
31-Oct-16,4.93,4.96,4.89,4.91,757553
28-Oct-16,4.95,4.99,4.92,4.92,413652
27-Oct-16,4.99,5.01,4.96,4.96,274257
26-Oct-16,5.00,5.00,4.94,4.98,606691
25-Oct-16,5.12,5.13,5.11,5.13,318621
24-Oct-16,5.12,5.14,5.10,5.12,462842
21-Oct-16,5.03,5.11,5.03,5.11,425858
20-Oct-16,5.04,5.07,5.02,5.05,807918
19-Oct-16,5.07,5.11,5.05,5.05,915533
18-Oct-16,5.09,5.09,5.05,5.07,428895
17-Oct-16,5.08,5.08,5.03,5.06,525456
14-Oct-16,5.08,5.11,5.08,5.09,229104
13-Oct-16,5.08,5.08,5.05,5.07,279529
12-Oct-16,5.14,5.15,5.10,5.12,359163
11-Oct-16,5.17,5.18,5.11,5.13,404495
10-Oct-16,5.20,5.23,5.18,5.19,366724
7-Oct-16,5.19,5.21,5.17,5.18,261592
6-Oct-16,5.19,5.21,5.17,5.21,296180
5-Oct-16,5.17,5.20,5.17,5.20,325013
4-Oct-16,5.19,5.20,5.15,5.18,409683
3-Oct-16,5.17,5.20,5.16,5.20,308031
30-Sep-16,5.17,5.19,5.14,5.18,309035
29-Sep-16,5.16,5.18,5.11,5.11,513973
28-Sep-16,5.14,5.17,5.14,5.17,352222
27-Sep-16,5.11,5.14,5.09,5.14,317151
26-Sep-16,5.14,5.14,5.09,5.11,452300
23-Sep-16,5.19,5.19,5.15,5.15,791556
22-Sep-16,5.20,5.20,5.18,5.19,510628
21-Sep-16,5.14,5.16,5.11,5.16,797554
20-Sep-16,5.10,5.11,5.07,5.10,608675
19-Sep-16,5.10,5.11,5.05,5.07,513617
16-Sep-16,5.08,5.10,5.03,5.08,579754
15-Sep-16,5.03,5.10,5.03,5.08,507706
14-Sep-16,5.06,5.10,5.02,5.06,451167
13-Sep-16,5.08,5.10,5.03,5.06,738989
12-Sep-16,5.09,5.15,5.05,5.12,861078
9-Sep-16,5.16,5.17,5.09,5.09,619928
8-Sep-16,5.21,5.21,5.19,5.21,270456
7-Sep-16,5.20,5.24,5.20,5.21,289143
6-Sep-16,5.20,5.23,5.18,5.21,408724
2-Sep-16,5.22,5.23,5.20,5.21,306084
1-Sep-16,5.20,5.20,5.14,5.20,618519
31-Aug-16,5.19,5.22,5.18,5.20,188290
30-Aug-16,5.19,5.23,5.19,5.23,278115
29-Aug-16,5.19,5.23,5.19,5.21,252784
26-Aug-16,5.19,5.23,5.15,5.19,344379
25-Aug-16,5.20,5.23,5.16,5.16,264227
24-Aug-16,5.26,5.27,5.18,5.19,476305
23-Aug-16,5.24,5.27,5.20,5.20,664162
22-Aug-16,5.20,5.24,5.19,5.20,396590
19-Aug-16,5.20,5.22,5.18,5.20,196463
18-Aug-16,5.20,5.21,5.18,5.21,226275
17-Aug-16,5.18,5.22,5.15,5.20,426350
16-Aug-16,5.18,5.20,5.15,5.20,526200
15-Aug-16,5.17,5.21,5.17,5.18,396426
12-Aug-16,5.16,5.18,5.15,5.16,489666
11-Aug-16,5.16,5.20,5.16,5.18,433619
10-Aug-16,5.19,5.19,5.15,5.17,371146
9-Aug-16,5.16,5.19,5.16,5.18,389939
8-Aug-16,5.18,5.18,5.15,5.16,528198
5-Aug-16,5.14,5.17,5.13,5.17,499411
4-Aug-16,5.13,5.15,5.10,5.12,430832
3-Aug-16,5.10,5.13,5.09,5.12,268766
2-Aug-16,5.12,5.14,5.05,5.09,466243
1-Aug-16,5.20,5.21,5.14,5.14,696051
29-Jul-16,5.16,5.19,5.15,5.18,388958
28-Jul-16,5.14,5.16,5.10,5.16,339199
27-Jul-16,5.16,5.17,5.12,5.13,1005279
26-Jul-16,5.23,5.26,5.22,5.24,641408
25-Jul-16,5.22,5.23,5.19,5.23,442355
22-Jul-16,5.22,5.24,5.20,5.20,372573
21-Jul-16,5.24,5.26,5.20,5.21,618909
20-Jul-16,5.20,5.23,5.18,5.23,364332
19-Jul-16,5.17,5.19,5.14,5.19,483724
18-Jul-16,5.14,5.21,5.12,5.18,643434
15-Jul-16,5.18,5.18,5.12,5.14,522018
14-Jul-16,5.18,5.21,5.14,5.16,685494
13-Jul-16,5.14,5.16,5.10,5.12,786321
12-Jul-16,5.14,5.16,5.13,5.14,247097
11-Jul-16,5.09,5.12,5.08,5.08,373707
8-Jul-16,5.06,5.08,5.05,5.06,388301
7-Jul-16,5.00,5.03,4.98,5.00,279625
6-Jul-16,4.98,5.01,4.97,4.98,335443
5-Jul-16,5.02,5.02,4.97,4.99,311844
1-Jul-16,5.01,5.06,5.01,5.03,262184
30-Jun-16,5.01,5.02,4.97,5.02,442786
29-Jun-16,4.93,4.98,4.91,4.98,443896
28-Jun-16,4.82,4.86,4.81,4.86,483552
27-Jun-16,4.86,4.87,4.77,4.80,1028606
24-Jun-16,4.89,4.98,4.87,4.90,791224
23-Jun-16,5.02,5.07,5.01,5.04,549570
22-Jun-16,5.00,5.03,4.97,4.98,398891
21-Jun-16,4.98,5.01,4.98,5.00,338755
20-Jun-16,5.00,5.03,4.98,4.98,579625
17-Jun-16,4.98,4.98,4.94,4.95,484914
16-Jun-16,4.95,4.98,4.93,4.97,519731
15-Jun-16,5.00,5.02,4.97,4.98,297288
14-Jun-16,4.99,5.02,4.96,4.99,234745
13-Jun-16,5.02,5.05,4.99,4.99,204882
10-Jun-16,5.06,5.07,5.04,5.05,278809
9-Jun-16,5.10,5.12,5.09,5.09,261236
8-Jun-16,5.13,5.14,5.11,5.12,302636
7-Jun-16,5.09,5.13,5.08,5.13,323036
6-Jun-16,5.08,5.11,5.07,5.11,233526
3-Jun-16,5.07,5.08,5.04,5.07,262971
2-Jun-16,5.05,5.09,5.03,5.08,442923
1-Jun-16,5.02,5.08,5.02,5.08,320652
31-May-16,5.06,5.08,5.03,5.05,174711
27-May-16,5.05,5.07,5.03,5.04,363411
26-May-16,5.07,5.07,5.02,5.05,388617
25-May-16,5.02,5.08,5.01,5.05,437131
24-May-16,4.94,5.02,4.94,5.01,515808
23-May-16,4.90,4.94,4.90,4.91,274558
20-May-16,4.91,4.95,4.90,4.90,283445
19-May-16,4.87,4.90,4.86,4.90,546416
18-May-16,4.88,4.94,4.87,4.89,335530
17-May-16,4.89,4.93,4.87,4.89,401436
16-May-16,4.87,4.93,4.87,4.93,390449
13-May-16,4.87,4.93,4.85,4.86,370957
12-May-16,4.95,4.95,4.86,4.87,416485
11-May-16,4.94,4.96,4.89,4.90,328473
10-May-16,4.93,4.96,4.91,4.96,510323
9-May-16,4.88,4.92,4.88,4.89,512419
6-May-16,4.89,4.90,4.84,4.88,457950
5-May-16,4.94,4.94,4.88,4.90,470091
4-May-16,4.94,4.95,4.90,4.91,228014
3-May-16,5.00,5.00,4.95,4.96,203178
2-May-16,4.99,5.03,4.98,5.02,437508
29-Apr-16,5.03,5.03,4.94,4.99,573284
28-Apr-16,5.02,5.06,5.00,5.01,856261
27-Apr-16,5.00,5.04,5.00,5.03,674368
26-Apr-16,5.11,5.14,5.10,5.12,509527
25-Apr-16,5.13,5.14,5.09,5.11,455669
22-Apr-16,5.12,5.14,5.09,5.14,447497
21-Apr-16,5.14,5.14,5.11,5.12,427452
20-Apr-16,5.13,5.15,5.10,5.13,393464
19-Apr-16,5.12,5.12,5.08,5.12,435366
18-Apr-16,5.02,5.09,5.02,5.08,552291
15-Apr-16,5.09,5.09,5.05,5.07,268844
14-Apr-16,5.08,5.11,5.04,5.11,900166
13-Apr-16,5.05,5.09,5.01,5.09,978989
12-Apr-16,4.98,5.03,4.96,5.02,616603
11-Apr-16,5.00,5.01,4.96,4.99,423236
8-Apr-16,4.99,5.00,4.94,5.00,350025
7-Apr-16,4.96,4.97,4.93,4.97,599318
6-Apr-16,4.93,4.98,4.90,4.98,471033
5-Apr-16,4.95,4.95,4.88,4.91,463915
4-Apr-16,4.97,5.03,4.92,5.03,636898
1-Apr-16,4.95,4.98,4.95,4.97,442123
31-Mar-16,4.98,5.00,4.96,4.97,502933
30-Mar-16,4.94,4.98,4.94,4.95,346439
29-Mar-16,4.85,4.93,4.85,4.92,289039
28-Mar-16,4.87,4.89,4.85,4.86,405018
24-Mar-16,4.86,4.89,4.86,4.86,334439
23-Mar-16,4.93,4.94,4.90,4.91,240407
22-Mar-16,4.90,4.96,4.90,4.93,321655
21-Mar-16,4.94,4.96,4.91,4.92,280946
18-Mar-16,4.95,4.96,4.91,4.94,392781
17-Mar-16,4.89,4.94,4.85,4.94,395026
16-Mar-16,4.83,4.88,4.82,4.87,342992
15-Mar-16,4.84,4.87,4.82,4.85,306529
14-Mar-16,4.87,4.89,4.85,4.89,365832
11-Mar-16,4.82,4.87,4.82,4.87,575306
10-Mar-16,4.84,4.84,4.75,4.80,258726
9-Mar-16,4.81,4.84,4.78,4.79,388458
8-Mar-16,4.82,4.82,4.77,4.79,425344
7-Mar-16,4.80,4.85,4.79,4.84,558017
4-Mar-16,4.83,4.86,4.80,4.81,545908
3-Mar-16,4.78,4.85,4.76,4.85,812796
2-Mar-16,4.71,4.77,4.71,4.77,723963
1-Mar-16,4.62,4.72,4.61,4.71,703434
29-Feb-16,4.57,4.66,4.57,4.58,698072
26-Feb-16,4.61,4.65,4.58,4.61,520549
25-Feb-16,4.55,4.61,4.54,4.59,795647
24-Feb-16,4.48,4.55,4.45,4.54,1070864
23-Feb-16,4.55,4.57,4.47,4.51,1322312
22-Feb-16,4.60,4.60,4.54,4.55,1297073
19-Feb-16,4.50,4.53,4.48,4.51,1512817
18-Feb-16,4.61,4.61,4.55,4.55,430214
17-Feb-16,4.52,4.58,4.52,4.56,601678
16-Feb-16,4.43,4.48,4.41,4.44,838815
12-Feb-16,4.33,4.40,4.33,4.37,562453
11-Feb-16,4.29,4.33,4.26,4.31,486757
10-Feb-16,4.38,4.42,4.36,4.37,454939
9-Feb-16,4.35,4.41,4.32,4.34,530875
8-Feb-16,4.50,4.52,4.35,4.40,526666
5-Feb-16,4.63,4.66,4.54,4.55,430310
4-Feb-16,4.66,4.72,4.64,4.65,545543
3-Feb-16,4.69,4.71,4.60,4.64,515357
2-Feb-16,4.69,4.70,4.63,4.68,385114
1-Feb-16,4.67,4.75,4.67,4.73,593710
29-Jan-16,4.60,4.73,4.59,4.73,398846
28-Jan-16,4.62,4.63,4.56,4.58,230768
27-Jan-16,4.62,4.64,4.54,4.55,286907
26-Jan-16,4.57,4.64,4.57,4.62,332606
25-Jan-16,4.66,4.66,4.55,4.55,244625
22-Jan-16,4.58,4.67,4.58,4.67,390331
21-Jan-16,4.48,4.58,4.46,4.52,712203
20-Jan-16,4.47,4.52,4.33,4.46,851444
19-Jan-16,4.75,4.75,4.63,4.68,730488
15-Jan-16,4.75,4.77,4.65,4.70,1072161
14-Jan-16,4.78,4.87,4.68,4.87,965890
13-Jan-16,4.93,4.94,4.71,4.78,1086325
12-Jan-16,4.92,4.94,4.83,4.91,525781
11-Jan-16,4.93,4.95,4.81,4.87,889463
8-Jan-16,5.01,5.04,4.90,4.90,848261
7-Jan-16,5.00,5.05,4.97,4.98,779160
6-Jan-16,5.09,5.12,5.06,5.10,925053
5-Jan-16,5.25,5.28,5.17,5.17,1586605
4-Jan-16,5.28,5.28,5.17,5.22,447253
31-Dec-15,5.31,5.40,5.31,5.35,435962
30-Dec-15,5.39,5.39,5.35,5.35,578395
29-Dec-15,5.36,5.40,5.36,5.39,423757
28-Dec-15,5.36,5.37,5.32,5.35,368046
24-Dec-15,5.37,5.40,5.36,5.40,245438
23-Dec-15,5.27,5.40,5.27,5.37,737842
22-Dec-15,5.24,5.27,5.20,5.26,607866
21-Dec-15,5.23,5.25,5.18,5.20,1049763
18-Dec-15,5.25,5.25,5.20,5.21,756495
17-Dec-15,5.34,5.35,5.26,5.26,732182
16-Dec-15,5.25,5.33,5.24,5.31,844732
15-Dec-15,5.17,5.23,5.16,5.22,591510
14-Dec-15,5.12,5.15,5.08,5.12,1019143
11-Dec-15,5.20,5.22,5.12,5.12,487116
10-Dec-15,5.21,5.28,5.21,5.25,328495
9-Dec-15,5.30,5.34,5.23,5.23,292593
8-Dec-15,5.28,5.32,5.27,5.31,330561
7-Dec-15,5.38,5.38,5.31,5.33,571945
4-Dec-15,5.33,5.40,5.33,5.38,376798
3-Dec-15,5.38,5.40,5.28,5.31,380810
2-Dec-15,5.45,5.45,5.37,5.38,326343
1-Dec-15,5.40,5.46,5.39,5.44,381032
30-Nov-15,5.41,5.41,5.38,5.40,391194
27-Nov-15,5.40,5.41,5.37,5.40,83320
25-Nov-15,5.38,5.40,5.36,5.40,285941
24-Nov-15,5.28,5.37,5.28,5.37,1345872
23-Nov-15,5.35,5.38,5.33,5.34,487399
20-Nov-15,5.33,5.37,5.33,5.33,845669
19-Nov-15,5.36,5.37,5.31,5.31,722693
18-Nov-15,5.31,5.38,5.30,5.34,497524
17-Nov-15,5.29,5.33,5.26,5.28,408680
16-Nov-15,5.20,5.28,5.20,5.28,410262
13-Nov-15,5.25,5.26,5.20,5.21,317490
12-Nov-15,5.31,5.32,5.25,5.26,238797
11-Nov-15,5.39,5.39,5.33,5.33,280728
10-Nov-15,5.35,5.40,5.35,5.36,330021
9-Nov-15,5.43,5.45,5.35,5.37,429685
6-Nov-15,5.46,5.47,5.41,5.43,521942
5-Nov-15,5.45,5.47,5.41,5.47,250830
4-Nov-15,5.49,5.49,5.43,5.44,198988
3-Nov-15,5.42,5.48,5.41,5.46,309848
2-Nov-15,5.38,5.44,5.37,5.43,298536
30-Oct-15,5.40,5.40,5.32,5.37,370566
29-Oct-15,5.39,5.39,5.34,5.37,543488
28-Oct-15,5.33,5.42,5.31,5.40,1041188
27-Oct-15,5.44,5.45,5.41,5.41,298971
26-Oct-15,5.48,5.49,5.45,5.45,280191
23-Oct-15,5.47,5.49,5.43,5.48,389561
22-Oct-15,5.38,5.44,5.38,5.41,289629
21-Oct-15,5.40,5.42,5.34,5.35,331122
20-Oct-15,5.39,5.41,5.36,5.39,247900
19-Oct-15,5.36,5.40,5.35,5.39,256373
16-Oct-15,5.32,5.39,5.31,5.39,269656
15-Oct-15,5.29,5.32,5.26,5.31,487745
14-Oct-15,5.25,5.29,5.22,5.28,922979
13-Oct-15,5.28,5.30,5.23,5.23,343834
12-Oct-15,5.27,5.33,5.27,5.29,320864
9-Oct-15,5.26,5.31,5.26,5.27,370654
8-Oct-15,5.21,5.30,5.21,5.25,478312
7-Oct-15,5.19,5.27,5.19,5.20,542525
6-Oct-15,5.20,5.22,5.18,5.18,405642
5-Oct-15,5.11,5.22,5.11,5.19,584512
2-Oct-15,4.95,5.09,4.95,5.07,638322
1-Oct-15,5.07,5.08,5.01,5.02,382202
30-Sep-15,4.99,5.08,4.98,5.08,593321
29-Sep-15,4.97,5.00,4.93,4.96,488592
28-Sep-15,5.12,5.12,4.94,5.07,1053374
25-Sep-15,5.22,5.23,5.10,5.16,360005
24-Sep-15,5.14,5.18,5.10,5.18,673997
23-Sep-15,5.16,5.20,5.12,5.17,473488
22-Sep-15,5.14,5.16,5.10,5.16,395415
21-Sep-15,5.24,5.26,5.18,5.20,375790
18-Sep-15,5.23,5.25,5.18,5.22,408531
17-Sep-15,5.26,5.33,5.26,5.26,454902
16-Sep-15,5.24,5.30,5.24,5.29,254898
15-Sep-15,5.20,5.25,5.18,5.24,682579
14-Sep-15,5.24,5.25,5.17,5.21,223526
11-Sep-15,5.19,5.22,5.18,5.21,303891
10-Sep-15,5.19,5.24,5.17,5.22,504080
9-Sep-15,5.32,5.32,5.19,5.19,503391
8-Sep-15,5.25,5.27,5.21,5.26,692028
4-Sep-15,5.18,5.20,5.14,5.20,451499
3-Sep-15,5.24,5.29,5.22,5.24,421899
2-Sep-15,5.22,5.23,5.16,5.22,494666
1-Sep-15,5.19,5.25,5.16,5.17,299373
31-Aug-15,5.30,5.33,5.25,5.31,330029
28-Aug-15,5.26,5.31,5.23,5.31,228285
27-Aug-15,5.21,5.29,5.17,5.26,610245
26-Aug-15,5.10,5.16,5.01,5.16,830901
25-Aug-15,5.13,5.15,5.01,5.06,812845
24-Aug-15,5.00,5.18,4.43,4.98,1194340
21-Aug-15,5.44,5.46,5.27,5.31,1304786
20-Aug-15,5.56,5.57,5.49,5.49,419800
19-Aug-15,5.62,5.63,5.56,5.62,403637
18-Aug-15,5.61,5.64,5.60,5.63,364498
17-Aug-15,5.60,5.64,5.58,5.64,409935
14-Aug-15,5.64,5.65,5.60,5.63,311505
13-Aug-15,5.64,5.69,5.60,5.61,474606
12-Aug-15,5.57,5.66,5.55,5.66,472042
11-Aug-15,5.61,5.63,5.59,5.62,272199
10-Aug-15,5.63,5.69,5.63,5.66,517025
7-Aug-15,5.68,5.68,5.58,5.60,261806
6-Aug-15,5.73,5.73,5.66,5.69,272452
5-Aug-15,5.71,5.73,5.70,5.73,257743
4-Aug-15,5.70,5.72,5.67,5.70,246113
3-Aug-15,5.74,5.75,5.68,5.72,191122
31-Jul-15,5.74,5.76,5.72,5.74,296931
30-Jul-15,5.71,5.74,5.69,5.73,304326
29-Jul-15,5.73,5.73,5.69,5.73,445224
28-Jul-15,5.80,5.83,5.76,5.83,431309
27-Jul-15,5.80,5.81,5.76,5.79,819810
24-Jul-15,5.86,5.87,5.77,5.82,466735
23-Jul-15,5.89,5.89,5.85,5.86,300332
22-Jul-15,5.87,5.89,5.84,5.89,293497
21-Jul-15,5.87,5.89,5.83,5.88,444128
20-Jul-15,5.86,5.87,5.84,5.87,270529
17-Jul-15,5.88,5.90,5.84,5.85,244637
16-Jul-15,5.90,5.92,5.86,5.87,368116
15-Jul-15,5.86,5.89,5.83,5.84,359142
14-Jul-15,5.80,5.86,5.78,5.85,304092
13-Jul-15,5.79,5.82,5.77,5.80,260202
10-Jul-15,5.70,5.75,5.70,5.75,222926
9-Jul-15,5.70,5.73,5.64,5.64,463667
8-Jul-15,5.70,5.72,5.65,5.66,279600
7-Jul-15,5.73,5.76,5.65,5.72,474558
6-Jul-15,5.69,5.75,5.67,5.70,353499
2-Jul-15,5.78,5.80,5.73,5.76,443769
1-Jul-15,5.78,5.81,5.76,5.77,460314
30-Jun-15,5.73,5.78,5.70,5.75,422316
29-Jun-15,5.79,5.81,5.71,5.72,564980
26-Jun-15,5.89,5.89,5.83,5.86,275990
25-Jun-15,5.92,5.92,5.87,5.88,207793
24-Jun-15,5.90,5.93,5.90,5.90,347620
23-Jun-15,5.90,5.92,5.90,5.91,490753
22-Jun-15,5.94,5.95,5.89,5.89,369952
19-Jun-15,5.92,5.94,5.89,5.91,270401
18-Jun-15,5.87,5.94,5.87,5.93,300067
17-Jun-15,5.86,5.89,5.84,5.87,338418
16-Jun-15,5.82,5.86,5.81,5.84,257170
15-Jun-15,5.83,5.83,5.80,5.81,285115
12-Jun-15,5.89,5.89,5.84,5.84,232474
11-Jun-15,5.92,5.92,5.89,5.91,288349
10-Jun-15,5.86,5.90,5.83,5.90,428139
9-Jun-15,5.80,5.83,5.78,5.82,345076
8-Jun-15,5.84,5.84,5.79,5.80,263606
5-Jun-15,5.81,5.84,5.79,5.83,487752
4-Jun-15,5.85,5.87,5.80,5.80,461010
3-Jun-15,5.86,5.89,5.84,5.86,282197
2-Jun-15,5.84,5.89,5.84,5.86,197415
1-Jun-15,5.89,5.89,5.85,5.86,382816
29-May-15,5.90,5.91,5.86,5.87,275800
28-May-15,5.92,5.92,5.89,5.91,255117
27-May-15,5.84,5.93,5.84,5.93,299785
26-May-15,5.90,5.90,5.81,5.82,425063
22-May-15,5.92,5.93,5.90,5.90,279278
21-May-15,5.91,5.93,5.90,5.93,277607
20-May-15,5.91,5.92,5.89,5.91,314752
19-May-15,5.92,5.92,5.89,5.91,314742
18-May-15,5.90,5.92,5.89,5.90,338587
15-May-15,5.92,5.93,5.89,5.90,318404
14-May-15,5.88,5.94,5.86,5.94,693917
13-May-15,5.86,5.88,5.82,5.84,374009
12-May-15,5.81,5.86,5.79,5.85,653044
11-May-15,5.90,5.91,5.84,5.85,681449
8-May-15,5.88,5.91,5.87,5.91,376955
7-May-15,5.81,5.84,5.79,5.83,184775
6-May-15,5.85,5.86,5.78,5.80,338473
5-May-15,5.86,5.89,5.82,5.85,352522
4-May-15,5.89,5.91,5.87,5.88,378931
1-May-15,5.87,5.90,5.85,5.89,339496
30-Apr-15,5.87,5.89,5.82,5.84,558979
29-Apr-15,5.89,5.89,5.84,5.88,579591
28-Apr-15,6.00,6.04,5.96,6.03,516340
27-Apr-15,6.03,6.04,5.97,5.98,444014
24-Apr-15,6.00,6.03,5.99,6.01,437979
23-Apr-15,6.00,6.03,5.99,6.01,453592
22-Apr-15,5.99,6.02,5.96,6.01,440670
21-Apr-15,5.99,5.99,5.94,5.98,408227
20-Apr-15,5.94,5.99,5.94,5.96,458105
17-Apr-15,5.95,5.95,5.90,5.92,358009
16-Apr-15,5.96,6.01,5.96,5.99,279923
15-Apr-15,5.94,6.01,5.94,6.00,616339
14-Apr-15,5.93,5.95,5.91,5.93,492450
13-Apr-15,5.95,5.98,5.93,5.93,287817
10-Apr-15,5.92,5.96,5.91,5.95,545383
9-Apr-15,5.89,5.93,5.88,5.92,395732
8-Apr-15,5.87,5.90,5.86,5.88,356936
7-Apr-15,5.86,5.91,5.86,5.87,342754
6-Apr-15,5.77,5.88,5.77,5.86,511804
2-Apr-15,5.80,5.85,5.79,5.82,541668
1-Apr-15,5.82,5.84,5.80,5.80,560970
31-Mar-15,5.85,5.86,5.82,5.84,406528
30-Mar-15,5.82,5.89,5.82,5.87,668586
27-Mar-15,5.76,5.79,5.76,5.78,229444
26-Mar-15,5.78,5.80,5.76,5.77,251158
25-Mar-15,5.88,5.89,5.79,5.79,512809
24-Mar-15,5.91,5.92,5.86,5.88,355004
23-Mar-15,5.90,5.93,5.90,5.90,270761
20-Mar-15,5.88,5.93,5.88,5.91,436580
19-Mar-15,5.86,5.90,5.85,5.86,397391
18-Mar-15,5.82,5.94,5.80,5.90,395861
17-Mar-15,5.82,5.87,5.82,5.85,356975
16-Mar-15,5.82,5.86,5.82,5.85,480968
13-Mar-15,5.81,5.82,5.75,5.81,300225
12-Mar-15,5.79,5.84,5.77,5.83,290686
11-Mar-15,5.80,5.80,5.74,5.75,271239
10-Mar-15,5.81,5.83,5.76,5.77,404466
9-Mar-15,5.89,5.91,5.85,5.86,666208
6-Mar-15,5.93,5.94,5.86,5.88,375479
5-Mar-15,5.93,5.94,5.91,5.94,198991
4-Mar-15,5.92,5.92,5.88,5.92,203697
3-Mar-15,5.95,5.95,5.92,5.94,193568
2-Mar-15,5.94,5.98,5.93,5.97,246038
27-Feb-15,5.93,5.95,5.92,5.93,257890
26-Feb-15,5.92,5.96,5.91,5.94,421259
25-Feb-15,5.96,5.96,5.92,5.94,447033
24-Feb-15,5.92,5.95,5.92,5.94,400889
23-Feb-15,5.94,5.95,5.92,5.94,299537
20-Feb-15,5.89,5.95,5.87,5.94,406231
19-Feb-15,5.84,5.90,5.84,5.89,312915
18-Feb-15,5.85,5.89,5.83,5.87,301365
17-Feb-15,5.88,5.90,5.85,5.86,355344
13-Feb-15,5.87,5.90,5.86,5.88,341823
12-Feb-15,5.82,5.89,5.82,5.86,440995
11-Feb-15,5.79,5.82,5.78,5.81,347289
10-Feb-15,5.75,5.81,5.74,5.79,394479
9-Feb-15,5.73,5.76,5.70,5.71,334330
6-Feb-15,5.77,5.79,5.71,5.72,373871
5-Feb-15,5.70,5.78,5.70,5.75,554741
4-Feb-15,5.69,5.74,5.68,5.69,551150
3-Feb-15,5.66,5.70,5.65,5.68,544822
2-Feb-15,5.60,5.61,5.52,5.60,1029303
30-Jan-15,5.59,5.63,5.56,5.57,390547
29-Jan-15,5.63,5.64,5.54,5.62,382147
28-Jan-15,5.75,5.75,5.58,5.60,384471
27-Jan-15,5.68,5.74,5.65,5.72,335626
26-Jan-15,5.73,5.76,5.71,5.74,242332
23-Jan-15,5.72,5.75,5.72,5.74,323956
22-Jan-15,5.68,5.76,5.64,5.73,464428
21-Jan-15,5.64,5.68,5.62,5.65,217384
20-Jan-15,5.79,5.81,5.71,5.74,468149
16-Jan-15,5.68,5.77,5.67,5.77,387564
15-Jan-15,5.79,5.79,5.67,5.70,277149
14-Jan-15,5.73,5.76,5.70,5.76,236952
13-Jan-15,5.87,5.90,5.75,5.81,285371
12-Jan-15,5.90,5.90,5.81,5.84,126349
9-Jan-15,5.94,5.95,5.82,5.90,460698
8-Jan-15,5.89,5.95,5.86,5.93,334670
7-Jan-15,5.83,5.85,5.80,5.85,304382
6-Jan-15,5.82,5.84,5.73,5.79,351149
5-Jan-15,5.94,5.94,5.79,5.82,356590
2-Jan-15,6.00,6.00,5.91,5.97,223037
31-Dec-14,6.02,6.04,5.96,5.98,270034
30-Dec-14,5.99,6.02,5.98,6.01,211345
29-Dec-14,6.04,6.05,6.01,6.02,197705
26-Dec-14,6.06,6.09,6.05,6.05,184931
24-Dec-14,6.02,6.06,6.02,6.05,183583
23-Dec-14,6.00,6.03,6.00,6.02,306847
22-Dec-14,5.96,6.00,5.95,5.99,396735
