Date,Open,High,Low,Close,Volume
22-Nov-16,94.89,96.58,94.30,96.36,927490
21-Nov-16,95.73,96.53,94.49,94.60,1111557
18-Nov-16,95.41,96.04,95.00,95.56,1186937
17-Nov-16,95.03,96.33,94.72,95.47,1149219
16-Nov-16,96.27,96.27,94.30,95.21,1040939
15-Nov-16,98.36,99.13,95.94,96.36,1438454
14-Nov-16,94.99,99.15,94.76,98.29,2353594
11-Nov-16,92.92,95.97,92.92,95.12,1789189
10-Nov-16,90.47,93.30,88.12,92.45,2735979
9-Nov-16,88.23,91.25,87.18,90.39,1687239
8-Nov-16,89.38,89.92,88.63,89.33,840970
7-Nov-16,89.40,90.03,88.99,89.33,760076
4-Nov-16,87.13,88.63,86.35,88.22,797892
3-Nov-16,87.25,87.87,86.50,86.73,704639
2-Nov-16,90.58,90.94,87.81,87.81,1531495
1-Nov-16,92.76,92.77,90.21,90.61,1400691
31-Oct-16,91.80,92.98,91.03,92.78,1005299
28-Oct-16,92.06,92.75,90.82,91.21,981439
27-Oct-16,93.12,93.33,90.90,91.76,876867
26-Oct-16,95.10,95.19,92.54,93.16,787617
25-Oct-16,94.76,95.01,93.74,94.24,537021
24-Oct-16,95.67,96.20,94.48,94.80,579349
21-Oct-16,94.67,95.36,94.43,95.04,534740
20-Oct-16,96.20,96.44,94.84,95.43,949357
19-Oct-16,95.92,96.31,95.21,96.08,635453
18-Oct-16,96.39,96.85,95.52,96.11,515907
17-Oct-16,95.45,96.18,95.10,95.37,618907
14-Oct-16,95.86,96.79,95.19,95.25,935716
13-Oct-16,94.89,96.15,94.71,95.65,964899
12-Oct-16,95.46,95.70,94.43,95.36,879121
11-Oct-16,96.23,96.98,94.96,95.25,908676
10-Oct-16,96.50,97.37,96.14,96.57,417455
7-Oct-16,97.13,98.10,95.74,96.31,552692
6-Oct-16,95.82,97.15,94.91,96.50,1006709
5-Oct-16,98.79,98.98,95.91,96.13,914166
4-Oct-16,99.45,99.84,97.97,98.43,679086
3-Oct-16,100.80,100.81,99.38,99.46,932628
30-Sep-16,102.20,102.52,101.16,101.21,733134
29-Sep-16,102.59,103.16,101.48,101.53,604517
28-Sep-16,102.84,103.48,102.23,103.19,529064
27-Sep-16,104.21,104.64,102.66,102.74,810742
26-Sep-16,103.37,104.34,103.30,103.97,778263
23-Sep-16,103.15,104.52,101.98,103.77,718250
22-Sep-16,102.24,103.76,102.00,103.64,623152
21-Sep-16,100.22,101.69,99.17,101.58,656165
20-Sep-16,99.96,100.72,99.82,100.18,571418
19-Sep-16,98.90,100.03,98.83,99.90,739443
16-Sep-16,97.96,98.82,97.56,98.64,1968313
15-Sep-16,97.81,98.64,97.18,98.48,673453
14-Sep-16,98.32,98.74,97.65,97.89,581807
13-Sep-16,100.63,101.01,98.12,98.25,886640
12-Sep-16,98.97,101.96,98.81,101.51,1199353
9-Sep-16,102.25,102.30,99.45,99.45,1099290
8-Sep-16,104.25,104.63,102.90,103.18,2003499
7-Sep-16,103.53,105.01,103.24,104.62,605751
6-Sep-16,103.78,104.02,102.80,103.72,673626
2-Sep-16,103.41,104.84,103.10,103.74,333036
1-Sep-16,103.43,103.84,102.41,102.95,559600
31-Aug-16,102.48,103.58,102.25,103.31,967772
30-Aug-16,102.83,103.13,101.47,102.87,530365
29-Aug-16,101.32,103.13,101.26,102.72,647473
26-Aug-16,102.39,102.80,100.37,101.01,416043
25-Aug-16,102.21,103.21,101.84,102.24,304765
