Date,Open,High,Low,Close,Volume
22-Nov-16,5.36,5.48,5.16,5.22,317939
21-Nov-16,5.33,5.57,5.31,5.34,96884
18-Nov-16,5.36,5.40,5.24,5.36,330801
17-Nov-16,5.44,5.59,5.36,5.36,212906
16-Nov-16,5.66,5.91,5.28,5.45,227419
15-Nov-16,5.97,5.97,5.67,5.70,242676
14-Nov-16,5.60,6.12,5.27,5.88,188819
11-Nov-16,5.13,5.40,5.01,5.32,65773
10-Nov-16,5.37,5.38,4.99,5.24,151970
9-Nov-16,4.97,5.28,4.86,5.13,19197
8-Nov-16,4.80,5.25,4.80,5.02,125532
7-Nov-16,4.95,5.17,4.37,4.82,467880
4-Nov-16,5.40,5.44,4.87,4.95,432346
3-Nov-16,5.63,5.78,5.34,5.39,121145
2-Nov-16,5.66,5.99,5.41,5.59,44405
1-Nov-16,6.15,6.19,5.61,5.68,77764
31-Oct-16,5.85,6.32,5.85,6.14,29357
28-Oct-16,5.74,5.90,5.69,5.85,24905
27-Oct-16,6.00,6.00,5.60,5.72,86442
26-Oct-16,6.07,6.10,5.81,5.94,30418
25-Oct-16,6.01,6.17,5.96,6.01,57700
24-Oct-16,6.31,6.31,5.83,6.00,90242
21-Oct-16,6.20,6.49,6.15,6.23,107260
20-Oct-16,6.50,6.56,6.22,6.25,91326
19-Oct-16,6.33,6.51,6.14,6.36,81901
18-Oct-16,6.15,6.38,6.08,6.31,80978
17-Oct-16,6.03,6.30,6.00,6.18,80381
14-Oct-16,6.11,6.35,6.07,6.09,205511
13-Oct-16,6.20,6.20,6.02,6.12,154189
12-Oct-16,6.26,6.32,6.04,6.08,103743
11-Oct-16,6.30,6.44,6.18,6.29,121700
10-Oct-16,6.23,6.44,6.02,6.39,87240
7-Oct-16,6.49,6.49,6.10,6.23,33404
6-Oct-16,6.55,6.68,6.35,6.42,116203
5-Oct-16,6.55,6.87,6.31,6.59,120436
4-Oct-16,6.65,6.92,6.36,6.49,48487
3-Oct-16,6.63,6.84,6.35,6.70,88402
30-Sep-16,6.53,6.57,6.24,6.45,50138
29-Sep-16,6.64,6.71,6.42,6.53,87582
28-Sep-16,6.58,6.76,6.54,6.68,118340
27-Sep-16,6.78,6.80,6.61,6.63,185255
26-Sep-16,6.79,6.89,6.75,6.82,28637
23-Sep-16,6.80,6.96,6.66,6.79,33721
22-Sep-16,6.92,7.00,6.75,6.91,905104
21-Sep-16,6.93,7.18,6.75,6.85,253514
20-Sep-16,6.91,7.10,6.80,6.98,61467
19-Sep-16,6.87,7.21,6.87,6.96,286387
16-Sep-16,7.14,7.32,6.52,6.87,1298917
15-Sep-16,7.40,7.44,7.18,7.20,307917
14-Sep-16,7.25,7.55,6.89,7.40,352753
13-Sep-16,7.86,7.86,7.35,7.49,170294
12-Sep-16,7.53,7.75,7.20,7.63,259856
9-Sep-16,7.83,7.98,7.55,7.62,201095
8-Sep-16,7.66,7.98,7.66,7.80,199827
7-Sep-16,7.76,8.12,7.65,7.94,346361
6-Sep-16,7.15,7.85,7.12,7.79,469179
2-Sep-16,6.33,7.16,6.32,7.09,165361
1-Sep-16,6.26,6.54,6.15,6.41,114033
31-Aug-16,6.14,6.35,6.10,6.31,454060
30-Aug-16,6.10,6.13,6.05,6.09,115050
29-Aug-16,6.01,6.12,6.01,6.10,206664
26-Aug-16,6.18,6.20,6.00,6.10,156800
25-Aug-16,6.05,6.24,5.90,6.17,1148564
24-Aug-16,5.77,6.11,5.67,5.95,427306
23-Aug-16,5.95,5.95,5.55,5.66,292079
22-Aug-16,6.06,6.06,5.73,5.82,137627
19-Aug-16,6.32,6.32,5.68,5.94,332807
18-Aug-16,7.11,7.11,5.99,6.20,504935
17-Aug-16,8.95,8.95,7.10,7.11,518766
16-Aug-16,10.55,10.55,8.23,8.50,458752
15-Aug-16,10.60,10.74,10.50,10.54,67130
12-Aug-16,10.50,11.01,10.49,10.65,826247
11-Aug-16,10.00,10.50,10.00,10.32,121260
10-Aug-16,10.10,10.34,9.95,10.05,86058
9-Aug-16,10.21,10.42,9.50,9.81,324472
8-Aug-16,10.01,10.25,9.92,10.19,68991
5-Aug-16,10.65,10.85,10.09,10.74,31493
4-Aug-16,11.02,11.25,10.75,10.75,153481
3-Aug-16,11.05,11.40,11.05,11.07,20351
2-Aug-16,11.50,11.54,11.22,11.30,47487
1-Aug-16,11.42,11.90,10.67,11.75,44694
29-Jul-16,11.58,11.75,11.40,11.65,31626
28-Jul-16,11.40,11.60,11.40,11.50,168459
27-Jul-16,11.75,12.00,11.55,11.55,46815
26-Jul-16,11.70,11.70,11.53,11.53,10134
25-Jul-16,11.00,11.65,11.00,11.54,13833
22-Jul-16,11.65,11.82,11.45,11.60,28511
21-Jul-16,11.80,12.00,11.62,11.75,158129
20-Jul-16,11.99,12.00,11.15,11.80,93067
19-Jul-16,12.23,13.60,11.75,12.00,47769
