Date,Open,High,Low,Close,Volume
22-Nov-16,14.90,14.95,14.75,14.80,1316626
21-Nov-16,15.10,15.10,14.80,14.90,1004728
18-Nov-16,15.35,15.35,14.85,14.90,1889045
17-Nov-16,15.25,15.55,15.10,15.25,995406
16-Nov-16,15.20,15.25,15.10,15.20,917478
15-Nov-16,15.20,15.30,15.00,15.25,1064291
14-Nov-16,14.90,15.25,14.80,15.20,1628761
11-Nov-16,14.55,14.90,14.45,14.75,1589974
10-Nov-16,14.85,14.95,14.50,14.60,1583697
9-Nov-16,13.95,14.70,13.85,14.70,1581400
8-Nov-16,13.95,14.55,13.95,14.30,2556351
7-Nov-16,14.35,14.60,13.85,14.00,2202322
4-Nov-16,13.85,14.00,13.75,13.85,1114891
3-Nov-16,14.00,14.00,13.80,13.90,453505
2-Nov-16,13.95,13.98,13.80,13.85,677147
1-Nov-16,14.10,14.25,13.80,13.95,766036
31-Oct-16,13.90,14.20,13.90,14.10,981744
28-Oct-16,13.95,14.10,13.80,13.85,982799
27-Oct-16,14.00,14.05,13.75,13.95,1356759
26-Oct-16,13.75,14.05,13.70,13.90,905797
25-Oct-16,14.25,14.30,13.70,13.80,1155114
24-Oct-16,14.30,14.40,14.15,14.35,2018946
21-Oct-16,13.85,14.10,13.78,14.02,365254
20-Oct-16,14.00,14.05,13.90,14.00,464506
19-Oct-16,13.95,14.10,13.82,14.05,406178
18-Oct-16,14.05,14.10,13.85,13.95,770620
17-Oct-16,13.85,14.04,13.80,13.90,390006
14-Oct-16,13.80,13.97,13.77,13.82,1215697
13-Oct-16,13.87,13.88,13.66,13.75,514085
12-Oct-16,13.91,14.05,13.82,14.02,958228
11-Oct-16,14.19,14.19,13.80,13.93,975017
10-Oct-16,14.17,14.28,14.09,14.19,561636
7-Oct-16,14.20,14.20,13.98,14.06,540493
6-Oct-16,14.13,14.26,14.03,14.23,1545151
5-Oct-16,14.00,14.25,13.99,14.13,855936
4-Oct-16,14.02,14.11,13.78,13.88,1017652
