Date,Open,High,Low,Close,Volume
22-Nov-16,26.20,26.35,25.80,25.90,352434
21-Nov-16,25.70,26.25,25.50,26.00,242835
18-Nov-16,25.65,25.80,25.20,25.70,240583
17-Nov-16,25.70,25.90,25.35,25.80,217949
16-Nov-16,25.45,25.80,25.20,25.55,224757
15-Nov-16,26.05,26.05,25.00,25.45,267872
14-Nov-16,25.50,26.60,25.50,26.20,304093
11-Nov-16,24.50,25.35,24.15,25.30,250025
10-Nov-16,23.95,24.95,23.75,24.50,414157
9-Nov-16,22.85,23.85,22.36,23.75,245600
8-Nov-16,23.15,23.35,22.65,23.20,146341
7-Nov-16,23.40,23.45,23.00,23.20,140814
4-Nov-16,22.50,23.55,22.45,23.05,240456
3-Nov-16,22.50,22.85,21.90,22.55,289558
2-Nov-16,26.70,26.95,22.90,23.05,587799
1-Nov-16,25.00,25.90,25.00,25.70,249758
31-Oct-16,24.85,25.10,24.65,25.05,209357
28-Oct-16,24.55,24.95,24.48,24.85,247900
27-Oct-16,25.50,26.65,24.55,24.90,422613
26-Oct-16,27.60,27.82,27.20,27.35,84603
25-Oct-16,27.75,28.00,27.55,27.80,181607
24-Oct-16,27.85,28.32,27.85,28.00,186521
21-Oct-16,27.90,27.95,27.50,27.70,139860
20-Oct-16,27.75,28.20,27.75,27.95,105035
19-Oct-16,27.25,28.00,26.90,27.95,236031
18-Oct-16,26.90,27.15,26.65,26.85,69463
17-Oct-16,27.30,27.46,26.70,26.75,121468
14-Oct-16,27.29,28.41,27.29,27.47,225844
13-Oct-16,27.72,27.72,27.22,27.25,125039
12-Oct-16,27.58,28.01,27.38,27.88,123681
11-Oct-16,27.81,28.10,27.41,27.51,172526
10-Oct-16,27.97,28.09,27.71,27.92,183099
7-Oct-16,27.70,27.83,27.40,27.80,486291
6-Oct-16,27.52,27.87,27.39,27.61,264535
5-Oct-16,27.06,27.66,26.98,27.56,88902
4-Oct-16,27.34,27.59,26.86,26.93,147184
3-Oct-16,26.85,27.41,26.72,27.35,171256
30-Sep-16,26.17,26.95,26.10,26.85,153518
29-Sep-16,26.55,26.55,26.10,26.12,186754
28-Sep-16,26.77,26.82,26.29,26.52,202883
27-Sep-16,26.77,26.85,26.69,26.73,134447
26-Sep-16,26.78,27.00,26.70,26.70,170056
23-Sep-16,26.88,27.40,26.83,26.86,156126
22-Sep-16,27.04,27.55,26.99,27.55,185513
21-Sep-16,26.54,26.91,26.38,26.82,217666
20-Sep-16,26.79,26.79,26.27,26.37,319091
19-Sep-16,26.72,27.01,26.49,26.66,261055
16-Sep-16,26.79,27.00,26.56,26.58,401931
15-Sep-16,26.52,26.81,26.49,26.81,247600
14-Sep-16,26.57,27.13,26.27,26.57,214559
13-Sep-16,26.46,26.95,26.46,26.56,219698
12-Sep-16,26.88,27.19,26.52,26.76,302288
9-Sep-16,27.36,27.54,27.06,27.10,727278
8-Sep-16,28.26,28.28,27.40,27.47,306127
7-Sep-16,27.82,28.39,27.55,28.31,305592
6-Sep-16,27.99,28.36,27.70,27.95,275480
2-Sep-16,27.60,27.98,27.36,27.85,154860
1-Sep-16,27.69,27.85,27.33,27.51,210455
31-Aug-16,27.02,28.25,26.69,27.72,552718
30-Aug-16,26.87,26.99,26.81,26.97,73479
29-Aug-16,26.96,27.03,26.44,26.98,143556
26-Aug-16,27.40,27.40,26.63,26.89,141816
25-Aug-16,27.30,27.54,27.20,27.37,122466
24-Aug-16,27.40,27.61,27.23,27.31,147860
