Date,Open,High,Low,Close,Volume
22-Nov-16,5.19,5.29,5.11,5.14,202320
21-Nov-16,5.02,5.23,5.02,5.14,240831
18-Nov-16,5.16,5.20,5.04,5.04,296111
17-Nov-16,5.35,5.40,5.18,5.18,153650
16-Nov-16,5.20,5.48,5.18,5.33,478130
15-Nov-16,4.92,5.20,4.92,5.17,341521
14-Nov-16,5.32,5.39,4.83,4.91,782935
11-Nov-16,5.61,5.78,5.53,5.64,421040
10-Nov-16,5.60,5.65,5.38,5.60,332259
9-Nov-16,5.28,5.62,5.21,5.59,449586
8-Nov-16,4.99,5.48,4.99,5.33,526933
7-Nov-16,5.05,5.05,4.99,5.01,301061
4-Nov-16,5.15,5.16,5.01,5.02,421114
3-Nov-16,5.32,5.32,5.15,5.15,130945
2-Nov-16,5.21,5.31,5.16,5.31,252226
1-Nov-16,5.40,5.42,5.12,5.25,291252
31-Oct-16,5.31,5.50,5.22,5.39,327136
28-Oct-16,5.35,5.42,5.20,5.37,269321
27-Oct-16,5.55,5.55,5.31,5.35,241149
26-Oct-16,5.55,5.57,5.45,5.52,141209
25-Oct-16,5.68,5.68,5.51,5.54,123146
24-Oct-16,5.52,5.72,5.52,5.69,150155
21-Oct-16,5.65,5.67,5.54,5.55,173379
20-Oct-16,5.75,5.75,5.59,5.67,133980
19-Oct-16,5.70,5.86,5.70,5.81,141221
18-Oct-16,5.60,5.82,5.38,5.80,394229
17-Oct-16,5.77,5.82,5.56,5.60,407077
14-Oct-16,5.89,5.89,5.65,5.75,306631
13-Oct-16,5.97,5.98,5.81,5.90,246309
12-Oct-16,6.04,6.12,5.97,6.00,141030
11-Oct-16,6.23,6.29,5.99,6.04,424701
10-Oct-16,6.50,6.53,6.21,6.23,310753
7-Oct-16,6.60,6.61,6.38,6.43,192098
6-Oct-16,6.75,6.81,6.60,6.61,292042
5-Oct-16,6.60,6.76,6.56,6.68,321863
4-Oct-16,6.63,6.63,6.42,6.60,289753
3-Oct-16,6.35,6.60,6.30,6.58,386328
30-Sep-16,6.29,6.37,6.28,6.32,189558
29-Sep-16,6.38,6.42,6.32,6.32,129996
28-Sep-16,6.44,6.50,6.36,6.44,92795
27-Sep-16,6.38,6.48,6.26,6.40,255049
26-Sep-16,6.49,6.49,6.28,6.32,319951
23-Sep-16,6.63,6.63,6.48,6.58,112438
22-Sep-16,6.70,6.76,6.56,6.63,149566
21-Sep-16,6.61,6.80,6.60,6.68,154113
20-Sep-16,6.65,6.65,6.49,6.56,113582
19-Sep-16,6.65,6.67,6.53,6.62,194637
16-Sep-16,6.57,6.66,6.50,6.64,247517
15-Sep-16,6.55,6.68,6.48,6.58,170605
14-Sep-16,6.41,6.58,6.41,6.52,142798
13-Sep-16,6.55,6.65,6.44,6.49,360265
12-Sep-16,6.46,6.64,6.35,6.53,429433
9-Sep-16,6.99,6.99,6.51,6.59,647994
8-Sep-16,7.00,7.06,6.88,7.04,298504
7-Sep-16,6.89,7.06,6.83,6.99,558247
6-Sep-16,6.15,6.94,6.13,6.93,1517117
2-Sep-16,6.03,6.15,6.00,6.15,564026
1-Sep-16,6.11,6.11,5.91,6.05,565892
31-Aug-16,6.18,6.20,6.02,6.11,342424
30-Aug-16,6.09,6.18,6.08,6.17,535490
29-Aug-16,6.08,6.09,6.01,6.08,320090
26-Aug-16,6.12,6.15,5.98,6.02,341713
25-Aug-16,5.92,6.15,5.92,6.15,610273
24-Aug-16,6.01,6.05,5.93,5.93,529441
23-Aug-16,6.00,6.15,5.99,5.99,221139
22-Aug-16,6.16,6.25,5.98,6.22,482832
19-Aug-16,6.15,6.25,6.09,6.19,209059
18-Aug-16,6.30,6.39,6.15,6.15,369644
17-Aug-16,6.15,6.30,6.09,6.28,502220
16-Aug-16,6.04,6.18,5.94,6.08,411125
15-Aug-16,5.81,6.20,5.67,6.04,948357
12-Aug-16,5.57,5.98,5.56,5.86,1373107
11-Aug-16,5.30,5.42,5.17,5.36,278598
10-Aug-16,5.12,5.30,5.11,5.23,248832
9-Aug-16,5.10,5.15,5.09,5.14,140654
8-Aug-16,5.09,5.12,5.02,5.12,172930
5-Aug-16,5.02,5.12,5.02,5.09,109163
4-Aug-16,5.06,5.15,5.02,5.02,146156
3-Aug-16,5.02,5.10,5.00,5.06,90071
2-Aug-16,5.19,5.22,5.02,5.02,123692
1-Aug-16,5.00,5.19,4.98,5.19,233935
29-Jul-16,4.95,5.04,4.90,5.00,74745
28-Jul-16,4.99,5.04,4.93,4.99,115697
27-Jul-16,4.95,5.00,4.80,4.99,169260
26-Jul-16,4.91,4.95,4.86,4.92,97661
25-Jul-16,4.91,4.96,4.90,4.96,56394
22-Jul-16,4.87,4.99,4.87,4.95,127183
21-Jul-16,4.85,4.92,4.85,4.89,90309
20-Jul-16,4.92,4.95,4.87,4.87,46807
19-Jul-16,4.88,4.93,4.86,4.87,69446
18-Jul-16,4.95,4.97,4.84,4.85,277724
15-Jul-16,4.93,4.98,4.92,4.95,63180
14-Jul-16,4.92,5.00,4.92,4.95,218653
13-Jul-16,4.96,4.98,4.90,4.93,71316
12-Jul-16,4.95,5.08,4.94,4.99,230996
11-Jul-16,4.89,4.95,4.88,4.95,206197
8-Jul-16,4.82,4.90,4.81,4.87,114814
7-Jul-16,4.88,4.88,4.80,4.81,72799
6-Jul-16,4.92,4.92,4.80,4.84,105337
5-Jul-16,4.76,4.95,4.72,4.94,185030
1-Jul-16,4.85,4.95,4.77,4.82,172036
30-Jun-16,4.90,4.94,4.85,4.90,131586
29-Jun-16,4.81,5.01,4.81,4.92,169925
28-Jun-16,4.62,4.83,4.59,4.80,277562
27-Jun-16,4.81,4.84,4.51,4.55,406129
24-Jun-16,4.82,4.91,4.80,4.84,255409
23-Jun-16,4.95,5.00,4.87,4.90,322894
22-Jun-16,4.96,5.02,4.96,5.01,103777
21-Jun-16,5.04,5.04,4.95,5.00,112513
20-Jun-16,5.10,5.10,4.99,5.00,92637
17-Jun-16,5.07,5.07,4.96,4.99,149915
16-Jun-16,5.16,5.25,5.00,5.01,356984
15-Jun-16,4.94,5.04,4.94,5.00,166666
14-Jun-16,4.90,5.00,4.90,4.95,136804
13-Jun-16,5.00,5.02,4.89,4.90,247116
10-Jun-16,5.03,5.03,4.96,5.00,207591
9-Jun-16,5.02,5.04,4.97,5.03,194704
8-Jun-16,5.30,5.30,4.96,4.98,609860
7-Jun-16,5.00,5.37,4.98,5.25,594405
6-Jun-16,4.96,5.03,4.96,5.01,110912
3-Jun-16,5.08,5.08,4.97,4.97,89375
2-Jun-16,5.02,5.09,4.97,5.05,98078
1-Jun-16,5.30,5.30,5.02,5.06,77301
31-May-16,4.96,5.10,4.96,5.09,450284
27-May-16,4.96,5.05,4.96,4.97,173862
26-May-16,5.10,5.10,5.00,5.04,113751
25-May-16,5.10,5.15,5.05,5.08,85872
24-May-16,5.10,5.10,5.05,5.07,101287
23-May-16,5.15,5.15,5.00,5.09,114924
20-May-16,5.21,5.25,5.08,5.15,124235
19-May-16,5.18,5.21,5.08,5.16,261008
18-May-16,5.05,5.39,5.01,5.31,662175
17-May-16,5.12,5.17,5.00,5.02,87570
16-May-16,4.97,5.13,4.92,5.09,235884
13-May-16,4.89,5.05,4.89,5.02,107482
12-May-16,5.00,5.03,4.94,4.97,107717
11-May-16,5.18,5.19,4.91,4.94,185852
10-May-16,5.12,5.21,4.97,5.09,278528
9-May-16,4.95,4.98,4.85,4.86,146532
6-May-16,4.81,4.98,4.81,4.90,123465
5-May-16,4.88,4.91,4.84,4.84,82190
4-May-16,4.81,4.97,4.80,4.88,135504
3-May-16,4.81,4.90,4.80,4.86,166635
2-May-16,4.94,4.94,4.84,4.88,198489
29-Apr-16,4.97,5.01,4.85,4.94,224861
28-Apr-16,5.09,5.17,4.99,4.99,187416
27-Apr-16,5.00,5.12,4.93,5.07,145230
26-Apr-16,4.99,5.08,4.82,5.02,619960
25-Apr-16,5.16,5.23,5.02,5.02,370351
22-Apr-16,5.25,5.34,5.21,5.23,87835
21-Apr-16,5.38,5.43,5.23,5.27,215831
20-Apr-16,5.22,5.44,5.21,5.35,198270
19-Apr-16,5.50,5.51,5.16,5.23,521051
18-Apr-16,5.30,5.55,5.30,5.50,517479
15-Apr-16,5.40,5.50,5.39,5.40,615499
14-Apr-16,5.48,5.50,5.39,5.47,388743
13-Apr-16,5.38,5.50,5.26,5.44,644110
12-Apr-16,5.30,5.46,5.26,5.38,908754
11-Apr-16,5.01,5.29,5.01,5.23,583242
8-Apr-16,4.91,5.11,4.91,5.01,580543
7-Apr-16,4.82,4.98,4.82,4.89,540829
6-Apr-16,4.63,4.86,4.62,4.79,501672
5-Apr-16,4.45,4.66,4.41,4.57,317243
4-Apr-16,4.50,4.60,4.50,4.54,365399
1-Apr-16,4.34,4.50,4.34,4.49,293002
31-Mar-16,4.39,4.47,4.38,4.43,376948
30-Mar-16,4.28,4.48,4.24,4.40,391352
29-Mar-16,4.39,4.43,4.07,4.16,712884
28-Mar-16,4.10,4.46,4.09,4.40,322461
24-Mar-16,4.07,4.17,4.00,4.10,273591
23-Mar-16,4.26,4.26,4.09,4.09,278479
22-Mar-16,4.20,4.31,4.11,4.23,267940
21-Mar-16,4.16,4.35,4.06,4.17,543473
18-Mar-16,4.50,4.50,4.00,4.16,712370
17-Mar-16,4.45,4.51,4.32,4.49,330204
16-Mar-16,4.20,4.49,4.20,4.44,826960
15-Mar-16,4.25,4.50,3.92,4.09,1236017
14-Mar-16,3.99,4.34,3.98,4.29,887255
11-Mar-16,3.75,4.02,3.75,4.00,514710
10-Mar-16,3.95,3.95,3.86,3.90,348843
9-Mar-16,3.97,4.04,3.93,3.93,231961
8-Mar-16,3.87,4.00,3.80,3.97,286825
7-Mar-16,3.94,4.03,3.88,3.90,300199
4-Mar-16,3.95,4.05,3.93,3.95,281281
3-Mar-16,3.95,4.10,3.93,3.97,530241
2-Mar-16,3.91,4.00,3.87,3.98,337803
1-Mar-16,3.70,3.98,3.64,3.90,450621
29-Feb-16,3.98,3.99,3.65,3.90,434208
26-Feb-16,4.00,4.00,3.90,3.98,261380
25-Feb-16,3.85,4.00,3.82,3.99,401851
24-Feb-16,3.59,3.85,3.59,3.85,350283
23-Feb-16,3.68,3.71,3.63,3.67,180784
22-Feb-16,3.63,3.71,3.52,3.65,221972
19-Feb-16,3.56,3.64,3.55,3.61,109968
18-Feb-16,3.51,3.66,3.50,3.64,207019
17-Feb-16,3.36,3.58,3.36,3.51,158443
16-Feb-16,3.14,3.44,3.14,3.36,181823
12-Feb-16,3.14,3.23,3.14,3.16,102724
11-Feb-16,3.12,3.22,3.10,3.13,171122
10-Feb-16,3.16,3.28,3.15,3.16,199046
9-Feb-16,3.16,3.30,3.13,3.13,276052
8-Feb-16,3.63,3.65,3.18,3.22,733836
5-Feb-16,3.80,3.80,3.62,3.68,116943
4-Feb-16,3.55,3.80,3.55,3.78,213391
3-Feb-16,3.62,3.65,3.51,3.55,186796
2-Feb-16,3.71,3.71,3.60,3.62,150418
1-Feb-16,3.53,3.77,3.53,3.71,184828
29-Jan-16,3.50,3.65,3.48,3.64,166245
28-Jan-16,3.33,3.50,3.29,3.49,155124
27-Jan-16,3.31,3.36,3.26,3.30,130558
26-Jan-16,3.21,3.38,3.19,3.29,139789
25-Jan-16,3.49,3.49,2.85,3.16,688942
22-Jan-16,3.40,3.48,3.37,3.44,96721
21-Jan-16,3.36,3.44,3.29,3.30,143920
20-Jan-16,3.35,3.40,3.21,3.35,205757
19-Jan-16,3.40,3.49,3.34,3.40,121051
15-Jan-16,3.38,3.47,3.29,3.38,179181
14-Jan-16,3.38,3.58,3.37,3.48,181438
13-Jan-16,3.62,3.62,3.47,3.53,209306
12-Jan-16,3.65,3.65,3.54,3.57,174017
11-Jan-16,3.80,3.80,3.57,3.65,262103
8-Jan-16,3.72,3.90,3.71,3.80,198990
7-Jan-16,3.75,3.79,3.66,3.66,286208
6-Jan-16,3.77,3.99,3.75,3.90,463946
5-Jan-16,3.58,3.77,3.53,3.77,223031
4-Jan-16,3.62,3.66,3.48,3.53,275176
31-Dec-15,3.69,3.74,3.65,3.69,170193
30-Dec-15,3.59,3.69,3.59,3.63,156510
29-Dec-15,3.63,3.63,3.50,3.60,133987
28-Dec-15,3.40,3.59,3.39,3.50,185704
24-Dec-15,3.29,3.40,3.29,3.39,30095
23-Dec-15,3.34,3.38,3.31,3.32,61204
22-Dec-15,3.30,3.41,3.30,3.34,74107
21-Dec-15,3.27,3.36,3.27,3.32,77330
18-Dec-15,3.38,3.38,3.25,3.25,137021
17-Dec-15,3.45,3.45,3.31,3.33,68540
16-Dec-15,3.25,3.42,3.25,3.42,128133
15-Dec-15,3.19,3.32,3.19,3.29,122947
14-Dec-15,3.32,3.32,3.20,3.25,140414
11-Dec-15,3.38,3.38,3.29,3.30,102947
10-Dec-15,3.30,3.44,3.30,3.39,80833
9-Dec-15,3.36,3.43,3.30,3.34,68550
8-Dec-15,3.36,3.37,3.31,3.34,52949
7-Dec-15,3.47,3.47,3.36,3.37,102450
4-Dec-15,3.50,3.50,3.41,3.49,79993
3-Dec-15,3.45,3.53,3.45,3.48,62765
2-Dec-15,3.50,3.55,3.47,3.49,66036
1-Dec-15,3.52,3.53,3.43,3.50,119268
30-Nov-15,3.41,3.51,3.40,3.46,152505
27-Nov-15,3.39,3.41,3.35,3.37,45639
25-Nov-15,3.38,3.51,3.36,3.43,51004
24-Nov-15,3.34,3.45,3.29,3.45,31390
23-Nov-15,3.45,3.45,3.26,3.41,180545
20-Nov-15,3.44,3.49,3.39,3.44,62708
19-Nov-15,3.49,3.53,3.45,3.51,61678
18-Nov-15,3.44,3.52,3.41,3.51,105522
17-Nov-15,3.51,3.51,3.38,3.44,104648
16-Nov-15,3.25,3.48,3.23,3.47,136615
13-Nov-15,3.50,3.74,3.21,3.31,629715
12-Nov-15,3.44,3.46,3.29,3.33,204905
11-Nov-15,3.53,3.53,3.44,3.46,102381
10-Nov-15,3.63,3.67,3.47,3.58,164212
9-Nov-15,3.60,3.71,3.59,3.66,127049
6-Nov-15,3.60,3.61,3.48,3.59,149299
5-Nov-15,3.68,3.68,3.60,3.62,106633
4-Nov-15,3.60,3.72,3.57,3.68,261283
3-Nov-15,3.65,3.70,3.46,3.58,255917
2-Nov-15,3.59,3.67,3.54,3.65,102038
30-Oct-15,3.60,3.65,3.56,3.59,209195
29-Oct-15,3.39,3.62,3.39,3.58,656682
28-Oct-15,3.35,3.41,3.33,3.38,163987
27-Oct-15,3.35,3.41,3.26,3.30,155190
26-Oct-15,3.34,3.49,3.33,3.40,310833
23-Oct-15,3.25,3.36,3.18,3.35,233216
22-Oct-15,3.21,3.26,3.06,3.20,284080
21-Oct-15,3.33,3.34,3.20,3.22,150289
20-Oct-15,3.37,3.37,3.31,3.35,90689
19-Oct-15,3.22,3.37,3.22,3.36,154906
16-Oct-15,3.32,3.36,3.26,3.30,137801
15-Oct-15,3.32,3.32,3.27,3.32,164480
14-Oct-15,3.31,3.39,3.29,3.29,136355
13-Oct-15,3.30,3.37,3.23,3.33,208944
12-Oct-15,3.40,3.40,3.34,3.37,132879
9-Oct-15,3.40,3.40,3.37,3.39,98995
8-Oct-15,3.30,3.40,3.30,3.40,291282
7-Oct-15,3.21,3.35,3.21,3.35,279247
6-Oct-15,3.13,3.25,3.05,3.20,299949
5-Oct-15,3.02,3.27,2.94,3.18,404558
2-Oct-15,2.85,3.05,2.84,3.01,260966
1-Oct-15,2.79,2.88,2.79,2.87,86710
30-Sep-15,2.83,2.84,2.77,2.83,71086
29-Sep-15,2.74,2.81,2.74,2.78,84077
28-Sep-15,2.71,2.79,2.67,2.72,96104
25-Sep-15,2.82,2.87,2.76,2.77,107886
24-Sep-15,2.82,2.89,2.77,2.80,98338
23-Sep-15,2.80,2.94,2.80,2.86,144843
22-Sep-15,2.86,2.86,2.80,2.82,57534
21-Sep-15,2.80,2.87,2.80,2.86,106864
18-Sep-15,2.78,2.85,2.76,2.77,131096
17-Sep-15,2.81,2.82,2.78,2.80,94307
16-Sep-15,2.81,2.82,2.76,2.81,72214
15-Sep-15,2.76,2.82,2.72,2.79,63460
14-Sep-15,2.76,2.80,2.73,2.79,71850
11-Sep-15,2.80,2.80,2.76,2.78,58046
10-Sep-15,2.81,2.90,2.69,2.82,154025
9-Sep-15,2.82,2.85,2.77,2.79,117653
8-Sep-15,2.89,2.89,2.72,2.78,128341
4-Sep-15,2.83,2.87,2.75,2.83,129562
3-Sep-15,2.88,2.92,2.83,2.85,65354
2-Sep-15,2.88,2.88,2.76,2.88,94925
1-Sep-15,2.75,2.90,2.73,2.83,117140
31-Aug-15,2.75,2.79,2.72,2.79,70204
28-Aug-15,2.70,2.80,2.65,2.72,98142
27-Aug-15,2.46,2.70,2.46,2.66,87847
26-Aug-15,2.44,2.48,2.40,2.45,69075
25-Aug-15,2.46,2.52,2.39,2.42,88001
24-Aug-15,2.30,2.47,2.20,2.42,315563
21-Aug-15,2.66,2.70,2.52,2.59,314030
20-Aug-15,2.80,2.85,2.74,2.77,131323
19-Aug-15,2.91,2.91,2.85,2.89,47930
18-Aug-15,2.87,2.90,2.85,2.90,36525
17-Aug-15,2.85,2.90,2.83,2.86,74874
14-Aug-15,2.90,2.91,2.80,2.89,83587
13-Aug-15,2.91,2.93,2.87,2.90,91906
12-Aug-15,3.02,3.02,2.77,2.94,340580
11-Aug-15,2.85,2.99,2.85,2.89,162312
10-Aug-15,2.75,2.95,2.72,2.90,173179
7-Aug-15,2.71,2.75,2.71,2.73,44476
6-Aug-15,2.70,2.75,2.66,2.69,60109
5-Aug-15,2.72,2.75,2.71,2.73,106370
4-Aug-15,2.72,2.72,2.67,2.70,48366
3-Aug-15,2.75,2.75,2.71,2.73,28145
31-Jul-15,2.73,2.78,2.70,2.76,60300
30-Jul-15,2.74,2.78,2.71,2.74,31989
29-Jul-15,2.69,2.74,2.67,2.74,78693
28-Jul-15,2.64,2.70,2.58,2.68,147267
