Date,Open,High,Low,Close,Volume
22-Nov-16,3.45,3.58,3.31,3.48,256348
21-Nov-16,3.50,3.54,3.40,3.48,119580
18-Nov-16,3.46,3.53,3.44,3.50,18364
17-Nov-16,3.60,3.65,3.42,3.47,123513
16-Nov-16,3.40,3.66,3.36,3.63,166994
15-Nov-16,3.29,3.45,3.23,3.43,274142
14-Nov-16,3.20,3.40,3.11,3.29,239884
11-Nov-16,3.39,3.40,3.14,3.22,227979
10-Nov-16,3.37,3.46,3.31,3.40,258487
9-Nov-16,3.56,3.60,3.40,3.44,130990
8-Nov-16,3.65,3.68,3.61,3.62,18218
7-Nov-16,3.72,3.72,3.65,3.65,15264
4-Nov-16,3.62,3.74,3.62,3.71,27667
3-Nov-16,3.67,3.82,3.59,3.62,52930
2-Nov-16,3.80,3.80,3.69,3.70,39831
1-Nov-16,3.74,3.80,3.70,3.73,42521
31-Oct-16,3.79,3.84,3.70,3.75,41615
28-Oct-16,3.80,3.87,3.76,3.77,16630
27-Oct-16,3.80,3.84,3.74,3.81,21010
26-Oct-16,3.80,3.85,3.80,3.80,12039
25-Oct-16,3.91,3.97,3.81,3.84,30434
24-Oct-16,3.85,3.98,3.85,3.92,49302
21-Oct-16,3.83,3.90,3.82,3.88,58831
20-Oct-16,3.82,3.90,3.82,3.87,55098
19-Oct-16,3.84,3.90,3.82,3.86,41624
18-Oct-16,3.87,3.89,3.84,3.86,82441
17-Oct-16,3.81,3.90,3.80,3.90,42651
14-Oct-16,3.85,3.88,3.80,3.80,34381
13-Oct-16,3.81,3.87,3.81,3.85,69244
12-Oct-16,3.84,3.98,3.80,3.86,115218
11-Oct-16,3.81,3.89,3.81,3.82,90473
10-Oct-16,3.83,3.90,3.82,3.84,34758
7-Oct-16,3.80,3.88,3.80,3.85,44722
6-Oct-16,3.82,3.89,3.80,3.83,82222
5-Oct-16,3.94,3.94,3.83,3.85,92555
4-Oct-16,3.91,4.00,3.90,3.97,54772
3-Oct-16,3.97,3.98,3.91,3.94,45946
30-Sep-16,4.00,4.00,3.97,3.97,44727
29-Sep-16,3.93,4.00,3.93,3.97,44855
28-Sep-16,3.99,4.01,3.93,3.95,81742
27-Sep-16,4.12,4.16,3.94,4.02,119121
26-Sep-16,4.17,4.24,4.11,4.12,54445
23-Sep-16,4.20,4.30,4.11,4.18,81307
22-Sep-16,4.19,4.23,4.15,4.22,41900
21-Sep-16,4.25,4.25,4.15,4.21,61313
20-Sep-16,4.16,4.25,4.13,4.24,38546
19-Sep-16,4.17,4.25,4.09,4.18,43273
16-Sep-16,4.10,4.21,3.87,4.16,324701
15-Sep-16,4.32,4.36,4.09,4.10,122845
14-Sep-16,4.03,4.34,3.85,4.12,561250
